timestamp;radius;size;depth
5.1306451;2.5;0.65;16
12.2510261;0.5;0.3;6
14.049296;1.5;0.3;16
16.8417005;0.5;0.9;16
18.930143;1.5;0.65;16
21.9240836;0.5;0.3;2
23.6887633;2.5;0.9;16
27.2638824;1.5;0.65;2
28.8490861;1.5;0.9;2
30.5250306;0.5;0.3;16
35.1716485;2.5;0.3;6
38.9020407;2.5;0.9;6
40.6115748;1.5;0.3;2
43.1357692;2.5;0.3;16
45.3586643;1.5;0.3;6
47.3354068;0.5;0.65;16
48.9772607;1.5;0.9;16
52.4289148;0.5;0.65;6
54.418191;0.5;0.9;2
55.8585105;2.5;0.9;2
60.5900677;0.5;0.65;2
62.8395334;1.5;0.65;6
64.8167772;0.5;0.9;6
66.536839;2.5;0.3;2
68.4358751;2.5;0.65;6
72.7920662;2.5;0.65;2
74.512128;1.5;0.9;6
