Timestamp;SelectionTime;Name;smoothCorrel;intendedObject;correlationToIntendedObject;correct?;threshold;w;corrWindow;corrFrequency
12.2289671;2.3637682;4;0.74141;4;1;True;0.6;300;900;0.3;
14.0327509;1.2212385;4;0.6498153;4;1;True;0.6;300;900;0.3;
16.8236526;2.1141061;1;0.8491949;2;0.930115419056572;False;0.6;300;900;0.3;
18.9141009;1.5114123;1;0.6123103;1;1;True;0.6;300;900;0.3;
21.9080405;2.1266393;2;0.8175332;1;0.913497407945978;False;0.6;300;900;0.3;
23.6682089;1.2056975;4;0.6708201;4;1;True;0.6;300;900;0.3;
27.2543571;2.7363938;2;0.6369701;2;1;True;0.6;300;900;0.3;
28.8285319;1.2056978;3;0.6042293;3;1;True;0.6;300;900;0.3;
30.5104921;1.2222408;1;0.6924387;1;1;True;0.6;300;900;0.3;
35.1495898;4.2199854;2;0.7295862;1;0.0407612003845908;False;0.6;300;900;0.3;
38.8864999;3.0415662;2;0.6641334;2;1;True;0.6;300;900;0.3;
40.5960333;1.2222416;1;0.6028684;1;1;True;0.6;300;900;0.3;
43.1172198;1.8223332;4;0.6846249;4;1;True;0.6;300;900;0.3;
45.3426215;1.8133087;1;0.6955166;1;1;True;0.6;300;900;0.3;
47.3193655;1.5225395;1;0.977407;1;1;True;0.6;300;900;0.3;
48.9627222;1.211212;3;0.6392921;4;0.980973706123262;False;0.6;300;900;0.3;
52.4128723;3.0300358;2;0.9658098;2;1;True;0.6;300;900;0.3;
54.4016469;1.5230395;1;0.8853583;1;1;True;0.6;300;900;0.3;
55.8379561;0.9149267;3;0.6434088;2;0.00215054223018202;False;0.6;300;900;0.3;
60.5670069;1.5130222;1;0.9440923;1;1;True;0.6;300;900;0.3;
62.8189787;1.5175243;1;0.9618425;1;1;True;0.6;300;900;0.3;
64.7982283;1.5100043;1;0.8388228;1;1;True;0.6;300;900;0.3;
66.5192919;1.2092057;1;0.6433033;1;1;True;0.6;300;900;0.3;
68.4168247;1.2077034;5;0.6085718;4;0.0407371767709164;False;0.6;300;900;0.3;
72.7715113;3.6297632;1;0.7145556;1;1;True;0.6;300;900;0.3;
74.4900692;0.9139241;3;0.770086;2;0.00039000773779968;False;0.6;300;900;0.3;
76.6843892;1.5100049;4;0.6031384;4;1;True;0.6;300;900;0.3;
