Timestamp;SelectionTime;Name;smoothCorrel;intendedObject;correlationToIntendedObject;correct?;threshold;w;corrWindow;corrFrequency
18.6575186;4.5335323;1;0.6561612;1;1;True;0.6;300;900;0.3;
21.5732572;1.2122172;2;0.6285115;2;1;True;0.6;300;900;0.3;
29.368955;2.7372645;4;0.8576105;4;1;True;0.6;300;900;0.3;
31.4825647;1.5100077;3;0.91102;3;1;True;0.6;300;900;0.3;
33.4131886;1.2082066;4;0.6259843;4;1;True;0.6;300;900;0.3;
35.1337587;1.2092093;2;0.6563178;2;1;True;0.6;300;900;0.3;
36.8498131;1.2041957;4;0.6626225;4;1;True;0.6;300;900;0.3;
38.877194;1.5245463;3;0.8495811;3;1;True;0.6;300;900;0.3;
41.0188785;1.496472;2;0.6756715;2;1;True;0.6;300;900;0.3;
42.6667516;1.2227443;1;0.6744862;1;1;True;0.6;300;900;0.3;
44.118104;0.9089123;3;0.6756947;3;1;True;0.6;300;900;0.3;
46.2156711;1.5100077;4;0.850169;4;1;True;0.6;300;900;0.3;
48.0334959;1.2077055;3;0.7523407;3;1;True;0.6;300;900;0.3;
49.4477492;0.9013918;5;0.6422253;4;0.958403985861243;False;0.6;300;900;0.3;
51.3738616;0.9154297;5;0.6881924;4;0.948425308736561;False;0.6;300;900;0.3;
52.9189618;0.9084105;2;0.6886168;2;1;True;0.6;300;900;0.3;
54.8069734;1.222244;2;0.6531788;2;1;True;0.6;300;900;0.3;
57.4204097;2.1136097;2;0.926438;2;1;True;0.6;300;900;0.3;
59.0848333;1.2197433;2;0.6798762;2;1;True;0.6;300;900;0.3;
60.967831;1.2046974;1;0.67366;1;1;True;0.6;300;900;0.3;
62.7470534;1.2077055;1;0.6692272;1;1;True;0.6;300;900;0.3;
65.0947874;1.8012807;2;0.6415303;2;1;True;0.6;300;900;0.3;
66.7702341;1.2202383;2;0.7724115;2;1;True;0.6;300;900;0.3;
68.5123579;1.2021903;1;0.6484261;1;1;True;0.6;300;900;0.3;
69.9080622;0.9069064;3;0.6252609;3;1;True;0.6;300;900;0.3;
71.4160646;0.9079095;1;0.6032594;1;1;True;0.6;300;900;0.3;
73.4479574;1.498477;3;0.6770659;3;1;True;0.6;300;900;0.3;
