Timestamp;SelectionTime;intendedObj;selectedObj;correct?;smoothCorrel;speed;objWidthInDeg;objHeightInDeg;radiusInDeg;distanceToIntendedDeg;correlationToIntendedObjectX;correlationToIntendedObjectY;corrThreshold;w;corrAverageWindow;corrFrequency
8.7068109;1.5074641;1;1;True;0.7019178;45;12.87573;13.56196;50.41382;0;1;1;0.6;300;900;0.3
11.0971671;1.2212473;2;2;True;0.7552677;45;13.06366;11.45391;31.51833;0;1;1;0.6;300;900;0.3
12.7164735;1.2102181;1;1;True;0.6615971;45;18.29087;16.93501;10.74254;0;1;1;0.6;300;900;0.3
14.7263175;1.2192419;4;4;True;0.7710611;45;19.73358;16.42253;31.51833;0;1;1;0.6;300;900;0.3
16.5702209;1.2092153;4;4;True;0.6503934;45;6.788563;5.442434;50.41383;0;1;1;0.6;300;900;0.3
18.4346787;1.2087138;1;1;True;0.755586;45;12.82585;12.98791;31.51833;0;1;1;0.6;300;900;0.3
20.2770785;1.2192422;1;1;True;0.6845284;45;5.63664;5.368388;10.74254;0;1;1;0.6;300;900;0.3
22.0979205;1.2192419;2;2;True;0.6994357;45;17.81208;16.36604;50.41383;0;1;1;0.6;300;900;0.3
23.9207673;1.2112206;3;3;True;0.7085862;45;5.675248;5.578484;50.41383;0;1;1;0.6;300;900;0.3
25.8303109;1.2106848;2;2;True;0.7335841;45;18.05944;16.42041;31.51833;0;1;1;0.6;300;900;0.3
27.6947771;1.2092234;1;1;True;0.8732707;45;5.638764;5.365928;10.74254;0;1;1;0.6;300;900;0.3
29.8840993;1.511018;1;1;True;0.8781424;45;5.944363;6.272276;50.41383;0;1;1;0.6;300;900;0.3
32.0067434;1.5115187;3;3;True;0.8271878;45;18.23321;16.92655;31.51833;0;1;1;0.6;300;900;0.3
34.1394147;1.4984839;1;1;True;0.7203338;45;5.627177;5.42047;10.74254;0;1;1;0.6;300;900;0.3
36.3061764;1.5210446;1;1;True;0.8508059;45;12.82445;11.79451;10.74254;0;1;1;0.6;300;900;0.3
39.0519788;2.122645;4;4;True;0.637455;45;6.186465;5.620161;31.51833;0;1;1;0.6;300;900;0.3
41.2463233;1.5235512;3;3;True;0.6865933;45;17.89186;16.70972;50.41382;0;1;1;0.6;300;900;0.3
43.3659596;1.4989855;4;4;True;0.6509449;45;6.515459;5.4458;31.51833;0;1;1;0.6;300;900;0.3
45.1998453;1.2137359;2;2;True;0.6948383;45;6.03681;5.2812;31.51833;0;1;1;0.6;300;900;0.3
46.5945711;0.9079236;3;3;True;0.6220266;45;13.02099;12.23523;31.51833;0;1;1;0.6;300;900;0.3
48.6500369;1.5115192;2;2;True;0.7400436;45;12.84489;11.63932;50.41382;0;1;1;0.6;300;900;0.3
50.4272629;1.2107194;3;3;True;0.6886534;45;12.92965;11.50761;10.74255;0;1;1;0.6;300;900;0.3
52.258633;1.2107196;3;3;True;0.6253489;45;12.93365;12.06106;50.41382;0;1;1;0.6;300;900;0.3
53.7536081;0.9174391;2;2;True;0.6221043;45;17.95671;16.85968;50.41383;0;1;1;0.6;300;900;0.3
55.9213726;1.5125218;1;1;True;0.8833355;45;12.8221;11.79149;10.74254;0;1;1;0.6;300;900;0.3
57.7763054;1.5105164;2;2;True;0.632084;45;18.03369;16.8368;10.74253;0;1;1;0.6;300;900;0.3
59.4512594;1.2102178;4;4;True;0.6887367;45;18.68214;16.75774;10.74254;0;1;1;0.6;300;900;0.3
