timestamp;radius;size;depth
1.45887;0.5;0.9;2
15.8337156;0.5;0.9;16
17.6385039;1.5;0.65;2
19.7726735;0.5;0.3;6
21.9399229;0.5;0.3;2
23.8620218;1.5;0.9;16
25.8944268;2.5;0.3;16
27.4435364;2.5;0.65;6
29.7020275;0.5;0.65;16
31.8477196;1.5;0.3;6
34.2044716;2.5;0.65;2
37.6200329;0.5;0.3;16
39.2909653;1.5;0.9;6
41.8723133;0.5;0.65;2
43.9212499;2.5;0.9;2
46.246417;1.5;0.3;2
48.3013684;2.5;0.3;6
51.9655907;1.5;0.65;16
54.0425984;2.5;0.65;16
56.4324393;0.5;0.9;6
58.3871317;1.5;0.3;16
60.8446714;2.5;0.9;6
63.7052601;2.5;0.3;2
65.9947354;2.5;0.9;16
70.1828809;1.5;0.9;2
73.4079365;1.5;0.65;6
75.9120791;0.5;0.65;6
