Timestamp;SelectionTime;intendedObj;selectedObj;correct?;smoothCorrel;speed;objWidthInDeg;objHeightInDeg;radiusInDeg;distanceToIntendedDeg;correlationToIntendedObjectX;correlationToIntendedObjectY;corrThreshold;w;corrAverageWindow;corrFrequency
20.0201475;0.9008903;4;5;False;0.6206888;45;16.366;16.37016;44.08451;13.88573;0.8829907;0.9928476;0.6;300;900;0.3
23.648274;2.1211281;4;4;True;0.8495177;45;16.07566;15.43866;9.252873;0;1;1;0.6;300;900;0.3
26.1339492;1.2107125;4;4;True;0.6633497;45;5.699252;4.935648;27.2976;0;1;1;0.6;300;900;0.3
28.7027736;1.5130236;4;4;True;0.6887627;45;12.20733;11.2531;27.2976;0;1;1;0.6;300;900;0.3
30.8123708;1.2097095;1;1;True;0.7133034;45;5.174408;5.285685;27.29759;0;1;1;0.6;300;900;0.3
33.2546836;1.4957925;1;1;True;0.6889765;45;15.68402;16.37218;44.08451;0;1;1;0.6;300;900;0.3
36.2511349;2.1236344;2;2;True;0.6228542;45;16.04125;15.12512;27.2976;0;1;1;0.6;300;900;0.3
38.9337554;1.8133141;4;4;True;0.6196813;45;5.845466;5.650203;44.08451;0;1;1;0.6;300;900;0.3
41.1461339;1.2102189;3;3;True;0.6878175;45;11.14279;12.42176;44.08451;0;1;1;0.6;300;900;0.3
43.0557008;1.2102112;4;3;False;0.702675;45;16.00652;15.40726;9.252879;4.380744;0.9875248;0.9759765;0.6;300;900;0.3
45.2891267;1.2092074;4;3;False;0.7325536;45;11.14013;10.8096;9.252874;4.380042;0.9877517;0.9739189;0.6;300;900;0.3
47.6905401;1.511552;2;1;False;0.6672542;45;11.29489;11.84067;44.08451;12.43337;-0.9870254;0.9981468;0.6;300;900;0.3
