circular4Timestamp;circular4XPos;circular4YPos;circular4newCorr;circular4smoothCorr
98.8384058;;;0;0
98.851;-1.078689;-0.7837136;;
98.852;-1.092948;-0.7637038;;
98.854;-1.092948;-0.7637038;;
98.855;-1.092948;-0.7637038;;
98.856;-1.092948;-0.7637038;;
98.857;-1.092948;-0.7637038;;
98.886;-1.10477;-0.7464993;;
98.887;-1.10477;-0.7464993;;
98.889;-1.10477;-0.7464993;;
98.89;-1.10477;-0.7464993;;
98.89;-1.10477;-0.7464993;;
98.891;-1.10477;-0.7464993;;
98.919;-1.113523;-0.7333768;;
98.921;-1.113582;-0.7332883;;
98.923;-1.123547;-0.7178726;;
98.924;-1.125896;-0.714238;;
98.925;-1.125896;-0.714238;;
98.925;-1.125896;-0.714238;;
98.952;-1.13811;-0.6946074;;
98.953;-1.1382;-0.6944627;;
98.955;-1.138215;-0.6944383;;
98.957;-1.13822;-0.6944296;;
98.958;-1.138221;-0.6944277;;
98.959;-1.138223;-0.6944256;;
98.986;-1.165294;-0.6479303;;
98.988;-1.165658;-0.6473054;;
98.99;-1.165748;-0.647151;;
98.991;-1.165792;-0.6470764;;
98.992;-1.165792;-0.6470764;;
99.02;-1.182147;-0.6166729;;
99.022;-1.182374;-0.616251;;
99.024;-1.182423;-0.6161596;;
99.025;-1.182432;-0.616142;;
99.025;-1.182433;-0.6161403;;
99.026;-1.182437;-0.6161343;;
99.054;-1.198238;-0.5848102;;
99.056;-1.198238;-0.5848102;;
99.058;-1.198238;-0.5848102;;
99.06;-1.198238;-0.5848102;;
99.09;-1.213101;-0.5533117;;
99.091;-1.213177;-0.5531511;;
99.092;-1.2132;-0.5531026;;
99.093;-1.213224;-0.5530502;;
99.122;-1.227309;-0.5210465;;
99.124;-1.227309;-0.5210465;;
99.126;-1.227309;-0.5210465;;
99.126;-1.227309;-0.5210465;;
99.127;-1.227309;-0.5210465;;
99.128;-1.227309;-0.5210465;;
99.1304751;;;-0.570245022786143;-0.285122511393071
99.156;-1.24081;-0.4880025;;
99.158;-1.241007;-0.4875209;;
99.16;-1.241041;-0.487436;;
99.161;-1.241049;-0.4874178;;
99.162;-1.241049;-0.4874178;;
99.162;-1.241049;-0.4874178;;
99.191;-1.252919;-0.4560165;;
99.192;-1.253069;-0.4556213;;
99.194;-1.253111;-0.4555105;;
99.195;-1.253117;-0.4554931;;
99.196;-1.253121;-0.4554832;;
99.197;-1.253124;-0.455474;;
99.225;-1.264489;-0.4228888;;
99.226;-1.264562;-0.4226787;;
99.227;-1.264587;-0.4226088;;
99.229;-1.26459;-0.4225981;;
99.23;-1.264592;-0.4225931;;
99.231;-1.264592;-0.4225931;;
99.259;-1.275292;-0.3891107;;
99.26;-1.275292;-0.3891107;;
99.262;-1.275292;-0.3891107;;
99.263;-1.275292;-0.3891107;;
99.265;-1.278646;-0.3779458;;
99.266;-1.278646;-0.3779458;;
99.293;-1.28511;-0.3553469;;
99.294;-1.28511;-0.3553469;;
99.295;-1.28511;-0.3553469;;
99.297;-1.28511;-0.3553469;;
99.298;-1.286385;-0.3506572;;
99.299;-1.287583;-0.3462494;;
99.327;-1.293965;-0.3216008;;
99.329;-1.294017;-0.3214006;;
99.331;-1.294021;-0.3213845;;
99.332;-1.295303;-0.3161244;;
99.333;-1.29653;-0.3110882;;
99.361;-1.301977;-0.2874592;;
99.363;-1.301977;-0.2874592;;
99.365;-1.301977;-0.2874592;;
99.395;-1.309049;-0.2532971;;
99.397;-1.309101;-0.2530429;;
99.399;-1.310594;-0.2451366;;
99.4;-1.311156;-0.2421571;;
99.401;-1.311245;-0.2416861;;
99.402;-1.31127;-0.2415537;;
