Timestamp;SelectionTime;Name;smoothCorrel;intendedObject;correlationToIntendedObject;correct?;threshold;w;corrWindow;corrFrequency
45.0058195;8.4479047;5;0.7341827;4;0.0193770043608633;False;0.6;300;900;0.3;
52.243982;1.2152233;1;0.6031293;4;-0.000481099927157225;False;0.6;300;900;0.3;
72.217456;1.206199;4;0.6878163;4;1;True;0.6;300;900;0.3;
75.9017269;1.8188239;1;0.6536486;2;0.00761498826523099;False;0.6;300;900;0.3;
85.0073434;6.3558242;1;0.7428023;2;0.0157702654024443;False;0.6;300;900;0.3;
89.0270042;1.8188236;1;0.6833816;2;0.929346895809862;False;0.6;300;900;0.3;
90.6347684;0.6121238;5;0.6545474;1;0.996591604543566;False;0.6;300;900;0.3;
96.0411061;2.4204194;4;0.9325325;4;1;True;0.6;300;900;0.3;
97.5606357;0.9144253;1;0.7099264;2;0.00156134013819192;False;0.6;300;900;0.3;
101.7156548;3.3162948;2;0.6419193;1;0.00285093038532336;False;0.6;300;900;0.3;
126.0095843;23.5218814;1;0.6188111;2;0;False;0.6;300;900;0.3;
136.7229996;6.9469241;5;0.7390161;2;-0.00696843231495886;False;0.6;300;900;0.3;
144.1612259;6.0625783;2;0.7399721;2;1;True;0.6;300;900;0.3;
152.3775289;6.3483482;1;0.7757128;2;0.947607053968958;False;0.6;300;900;0.3;
159.4773628;6.0430314;2;0.6242068;2;1;True;0.6;300;900;0.3;
168.9727124;6.0552263;2;0.6179389;2;1;True;0.6;300;900;0.3;
187.0541648;17.211646;5;0.7744873;3;-0.999831559232157;False;0.6;300;900;0.3;
195.2303487;6.3408162;4;0.7785198;3;9.14687182117513E-05;False;0.6;300;900;0.3;
200.3875261;3.624613;3;0.6354901;2;0.980747630166439;False;0.6;300;900;0.3;
212.3569706;9.9530976;3;0.8200397;2;0.014160607356815;False;0.6;300;900;0.3;
219.7756054;6.6480908;4;0.667339;4;1;True;0.6;300;900;0.3;
239.1060389;18.0926511;5;0.7818871;2;-0.999908769044186;False;0.6;300;900;0.3;
248.1443972;3.618986;3;0.7551142;3;1;True;0.6;300;900;0.3;
251.7289039;1.8193254;2;0.6198076;1;0.787473401504777;False;0.6;300;900;0.3;
257.7273191;1.2157318;3;0.6842788;2;0.0152100695398545;False;0.6;300;900;0.3;
266.3727554;7.2477295;5;0.6055114;3;-0.00826982016388117;False;0.6;300;900;0.3;
269.4464346;2.1121292;3;0.6745027;3;1;True;0.6;300;900;0.3;
