Timestamp;SelectionTime;Name;smoothCorrel;intendedObject;correlationToIntendedObject;correct?;threshold;w;corrWindow;corrFrequency
13.1257774;4.8221274;1;0.743196;1;1;True;0.6;300;900;0.3;
18.8921948;4.5381416;1;0.7642212;1;1;True;0.6;300;900;0.3;
21.2454709;0.905916;4;0.7175799;1;-0.0670806494380278;False;0.6;300;900;0.3;
26.8223613;3.6226696;3;0.8299131;3;1;True;0.6;300;900;0.3;
40.3138045;12.0546107;5;0.6867162;4;0.00144770583480475;False;0.6;300;900;0.3;
44.2698552;1.8238648;4;0.6044778;4;1;True;0.6;300;900;0.3;
49.1944981;3.6311934;1;0.6248403;4;-0.998808775651794;False;0.6;300;900;0.3;
55.0761851;3.9179503;4;0.8458006;1;-0.995913761712639;False;0.6;300;900;0.3;
73.8318333;12.3633779;3;0.7650717;3;1;True;0.6;300;900;0.3;
82.5463774;4.8361999;3;0.7842117;3;1;True;0.6;300;900;0.3;
86.6703761;2.7383032;1;0.7527452;1;1;True;0.6;300;900;0.3;
93.3938084;4.8484308;5;0.7164411;4;0.975269251441284;False;0.6;300;900;0.3;
98.8654025;2.4229627;2;0.616455;1;0.00964038155705171;False;0.6;300;900;0.3;
101.8438728;1.5255962;5;0.6438128;4;0.00153946178117098;False;0.6;300;900;0.3;
110.4944539;6.0441294;2;0.689985;2;1;True;0.6;300;900;0.3;
128.5771363;17.2118596;3;0.6661974;3;1;True;0.6;300;900;0.3;
131.1810477;1.2177322;3;0.6549309;4;0.979657299148864;False;0.6;300;900;0.3;
134.8984234;2.109609;4;0.6245493;4;1;True;0.6;300;900;0.3;
137.6246593;1.8083;1;0.6009411;1;1;True;0.6;300;900;0.3;
140.617603;2.1211303;1;0.8281898;1;1;True;0.6;300;900;0.3;
148.6078699;6.9490037;2;0.7124581;1;0.00158808179045972;False;0.6;300;900;0.3;
166.9712389;17.483534;4;0.6256344;4;1;True;0.6;300;900;0.3;
170.8264712;2.4179169;5;0.8777224;1;0.981633816667831;False;0.6;300;900;0.3;
173.7056343;1.5095277;2;0.719824;2;1;True;0.6;300;900;0.3;
178.8082072;3.6201377;2;0.6416028;3;0.979520723302402;False;0.6;300;900;0.3;
181.9721122;1.5100069;3;0.7252333;3;1;True;0.6;300;900;0.3;
185.9587208;3.3178335;5;0.867874;4;0.00429063572961219;False;0.6;300;900;0.3;
