Timestamp;SelectionTime;intendedObj;selectedObj;correct?;smoothCorrel;speed;objWidthInDeg;objHeightInDeg;radiusInDeg;distanceToIntendedDeg;correlationToIntendedObjectX;correlationToIntendedObjectY;corrThreshold;w;corrAverageWindow;corrFrequency
40.2023476;3.3138628;2;2;True;0.6012022;45;4.753011;4.187853;8.990777;0;1;1;0.6;300;900;0.3
43.8300503;0.9139444;4;5;False;0.6005085;45;5.092241;5.478098;42.93428;12.65523;0.9859839;0.996796;0.6;300;900;0.3
48.1089946;3.3273993;4;3;False;0.8875969;45;5.537071;3.916438;26.54615;8.16361;0.9802924;0.990694;0.6;300;900;0.3
52.7709627;1.5115429;4;5;False;0.6079336;45;15.37597;12.99722;8.990794;0.475162;-0.9955056;0.9989104;0.6;300;900;0.3
55.7619622;1.5085347;3;2;False;0.675192;45;12.01472;8.803164;26.54615;10.38554;0.9932558;0.9807206;0.6;300;900;0.3
57.7918909;0.9039176;3;4;False;0.6995369;45;5.413052;3.842076;42.93429;15.48669;-0.990415;0.9987746;0.6;300;900;0.3
59.6578895;0.6011077;4;5;False;0.6362555;45;10.76437;10.87855;26.54614;11.03005;0.998704;0.8743653;0.6;300;900;0.3
69.7679576;9.0572516;4;4;True;0.6413145;45;4.858722;3.863843;8.990788;0;1;1;0.6;300;900;0.3
74.7999152;3.6342196;2;1;False;0.8163227;45;15.80592;13.05983;26.54615;12.4521;0.9973649;-0.9585233;0.6;300;900;0.3
79.9902967;4.5240991;2;2;True;0.7055596;45;15.36081;14.36763;26.54614;0;1;1;0.6;300;900;0.3
83.2384847;2.1096427;4;5;False;0.6388291;45;15.82587;13.01209;26.54615;5.643296;-0.9964632;0.9992;0.6;300;900;0.3
89.3964534;3.3193771;3;3;True;0.6682796;45;12.60569;8.978624;42.93429;0;1;1;0.6;300;900;0.3
93.2623002;2.4154679;1;1;True;0.70466;45;4.843112;4.962071;26.54615;0;1;1;0.6;300;900;0.3
97.0399037;1.5125452;3;3;True;0.6717435;45;15.58256;12.29431;8.990777;0;1;1;0.6;300;900;0.3
104.979638;6.9395593;1;2;False;0.6557358;45;4.999842;4.218401;26.54615;15.7484;0.9992159;-0.9971806;0.6;300;900;0.3
107.633737;1.5075322;1;1;True;0.6436216;45;5.259457;5.477576;42.93428;0;1;1;0.6;300;900;0.3
109.8461537;0.903416;4;5;False;0.6262168;45;15.31127;16.49565;42.93428;12.82804;0.9204219;0.992623;0.6;300;900;0.3
116.2003069;4.5327817;1;1;True;0.6186703;45;16.19241;12.47437;42.93428;0;1;1;0.6;300;900;0.3
119.5347243;0.9189577;3;5;False;0.7582799;45;10.77458;9.082979;8.990783;0.6158142;-0.9997876;0.9804498;0.6;300;900;0.3
129.0642189;7.2438814;1;1;True;0.877757;45;10.85167;8.699633;8.990788;0;1;1;0.6;300;900;0.3
131.8637058;1.2067274;4;5;False;0.6673682;45;10.9728;10.46329;26.54615;4.86252;-0.9866968;0.99845;0.6;300;900;0.3
134.3787827;1.5098886;2;2;True;0.6018845;45;12.60573;8.752501;42.93428;0;1;1;0.6;300;900;0.3
137.3813875;2.1107194;1;5;False;0.7563281;45;16.20309;13.12015;42.93427;18.94761;0.9971049;-0.893716;0.6;300;900;0.3
140.5433439;2.1121489;2;2;True;0.6480713;45;10.84741;8.971565;8.990788;0;1;1;0.6;300;900;0.3
145.314605;3.6327158;3;2;False;0.604758;45;15.55339;13.08539;8.990783;4.309184;0.9896525;0.9703888;0.6;300;900;0.3
153.7283764;7.543945;2;4;False;0.6160603;45;4.727437;4.127299;8.990783;2.094822;-0.9997872;0.9728962;0.6;300;900;0.3
157.5099975;3.0195833;2;2;True;0.7386184;45;11.62311;11.81486;42.93428;0;1;1;0.6;300;900;0.3
