circular4Timestamp;circular4XPos;circular4YPos;circular4newCorr;circular4smoothCorr
16.6890829;;;0;0
16.707;-2.022542;-1.469463;;
16.707;-2.022542;-1.469463;;
16.728;-2.067194;-1.405929;;
16.731;-2.067683;-1.405233;;
16.734;-2.076611;-1.392;;
16.735;-2.077221;-1.391095;;
16.762;-2.095945;-1.36272;;
16.764;-2.096051;-1.362559;;
16.766;-2.104459;-1.3495;;
16.767;-2.107399;-1.344935;;
16.797;-2.130903;-1.307372;;
16.798;-2.131154;-1.306969;;
16.801;-2.139925;-1.292526;;
16.83;-2.164639;-1.250727;;
16.832;-2.172032;-1.237805;;
16.835;-2.175448;-1.231833;;
16.864;-2.197197;-1.192612;;
16.865;-2.197197;-1.192612;;
16.867;-2.204852;-1.178365;;
16.898;-2.227969;-1.13406;;
16.9;-2.235692;-1.11875;;
16.933;-2.265881;-1.056288;;
16.934;-2.266109;-1.055817;;
16.937;-2.266109;-1.055817;;
16.966;-2.284221;-1.01603;;
16.9771138;;;0.637370319863165;0.318685159931583
17;-2.317879;-0.9366563;;
17.002;-2.318253;-0.9357746;;
17.004;-2.318351;-0.9355437;;
17.034;-2.342119;-0.874323;;
17.036;-2.342237;-0.87402;;
17.039;-2.342306;-0.8738426;;
17.067;-2.364315;-0.8123907;;
17.069;-2.364486;-0.8119125;;
17.071;-2.364504;-0.8118628;;
17.101;-2.38481;-0.7500969;;
17.103;-2.384957;-0.7496493;;
17.136;-2.403732;-0.6870501;;
17.17;-2.420954;-0.6236578;;
17.172;-2.421051;-0.6233009;;
17.205;-2.436692;-0.5590452;;
17.24;-2.450592;-0.4945697;;
17.273;-2.462752;-0.4299452;;
17.2790962;;;0.408898963594162;0.348756427819109
17.205;-2.436692;-0.5590452;;
17.24;-2.450592;-0.4945697;;
17.273;-2.462752;-0.4299452;;
17.476;-2.499671;-0.03809735;;
17.477;-2.499717;-0.03761316;;
17.5810638;;;-0.0251618396117928;0.255276860961384
17.615;-2.487839;0.2450925;;
17.617;-2.487763;0.2469024;;
17.646;-2.483076;0.2903724;;
17.648;-2.481066;0.3069456;;
17.65;-2.480567;0.3110615;;
17.651;-2.480483;0.311754;;
17.681;-2.471318;0.3775567;;
17.682;-2.47126;0.377976;;
17.684;-2.471249;0.3780527;;
17.686;-2.471245;0.3780854;;
17.688;-2.471243;0.3780991;;
17.714;-2.464294;0.4209955;;
17.715;-2.461643;0.4361197;;
17.717;-2.46068;0.4416175;;
17.719;-2.460507;0.4426058;;
17.72;-2.460477;0.4427743;;
17.721;-2.460464;0.4428518;;
17.748;-2.448073;0.5068526;;
17.749;-2.447987;0.5072945;;
17.751;-2.44797;0.5073828;;
17.753;-2.447962;0.5074269;;
17.783;-2.433987;0.5706468;;
17.784;-2.433791;0.5715327;;
17.817;-2.41804;0.6348639;;
17.819;-2.417969;0.6351506;;
17.822;-2.417931;0.6353004;;
17.85;-2.400629;0.6977867;;
17.8826132;;;0.20526356711134;0.306592752739219
17.85;-2.400629;0.6977867;;
17.887;-2.381627;0.7600884;;
17.919;-2.360348;0.8238449;;
17.92;-2.36018;0.8243477;;
17.921;-2.36018;0.8243477;;
17.953;-2.337768;0.885874;;
17.954;-2.337476;0.8866777;;
17.957;-2.33743;0.8868023;;
17.957;-2.337427;0.8868116;;
