lineargazeTimestamp;lineargazeXPos;lineargazeYPos;lineargazenewCorr;lineargazesmoothCorr
11.782;0.3900877;0.7902158
11.785;0.3914701;0.7893953
11.788;0.3936027;0.7883677
11.815;0.3965102;0.7871914
11.816;0.3997225;0.7871656
11.818;0.4027007;0.7885029
11.849;0.4050192;0.7912167
11.85;0.406424;0.7951304
11.852;0.4068746;0.7988301
11.884;0.4064645;0.801528
11.885;0.405778;0.8029646
11.918;0.4039827;0.8007947
11.919;0.402264;0.7971375
11.92;0.4009089;0.7921464
11.951;0.39937;0.7865216
11.953;0.398654;0.7827253
11.985;0.3976223;0.7798806
11.987;0.3966843;0.7781578
11.989;0.3962313;0.7776413
12.019;0.3964484;0.7781139
12.021;0.3978211;0.7785432
12.022;0.4008397;0.7790256
11.782;0.3900877;0.7902158;;
11.785;0.3914701;0.7893953;;
11.788;0.3936027;0.7883677;;
11.815;0.3965102;0.7871914;;
11.816;0.3997225;0.7871656;;
11.818;0.4027007;0.7885029;;
11.849;0.4050192;0.7912167;;
11.85;0.406424;0.7951304;;
11.852;0.4068746;0.7988301;;
11.884;0.4064645;0.801528;;
11.885;0.405778;0.8029646;;
11.918;0.4039827;0.8007947;;
11.919;0.402264;0.7971375;;
11.92;0.4009089;0.7921464;;
11.951;0.39937;0.7865216;;
11.953;0.398654;0.7827253;;
11.985;0.3976223;0.7798806;;
11.987;0.3966843;0.7781578;;
11.989;0.3962313;0.7776413;;
12.019;0.3964484;0.7781139;;
12.021;0.3978211;0.7785432;;
12.022;0.4008397;0.7790256;;
11.782;0.3900877;0.7902158;;
11.785;0.3914701;0.7893953;;
11.788;0.3936027;0.7883677;;
11.815;0.3965102;0.7871914;;
11.816;0.3997225;0.7871656;;
11.818;0.4027007;0.7885029;;
11.849;0.4050192;0.7912167;;
11.85;0.406424;0.7951304;;
11.852;0.4068746;0.7988301;;
11.884;0.4064645;0.801528;;
11.885;0.405778;0.8029646;;
11.918;0.4039827;0.8007947;;
11.919;0.402264;0.7971375;;
11.92;0.4009089;0.7921464;;
11.951;0.39937;0.7865216;;
11.953;0.398654;0.7827253;;
11.985;0.3976223;0.7798806;;
11.987;0.3966843;0.7781578;;
11.989;0.3962313;0.7776413;;
12.019;0.3964484;0.7781139;;
12.021;0.3978211;0.7785432;;
12.022;0.4008397;0.7790256;;
11.782;0.3900877;0.7902158;;
11.785;0.3914701;0.7893953;;
11.788;0.3936027;0.7883677;;
11.815;0.3965102;0.7871914;;
11.816;0.3997225;0.7871656;;
11.818;0.4027007;0.7885029;;
11.849;0.4050192;0.7912167;;
11.85;0.406424;0.7951304;;
11.852;0.4068746;0.7988301;;
11.884;0.4064645;0.801528;;
11.885;0.405778;0.8029646;;
11.918;0.4039827;0.8007947;;
11.919;0.402264;0.7971375;;
11.92;0.4009089;0.7921464;;
11.951;0.39937;0.7865216;;
11.953;0.398654;0.7827253;;
11.985;0.3976223;0.7798806;;
11.987;0.3966843;0.7781578;;
11.989;0.3962313;0.7776413;;
12.019;0.3964484;0.7781139;;
12.021;0.3978211;0.7785432;;
12.022;0.4008397;0.7790256;;
11.782;0.3900877;0.7902158;;
11.785;0.3914701;0.7893953;;
11.788;0.3936027;0.7883677;;
11.815;0.3965102;0.7871914;;
11.816;0.3997225;0.7871656;;
11.818;0.4027007;0.7885029;;
11.849;0.4050192;0.7912167;;
11.85;0.406424;0.7951304;;
11.852;0.4068746;0.7988301;;
11.884;0.4064645;0.801528;;
11.885;0.405778;0.8029646;;
