cube2Timestamp;cube2XPos;cube2YPos;cube2newCorr;cube2smoothCorr
0;;;0;0
0.4542058;;;0;0
0.9114186;;;0;0
1.3706379;;;0;0
1.827851;;;0;0
2.201;-1;2.481431;;
2.203;-1;2.481431;;
2.219;-1;2.463069;;
2.22;-1;2.445368;;
2.239;-1;2.42726;;
2.26;-1;2.392564;;
2.26;-1;2.392355;;
2.261;-1;2.392197;;
2.28;-1;2.356892;;
2.281;-1;2.356433;;
2.282;-1;2.356433;;
2.2860671;;;-0.454665400001065;-0.151555133333688
2.281;-1;2.356433;;
2.282;-1;2.356433;;
2.301;-1;2.321155;;
2.301;-1;2.320879;;
2.302;-1;2.320729;;
2.302;-1;2.320704;;
2.322;-1;2.285338;;
2.322;-1;2.28506;;
2.323;-1;2.284918;;
2.342;-1;2.249318;;
2.343;-1;2.248926;;
2.344;-1;2.248873;;
2.345;-1;2.24886;;
2.365;-1;2.213392;;
2.366;-1;2.213392;;
2.366;-1;2.213392;;
2.367;-1;2.213392;;
2.387;-1;2.195347;;
2.388;-1;2.195347;;
2.39;-1;2.195347;;
2.408;-1;2.149333;;
2.409;-1;2.143458;;
2.428;-1;2.124199;;
2.429;-1;2.124014;;
2.449;-1;2.088802;;
2.45;-1;2.088467;;
2.469;-1;2.052813;;
2.47;-1;2.052424;;
2.49;-1;2.016487;;
2.51;-1;1.980893;;
2.511;-1;1.980521;;
2.532;-1;1.945334;;
2.533;-1;1.944975;;
2.556;-1;1.901385;;
2.566;-1;1.891618;;
2.58;-1;1.87292;;
2.581;-1;1.872639;;
2.601;-1;1.837911;;
2.603;-1;1.837525;;
2.622;-1;1.801422;;
2.623;-1;1.801031;;
2.644;-1;1.766276;;
2.645;-1;1.765934;;
2.666;-1;1.729235;;
2.667;-1;1.728871;;
2.688;-1;1.712308;;
2.689;-1;1.698706;;
2.709;-1;1.676626;;
2.71;-1;1.676407;;
2.729;-1;1.641557;;
2.73;-1;1.641173;;
2.7437818;;;0.370016383672147;-0.0282163387763058
2.729;-1;1.641557;;
2.73;-1;1.641173;;
2.751;-1;1.60612;;
