cube1Timestamp;cube1XPos;cube1YPos;cube1newCorr;cube1smoothCorr
0;;;0;0
0.4547094;;;0;0
0.9124282;;;0;0
1.370145;;;0;0
1.8283634;;;0;0
2.178;-0.2213401;-1.48358;;
2.197;-0.247421;-1.479454;;
2.217;-0.2604017;-1.477224;;
2.219;-0.2732507;-1.474901;;
2.238;-0.2861963;-1.472444;;
2.239;-0.2861963;-1.472444;;
2.24;-0.2861963;-1.472444;;
2.259;-0.311524;-1.467291;;
2.26;-0.3117718;-1.467241;;
2.26;-0.3118135;-1.467233;;
2.28;-0.337257;-1.461591;;
2.28;-0.3374366;-1.461552;;
2.281;-0.337579;-1.46152;;
2.282;-0.337579;-1.46152;;
2.2860812;;;-0.0095579547793565;-0.00318598492645217
2.197;-0.247421;-1.479454;;
2.217;-0.2604017;-1.477224;;
2.219;-0.2732507;-1.474901;;
2.238;-0.2861963;-1.472444;;
2.239;-0.2861963;-1.472444;;
2.24;-0.2861963;-1.472444;;
2.259;-0.311524;-1.467291;;
2.26;-0.3117718;-1.467241;;
2.26;-0.3118135;-1.467233;;
2.28;-0.337257;-1.461591;;
2.28;-0.3374366;-1.461552;;
2.281;-0.337579;-1.46152;;
2.282;-0.337579;-1.46152;;
2.301;-0.3631639;-1.455374;;
2.301;-0.3631639;-1.455374;;
2.302;-0.3631639;-1.455374;;
2.302;-0.3631639;-1.455374;;
2.322;-0.3882504;-1.44888;;
2.322;-0.3884495;-1.448828;;
2.344;-0.4135356;-1.441864;;
2.365;-0.4386464;-1.434424;;
2.367;-0.4391087;-1.434287;;
2.436;-0.513718;-1.40928;;
2.437;-0.513944;-1.409205;;
2.438;-0.51399;-1.409189;;
2.439;-0.51399;-1.409189;;
2.44;-0.51399;-1.409189;;
2.441;-0.51399;-1.409189;;
2.442;-0.5242591;-1.405393;;
2.443;-0.5259792;-1.404757;;
2.458;-0.5387605;-1.399906;;
2.459;-0.5387605;-1.399906;;
2.46;-0.5387605;-1.399906;;
2.46;-0.5387605;-1.399906;;
2.479;-0.563208;-1.390251;;
2.48;-0.563208;-1.390251;;
2.481;-0.563208;-1.390251;;
2.5;-0.5865136;-1.380571;;
2.501;-0.5873002;-1.380244;;
2.522;-0.6112972;-1.369781;;
2.523;-0.6116986;-1.369606;;
2.524;-0.6117961;-1.369563;;
2.525;-0.6118505;-1.36954;;
2.525;-0.6118597;-1.369536;;
2.545;-0.6353123;-1.358812;;
2.545;-0.6353347;-1.358802;;
2.546;-0.6355588;-1.358699;;
2.566;-0.6578041;-1.348056;;
2.566;-0.6578858;-1.348017;;
2.568;-0.6590844;-1.347443;;
2.569;-0.6591853;-1.347395;;
2.588;-0.6820124;-1.335976;;
2.59;-0.6828114;-1.335577;;
2.632;-0.7174737;-1.317278;;
2.7437987;;;0.238123686629662;0.0761885772834353
2.758;-0.8518871;-1.234601;;
2.78;-0.8734276;-1.219473;;
2.781;-0.8736325;-1.21933;;
2.802;-0.8947351;-1.203927;;
2.802;-0.8948497;-1.203844;;
2.823;-0.9157182;-1.188045;;
2.824;-0.9159285;-1.187886;;
2.846;-0.9363868;-1.171824;;
2.847;-0.9365669;-1.171683;;
2.867;-0.9568316;-1.15519;;
2.869;-0.9570517;-1.155011;;
2.889;-0.9769531;-1.138224;;
2.89;-0.9771612;-1.138049;;
2.911;-0.9965266;-1.121124;;
2.912;-0.9968606;-1.120832;;
2.913;-0.996941;-1.120762;;
2.914;-0.9969841;-1.120724;;
2.933;-1.015589;-1.103878;;
2.934;-1.01615;-1.10337;;
2.935;-1.016394;-1.103149;;
2.937;-1.01656;-1.102998;;
2.955;-1.025778;-1.094429;;
2.956;-1.03309;-1.087514;;
2.957;-1.035777;-1.084973;;
2.958;-1.035777;-1.084973;;
2.978;-1.053855;-1.06741;;
2.979;-1.054182;-1.067093;;
2.98;-1.054546;-1.066739;;
2.981;-1.054546;-1.066739;;
2.999;-1.063852;-1.057458;;
3.001;-1.063964;-1.057346;;
3.002;-1.073114;-1.048059;;
3.002;-1.073114;-1.048059;;
3.02;-1.082516;-1.038344;;
3.021;-1.082616;-1.03824;;
3.021;-1.082633;-1.038222;;
3.04;-1.100095;-1.019698;;
3.041;-1.100269;-1.019513;;
3.041;-1.100299;-1.019481;;
3.042;-1.100316;-1.019463;;
3.061;-1.118095;-0.9999318;;
3.062;-1.118095;-0.9999318;;
3.062;-1.118095;-0.9999318;;
3.081;-1.135273;-0.9803804;;
3.083;-1.13547;-0.9801571;;
3.104;-1.152268;-0.960349;;
3.105;-1.152402;-0.9601907;;
3.105;-1.152469;-0.9601126;;
3.125;-1.168869;-0.9400723;;
3.126;-1.169015;-0.9398946;;
3.146;-1.177237;-0.9295759;;
3.147;-1.18308;-0.9221086;;
3.147;-1.18544;-0.9190929;;
3.168;-1.20103;-0.8986158;;
3.17;-1.201395;-0.8981369;;
3.189;-1.209222;-0.8875692;;
3.1975056;;;0.873631762877055;0.36739916490912
3.189;-1.209222;-0.8875692;;
3.198;-1.216802;-0.8771476;;
3.273;-1.268298;-0.8008693;;
3.294;-1.282192;-0.7784435;;
3.296;-1.282358;-0.778176;;
3.315;-1.295577;-0.7559565;;
3.316;-1.295718;-0.75572;;
3.336;-1.308487;-0.73338;;
3.337;-1.308744;-0.7329301;;
3.338;-1.308785;-0.7328587;;
3.358;-1.321347;-0.7099527;;
3.359;-1.321476;-0.7097177;;
3.36;-1.321496;-0.7096813;;
3.361;-1.321501;-0.7096715;;
3.38;-1.32753;-0.6983276;;
3.381;-1.332723;-0.6883484;;
3.382;-1.333593;-0.6866766;;
3.383;-1.333724;-0.6864251;;
3.402;-1.339499;-0.6750824;;
3.403;-1.342641;-0.66878;;
3.404;-1.345111;-0.6638237;;
3.405;-1.345473;-0.663098;;
3.424;-1.351295;-0.6511531;;
3.425;-1.355196;-0.6429669;;
3.426;-1.356164;-0.6409359;;
3.426;-1.356633;-0.6399519;;
3.444;-1.36246;-0.6274562;;
3.445;-1.362539;-0.627286;;
3.446;-1.362539;-0.627286;;
3.465;-1.373157;-0.6036818;;
3.465;-1.373248;-0.6034787;;
3.466;-1.373297;-0.6033701;;
3.467;-1.373297;-0.6033701;;
3.467;-1.373297;-0.6033701;;
3.486;-1.383754;-0.5789868;;
3.487;-1.383754;-0.5789868;;
3.488;-1.383754;-0.5789868;;
3.507;-1.39352;-0.5550609;;
3.508;-1.393624;-0.5548058;;
3.509;-1.393641;-0.5547644;;
3.529;-1.403046;-0.5305216;;
3.529;-1.403089;-0.5304115;;
3.53;-1.403144;-0.5302682;;
3.531;-1.40316;-0.5302278;;
3.531;-1.403162;-0.5302221;;
3.551;-1.412169;-0.5057375;;
3.552;-1.412261;-0.5054861;;
3.553;-1.412276;-0.5054474;;
3.572;-1.420786;-0.4809969;;
3.573;-1.420871;-0.4807515;;
3.574;-1.4209;-0.4806699;;
3.574;-1.4209;-0.4806699;;
3.593;-1.429186;-0.455443;;
3.594;-1.429186;-0.455443;;
3.594;-1.429186;-0.455443;;
3.595;-1.429186;-0.455443;;
3.614;-1.433084;-0.4430224;;
3.615;-1.433084;-0.4430224;;
3.615;-1.435338;-0.4356197;;
3.616;-1.436531;-0.4317007;;
3.634;-1.440599;-0.4179363;;
3.635;-1.440646;-0.4177769;;
3.636;-1.440653;-0.4177548;;
3.636;-1.440654;-0.417751;;
3.6487064;;;-0.731538366629242;0.126739027625825
3.634;-1.440599;-0.4179363;;
3.635;-1.440646;-0.4177769;;
3.636;-1.440653;-0.4177548;;
3.636;-1.440654;-0.417751;;
3.655;-1.447675;-0.3927196;;
3.664;-1.447758;-0.3924229;;
3.665;-1.447762;-0.3924084;;
3.676;-1.455976;-0.360706;;
3.677;-1.456109;-0.3601933;;
3.677;-1.456116;-0.3601663;;
3.678;-1.456154;-0.3600198;;
3.697;-1.460547;-0.3417551;;
3.697;-1.460562;-0.3416927;;
3.698;-1.460607;-0.3415087;;
3.718;-1.466394;-0.3157341;;
3.718;-1.466394;-0.3157341;;
3.719;-1.466394;-0.3157341;;
3.72;-1.466394;-0.3157341;;
3.739;-1.471622;-0.2903814;;
3.739;-1.471652;-0.2902315;;
3.74;-1.471685;-0.2900742;;
3.741;-1.47169;-0.29005;;
3.76;-1.474178;-0.2771225;;
3.761;-1.475959;-0.2674177;;
3.762;-1.476403;-0.2649972;;
3.763;-1.47655;-0.2641965;;
