Gameobject;Timestamp;rx;ry;w;corrWindow;corrFreq;corrMethod;eye
verticalCube1;0;0;0;300;900;0.3;Pearson;BothEyes
verticalCube2;0;0;0;300;900;0.3;Pearson;BothEyes
verticalCube3;0;0;0;300;900;0.3;Pearson;BothEyes
verticalCube4;0;0;0;300;900;0.3;Pearson;BothEyes
verticalCube1;0.3690115;0;0;300;900;0.3;Pearson;BothEyes
verticalCube2;0.3690115;0;0;300;900;0.3;Pearson;BothEyes
verticalCube3;0.3690115;0;0;300;900;0.3;Pearson;BothEyes
verticalCube4;0.3690115;0;0;300;900;0.3;Pearson;BothEyes
verticalCube1;0.673346;0;0;300;900;0.3;Pearson;BothEyes
verticalCube2;0.673346;0;0;300;900;0.3;Pearson;BothEyes
verticalCube3;0.673346;0;0;300;900;0.3;Pearson;BothEyes
verticalCube4;0.673346;0;0;300;900;0.3;Pearson;BothEyes
verticalCube1;0.9746716;0;0;300;900;0.3;Pearson;BothEyes
verticalCube2;0.9746716;0;0;300;900;0.3;Pearson;BothEyes
verticalCube3;0.9746716;0;0;300;900;0.3;Pearson;BothEyes
verticalCube4;0.9746716;0;0;300;900;0.3;Pearson;BothEyes
verticalCube1;1.2770003;0;0;300;900;0.3;Pearson;BothEyes
verticalCube2;1.2770003;0;0;300;900;0.3;Pearson;BothEyes
verticalCube3;1.2770003;0;0;300;900;0.3;Pearson;BothEyes
verticalCube4;1.2770003;0;0;300;900;0.3;Pearson;BothEyes
verticalCube1;1.5778249;0;0;300;900;0.3;Pearson;BothEyes
verticalCube2;1.5778249;0;0;300;900;0.3;Pearson;BothEyes
verticalCube3;1.5778249;0;0;300;900;0.3;Pearson;BothEyes
verticalCube4;1.5778249;0;0;300;900;0.3;Pearson;BothEyes
verticalCube1;1.8896795;0;0;300;900;0.3;Pearson;BothEyes
verticalCube2;1.8896795;0;0;300;900;0.3;Pearson;BothEyes
verticalCube3;1.8896795;0;0;300;900;0.3;Pearson;BothEyes
verticalCube4;1.8896795;0;0;300;900;0.3;Pearson;BothEyes
verticalCube1;2.1920085;-0.802381544041475;0;300;900;0.3;Pearson;BothEyes
verticalCube2;2.1920085;-0.800139840870942;0;300;900;0.3;Pearson;BothEyes
verticalCube3;2.1920085;-0.80013962293629;0;300;900;0.3;Pearson;BothEyes
verticalCube4;2.1920085;-0.800139748564844;0;300;900;0.3;Pearson;BothEyes
verticalCube1;2.4938355;-0.456779823061496;0;300;900;0.3;Pearson;BothEyes
verticalCube2;2.4938355;-0.455998718585444;0;300;900;0.3;Pearson;BothEyes
verticalCube3;2.4938355;-0.455998280874993;0;300;900;0.3;Pearson;BothEyes
verticalCube4;2.4938355;-0.455998611609634;0;300;900;0.3;Pearson;BothEyes
verticalCube1;2.7951613;0.872444759682223;0;300;900;0.3;Pearson;BothEyes
verticalCube2;2.7951613;0.871584362117253;0;300;900;0.3;Pearson;BothEyes
verticalCube3;2.7951613;0.871584305141668;0;300;900;0.3;Pearson;BothEyes
verticalCube4;2.7951613;0.871585457147334;0;300;900;0.3;Pearson;BothEyes
verticalCube1;3.0930018;0.938051170371632;0;300;900;0.3;Pearson;BothEyes
verticalCube2;3.0930018;0.937825692916669;0;300;900;0.3;Pearson;BothEyes
verticalCube3;3.0930018;0.937825704041439;0;300;900;0.3;Pearson;BothEyes
verticalCube4;3.0930018;0.937825685908204;0;300;900;0.3;Pearson;BothEyes
verticalCube1;3.3983381;0.610856554652901;0;300;900;0.3;Pearson;BothEyes
verticalCube2;3.3983381;0.610840893567235;0;300;900;0.3;Pearson;BothEyes
verticalCube3;3.3983381;0.610840839615621;0;300;900;0.3;Pearson;BothEyes
verticalCube4;3.3983381;0.610841071595222;0;300;900;0.3;Pearson;BothEyes
verticalCube1;3.7006669;0.911670466667391;0;300;900;0.3;Pearson;BothEyes
verticalCube2;3.7006669;0.911755323134912;0;300;900;0.3;Pearson;BothEyes
verticalCube3;3.7006669;0.911755399234603;0;300;900;0.3;Pearson;BothEyes
verticalCube4;3.7006669;0.911755410531339;0;300;900;0.3;Pearson;BothEyes
verticalCube1;4.0019927;0.830999554463835;0;300;900;0.3;Pearson;BothEyes
verticalCube2;4.0019927;-0.588832687999447;0;300;900;0.3;Pearson;BothEyes
