verticalCube3Timestamp;verticalCube3XPos;verticalCube3YPos;verticalCube3newCorr;verticalCube3smoothCorr
0;;;0;0
0.383018;;;0;0
0.6908368;;;0;0
0.9921373;;;0;0
1.2934381;;;0;0
1.5952401;;;0;0
1.8965406;;;0;0
2.157;0.9094167;1;;
2.177;0.8549375;1;;
2.1983432;;;-0.5;-0.166666666666667
2.199;0.7952721;1;;
2.2;0.7952721;1;;
2.223;0.7474998;1;;
2.225;0.7474998;1;;
2.245;0.6946112;1;;
2.247;0.6946112;1;;
2.269;0.6681507;1;;
2.271;0.6437143;1;;
2.273;0.6416939;1;;
2.273;0.6416432;1;;
2.292;0.5876307;1;;
2.293;0.5870906;1;;
2.294;0.5869301;1;;
2.313;0.5344265;1;;
2.315;0.5338268;1;;
2.335;0.4810424;1;;
2.337;0.4804689;1;;
2.337;0.4804214;1;;
2.359;0.4285628;1;;
2.36;0.427107;1;;
2.38;0.3731836;1;;
2.382;0.3726026;1;;
2.401;0.3198653;1;;
2.403;0.3192665;1;;
2.423;0.2931651;1;;
2.424;0.2928329;1;;
2.445;0.2128751;1;;
2.446;0.2121502;1;;
2.468;0.1600149;1;;
2.47;0.1591178;1;;
2.49;0.1054928;1;;
2.491;0.1049676;1;;
2.5001452;;;-0.302888843061181;-0.267629614353727
2.49;0.1054928;1;;
2.491;0.1049676;1;;
2.513;0.05061559;1;;
2.513;0.05061559;1;;
2.534;-0.001996756;1;;
2.536;-0.002542704;1;;
2.558;-0.05500001;1;;
2.58;-0.07958549;1;;
2.581;-0.07958549;1;;
2.582;-0.07958549;1;;
2.602;-0.1592581;1;;
2.604;-0.1601191;1;;
2.649;-0.2672487;1;;
2.65;-0.2677031;1;;
2.652;-0.2678291;1;;
2.673;-0.3217377;1;;
2.674;-0.3222393;1;;
2.694;-0.3737211;1;;
2.696;-0.3742798;1;;
2.716;-0.4277246;1;;
2.717;-0.4282578;1;;
2.739;-0.4786964;1;;
2.742;-0.4819143;1;;
2.761;-0.5345672;1;;
2.763;-0.5351107;1;;
2.784;-0.5885053;1;;
2.785;-0.5891387;1;;
2.7999422;;;0.472250620755419;-0.110212740768587
2.806;-0.6416715;1;;
2.807;-0.6427127;1;;
2.829;-0.6951988;1;;
2.83;-0.6956555;1;;
2.85;-0.7510052;1;;
2.851;-0.7516877;1;;
2.871;-0.8028586;1;;
2.873;-0.8034879;1;;
2.893;-0.8301006;1;;
2.894;-0.8303584;1;;
2.914;-0.9098222;1;;
2.915;-0.9106552;1;;
2.936;-0.9634836;1;;
2.937;-0.9641128;1;;
2.958;-1.017445;1;;
2.959;-1.018079;1;;
2.981;-1.071112;1;;
2.982;-1.071559;1;;
3.005;-1.119931;1;;
3.008;-1.124828;1;;
3.029;-1.178327;1;;
3.03;-1.178818;1;;
3.05;-1.205048;1;;
3.071;-1.287114;1;;
3.072;-1.287931;1;;
3.074;-1.288075;1;;
3.093;-1.338954;1;;
3.094;-1.339488;1;;
3.1022465;;;0.334883888148002;0.16808188861408
3.093;-1.338954;1;;
3.094;-1.339488;1;;
3.115;-1.392717;1;;
3.116;-1.393159;1;;
3.137;-1.420148;1;;
3.138;-1.441988;1;;
3.159;-1.500172;1;;
3.16;-1.500879;1;;
3.181;-1.552816;1;;
3.182;-1.553844;1;;
3.204;-1.580757;1;;
3.205;-1.580991;1;;
3.225;-1.658357;1;;
3.248;-1.714343;1;;
3.271;-1.768394;1;;
3.272;-1.768887;1;;
3.293;-1.822415;1;;
3.315;-1.87566;1;;
3.316;-1.876281;1;;
3.317;-1.876281;1;;
3.338;-1.929126;1;;
3.339;-1.929753;1;;
3.383;-2.036091;1;;
3.4035465;;;0.496009702396068;0.434381403766496
3.405;-2.088866;1;;
3.428;-2.144155;1;;
3.429;-2.144761;1;;
3.43;-2.144761;1;;
3.45;-2.198034;1;;
3.472;-2.249605;1;;
3.474;-2.251137;1;;
3.495;-2.304534;1;;
3.54;-2.411174;1;;
3.563;-2.465358;1;;
3.564;-2.465855;1;;
3.565;-2.465939;1;;
3.585;-2.518789;1;;
3.586;-2.519336;1;;
3.617;-2.572853;1;;
3.651;-2.679846;1;;
3.652;-2.680624;1;;
3.653;-2.680624;1;;
3.674;-2.706653;1;;
3.697;-2.785393;1;;
3.7053486;;;0.491755534980187;0.440883041841419
3.697;-2.785393;1;;
3.742;-2.894073;1;;
3.743;-2.894472;1;;
3.812;-2.972642;1;;
3.813;-2.972927;1;;
3.877;-2.811835;1;;
3.898;-2.758484;1;;
3.921;-2.704109;1;;
3.922;-2.704109;1;;
3.943;-2.651243;1;;
3.943;-2.651243;1;;
3.965;-2.600386;1;;
3.966;-2.598901;1;;
3.968;-2.597637;1;;
3.968;-2.597541;1;;
3.988;-2.571308;1;;
3.989;-2.571035;1;;
4.0071509;;;-0.453348418082008;0.178138939764749
4.009;-2.491377;1;;
4.033;-2.43736;1;;
4.034;-2.436986;1;;
4.035;-2.436878;1;;
4.036;-2.436807;1;;
