circCubeCube1Timestamp;circCubeCube1XPos;circCubeCube1YPos;circCubeCube1newCorr;circCubeCube1smoothCorr
0;;;0;0
0.1915094;;;0;0
0.4928099;;;0;0
0.7941104;;;0;0
1.0959132;;;0;0
1.396712;;;0;0
1.6985148;;;0;0
1.9998156;;;0;0
2.198;-0.3591663;-1.456365;;
2.2;-0.3591663;-1.456365;;
2.218;-0.3852239;-1.44969;;
2.219;-0.3852239;-1.44969;;
2.239;-0.4101762;-1.442829;;
2.24;-0.4101762;-1.442829;;
2.261;-0.4358351;-1.435287;;
2.261;-0.4358351;-1.435287;;
2.262;-0.4358351;-1.435287;;
2.281;-0.4605085;-1.427558;;
2.281;-0.4606912;-1.427501;;
2.282;-0.4608376;-1.427455;;
2.283;-0.4608376;-1.427455;;
2.3021191;;;0.278306846948944;0.0695767117372359
2.303;-0.4856357;-1.41921;;
2.304;-0.4856357;-1.41921;;
2.325;-0.5100271;-1.410625;;
2.332;-0.5103097;-1.410526;;
2.334;-0.5103163;-1.410524;;
2.337;-0.5195705;-1.407128;;
2.337;-0.5201683;-1.406909;;
2.339;-0.5226741;-1.40599;;
2.348;-0.5355703;-1.401128;;
2.349;-0.5357849;-1.401047;;
2.37;-0.5593866;-1.39179;;
2.372;-0.5596285;-1.391695;;
2.372;-0.5596355;-1.391692;;
2.373;-0.5596676;-1.39168;;
2.374;-0.5596676;-1.39168;;
2.393;-0.5836725;-1.381781;;
2.394;-0.5839019;-1.381686;;
2.394;-0.5839311;-1.381674;;
2.395;-0.5839958;-1.381647;;
2.396;-0.5839958;-1.381647;;
2.414;-0.6077617;-1.371356;;
2.415;-0.6080316;-1.371239;;
2.436;-0.6317185;-1.360487;;
2.437;-0.6319507;-1.360381;;
2.438;-0.6319981;-1.36036;;
2.438;-0.6319981;-1.36036;;
2.439;-0.6319981;-1.36036;;
2.439;-0.6319981;-1.36036;;
2.459;-0.6558596;-1.349018;;
2.46;-0.6558596;-1.349018;;
2.537;-0.7353778;-1.307291;;
2.539;-0.7364691;-1.306718;;
2.542;-0.7373671;-1.306247;;
2.543;-0.7374172;-1.306221;;
2.543;-0.737442;-1.306208;;
2.544;-0.737442;-1.306208;;
2.545;-0.737442;-1.306208;;
2.545;-0.737442;-1.306208;;
2.546;-0.737442;-1.306208;;
2.548;-0.7488889;-1.299679;;
2.549;-0.7488889;-1.299679;;
2.55;-0.7488889;-1.299679;;
2.551;-0.7488889;-1.299679;;
2.551;-0.7488889;-1.299679;;
2.552;-0.7488889;-1.299679;;
2.563;-0.7600365;-1.29319;;
2.563;-0.7600893;-1.293159;;
2.564;-0.760301;-1.293036;;
2.564;-0.760301;-1.293036;;
2.585;-0.7811045;-1.280557;;
2.586;-0.7817793;-1.280152;;
2.6034196;;;0.217148320452269;0.123863791850303
