Gameobject;Timestamp;rx;ry;w;corrWindow;corrFreq;corrMethod;eye
circular (3)Cube1;0;0;0;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;0;0;0;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;0;0;0;300;900;0.3;Pearson;BothEyes
circularCube4;0;0;0;300;900;0.3;Pearson;BothEyes
circularCube5;0;0;0;300;900;0.3;Pearson;BothEyes
circularCube6;0;0;0;300;900;0.3;Pearson;BothEyes
circularCube7;0;0;0;300;900;0.3;Pearson;BothEyes
circularCube8;0;0;0;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;0.4306362;0;0;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;0.4306362;0;0;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;0.4306362;0;0;300;900;0.3;Pearson;BothEyes
circularCube4;0.4306362;0;0;300;900;0.3;Pearson;BothEyes
circularCube5;0.4306362;0;0;300;900;0.3;Pearson;BothEyes
circularCube6;0.4306362;0;0;300;900;0.3;Pearson;BothEyes
circularCube7;0.4306362;0;0;300;900;0.3;Pearson;BothEyes
circularCube8;0.4306362;0;0;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;0.7329342;0;0;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;0.7329342;0;0;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;0.7329342;0;0;300;900;0.3;Pearson;BothEyes
circularCube4;0.7329342;0;0;300;900;0.3;Pearson;BothEyes
circularCube5;0.7329342;0;0;300;900;0.3;Pearson;BothEyes
circularCube6;0.7329342;0;0;300;900;0.3;Pearson;BothEyes
circularCube7;0.7329342;0;0;300;900;0.3;Pearson;BothEyes
circularCube8;0.7329342;0;0;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;1.0347302;0;0;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;1.0347302;0;0;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;1.0347302;0;0;300;900;0.3;Pearson;BothEyes
circularCube4;1.0347302;0;0;300;900;0.3;Pearson;BothEyes
circularCube5;1.0347302;0;0;300;900;0.3;Pearson;BothEyes
circularCube6;1.0347302;0;0;300;900;0.3;Pearson;BothEyes
circularCube7;1.0347302;0;0;300;900;0.3;Pearson;BothEyes
circularCube8;1.0347302;0;0;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;1.3360254;0;0;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;1.3360254;0;0;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;1.3360254;0;0;300;900;0.3;Pearson;BothEyes
circularCube4;1.3360254;0;0;300;900;0.3;Pearson;BothEyes
circularCube5;1.3360254;0;0;300;900;0.3;Pearson;BothEyes
circularCube6;1.3360254;0;0;300;900;0.3;Pearson;BothEyes
circularCube7;1.3360254;0;0;300;900;0.3;Pearson;BothEyes
circularCube8;1.3360254;0;0;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;1.6378217;0;0;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;1.6378217;0;0;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;1.6378217;0;0;300;900;0.3;Pearson;BothEyes
circularCube4;1.6378217;0;0;300;900;0.3;Pearson;BothEyes
circularCube5;1.6378217;0;0;300;900;0.3;Pearson;BothEyes
circularCube6;1.6378217;0;0;300;900;0.3;Pearson;BothEyes
circularCube7;1.6378217;0;0;300;900;0.3;Pearson;BothEyes
circularCube8;1.6378217;0;0;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;1.9391343;0;0;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;1.9391343;0;0;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;1.9391343;0;0;300;900;0.3;Pearson;BothEyes
circularCube4;1.9391343;0;0;300;900;0.3;Pearson;BothEyes
circularCube5;1.9391343;0;0;300;900;0.3;Pearson;BothEyes
circularCube6;1.9391343;0;0;300;900;0.3;Pearson;BothEyes
circularCube7;1.9391343;0;0;300;900;0.3;Pearson;BothEyes
circularCube8;1.9391343;0;0;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;2.2409308;-0.72212213746967;-0.717261157218185;300;900;0.3;Pearson;BothEyes
