horizontalCube1Timestamp;horizontalCube1XPos;horizontalCube1YPos;horizontalCube1newCorr;horizontalCube1smoothCorr
0;;;0;0
0.4156049;;;0;0
0.7214175;;;0;0
1.0227178;;;0;0
1.3245209;;;0;0
1.6258211;;;0;0
1.9291272;;;0;0
2.178;-2;2.158078;;
2.197;-2;2.201972;;
2.199;-2;2.202955;;
2.22;-2;2.246936;;
2.221;-2;2.24747;;
2.2294257;;;0.401201167263167;0.133733722421056
2.22;-2;2.246936;;
2.221;-2;2.24747;;
2.243;-2;2.289755;;
2.245;-2;2.293095;;
2.267;-2;2.335918;;
2.268;-2;2.336291;;
2.269;-2;2.336382;;
2.269;-2;2.336397;;
2.288;-2;2.38139;;
2.289;-2;2.381973;;
2.29;-2;2.381973;;
2.291;-2;2.381973;;
2.316;-2;2.443285;;
2.317;-2;2.443285;;
2.318;-2;2.443285;;
2.331;-2;2.470232;;
2.332;-2;2.470644;;
2.333;-2;2.470753;;
2.334;-2;2.470753;;
2.353;-2;2.51499;;
2.354;-2;2.515457;;
2.355;-2;2.51555;;
2.356;-2;2.515569;;
2.376;-2;2.559556;;
2.377;-2;2.559947;;
2.378;-2;2.560066;;
2.379;-2;2.560103;;
2.398;-2;2.604314;;
2.399;-2;2.604738;;
2.399;-2;2.604908;;
2.4;-2;2.604908;;
2.42;-2;2.649006;;
2.421;-2;2.649469;;
2.422;-2;2.649541;;
2.442;-2;2.693815;;
2.443;-2;2.694553;;
2.444;-2;2.694863;;
2.445;-2;2.694909;;
2.464;-2;2.737896;;
2.466;-2;2.738751;;
2.466;-2;2.738903;;
2.467;-2;2.739007;;
2.487;-2;2.783346;;
2.488;-2;2.78378;;
2.488;-2;2.783854;;
2.489;-2;2.783894;;
2.509;-2;2.827487;;
2.51;-2;2.828123;;
2.51;-2;2.828421;;
2.511;-2;2.828572;;
2.531228;;;0.366968966630744;0.25605671129797
2.531;-2;2.872774;;
2.533;-2;2.872849;;
2.534;-2;2.873663;;
2.534;-2;2.8738;;
2.554;-2;2.917013;;
2.554;-2;2.917413;;
2.556;-2;2.918011;;
