circular (3)Cube6Timestamp;circular (3)Cube6XPos;circular (3)Cube6YPos;circular (3)Cube6newCorr;circular (3)Cube6smoothCorr
0;;;0;0
0.4406682;;;0;0
0.7469808;;;0;0
1.0482796;;;0;0
1.3495784;;;0;0
1.6513783;;;0;0
1.9531789;;;0;0
2.2549788;;;0;0
2.293;-1.975372;0.3129004;;
2.311;-1.980332;0.2797702;;
2.312;-1.980389;0.2793876;;
2.313;-1.980397;0.2793335;;
2.334;-1.984898;0.245259;;
2.335;-1.984989;0.2445723;;
2.356;-1.988922;0.2101804;;
2.358;-1.988961;0.2098368;;
2.358;-1.988961;0.2098363;;
2.359;-1.988966;0.2097984;;
2.379;-1.992234;0.1759537;;
2.38;-1.992286;0.1754126;;
2.381;-1.992343;0.1748236;;
2.401;-1.995067;0.1403239;;
2.402;-1.995101;0.1398941;;
2.424;-1.997212;0.1055017;;
2.425;-1.99723;0.1052113;;
2.444;-1.998085;0.08748356;;
2.446;-1.998698;0.07189923;;
2.446;-1.998741;0.0708061;;
2.467;-1.999686;0.03521344;;
2.475;-1.999697;0.03480748;;
2.477;-1.999697;0.03479572;;
2.478;-1.999697;0.03479465;;
2.491;-1.999921;0.01758975;;
2.492;-1.999975;0.005086343;;
2.493;-1.999989;0.001982829;;
2.494;-1.999997;4.068715E-06;;
2.513;-1.999637;-0.03784562;;
2.514;-1.999634;-0.03816497;;
2.516;-1.999633;-0.03831859;;
2.536;-1.99877;-0.0700276;;
2.537;-1.998762;-0.07034422;;
2.538;-1.99876;-0.07040894;;
2.539;-1.99876;-0.07042551;;
2.5562779;;;-0.516889157662491;-0.172296385887497
2.56;-1.997207;-0.1056347;;
2.58;-1.995079;-0.1401668;;
2.581;-1.99506;-0.1404696;;
2.581;-1.995058;-0.1405045;;
2.582;-1.995053;-0.1405803;;
2.604;-1.992236;-0.1760198;;
2.605;-1.992209;-0.1763494;;
2.606;-1.992205;-0.1764011;;
2.606;-1.992204;-0.1764208;;
2.624;-1.988869;-0.2107164;;
2.625;-1.988869;-0.2107164;;
2.626;-1.988869;-0.2107164;;
2.626;-1.988869;-0.2107164;;
2.649;-1.984902;-0.2452567;;
2.65;-1.984869;-0.2455443;;
2.651;-1.984861;-0.2456146;;
2.671;-1.980226;-0.280518;;
