circularCube1Timestamp;circularCube1XPos;circularCube1YPos;circularCube1newCorr;circularCube1smoothCorr
0;;;0;0
0.4406682;;;0;0
0.7469808;;;0;0
1.0482796;;;0;0
1.3495784;;;0;0
1.6513783;;;0;0
1.9531789;;;0;0
2.2549788;;;0;0
2.293;-0.8934866;1.789324;;
2.311;-0.8619352;1.80473;;
2.312;-0.8615708;1.804908;;
2.313;-0.8615193;1.804933;;
2.334;-0.825043;1.821885;;
2.335;-0.8243079;1.822227;;
2.356;-0.7985677;1.833652;;
2.358;-0.7983105;1.833766;;
2.358;-0.7983102;1.833766;;
2.359;-0.7982817;1.833779;;
2.379;-0.7669163;1.847105;;
2.38;-0.7664148;1.847318;;
2.381;-0.7658689;1.84755;;
2.401;-0.7339366;1.860463;;
2.402;-0.7335388;1.860624;;
2.424;-0.7008059;1.873194;;
2.425;-0.7005295;1.8733;;
2.444;-0.6841112;1.879358;;
2.446;-0.6696501;1.884551;;
2.446;-0.6686357;1.884916;;
2.467;-0.6348188;1.896573;;
2.475;-0.6344331;1.896706;;
2.477;-0.6344219;1.89671;;
2.478;-0.6344209;1.89671;;
2.491;-0.6178143;1.902183;;
2.492;-0.5989025;1.908176;;
2.493;-0.5942084;1.909664;;
2.494;-0.5912154;1.910612;;
2.513;-0.5677504;1.91772;;
2.514;-0.5675524;1.91778;;
2.516;-0.5674571;1.917809;;
2.536;-0.5337515;1.927458;;
2.537;-0.533415;1.927554;;
2.538;-0.5333462;1.927574;;
2.539;-0.5333286;1.927579;;
2.5562779;;;0.457430748279871;0.15247691609329
2.56;-0.4998121;1.936539;;
2.58;-0.4654025;1.945092;;
2.581;-0.4651009;1.945167;;
2.581;-0.465066;1.945176;;
2.582;-0.4649905;1.945195;;
2.604;-0.4315493;1.952883;;
2.605;-0.4312382;1.952954;;
2.606;-0.4311895;1.952966;;
2.606;-0.4311709;1.95297;;
2.624;-0.3970897;1.960184;;
2.625;-0.3970897;1.960184;;
2.626;-0.3970897;1.960184;;
2.626;-0.3970897;1.960184;;
2.649;-0.3546976;1.968291;;
2.65;-0.3543446;1.968358;;
2.651;-0.3542583;1.968375;;
2.671;-0.3284614;1.972842;;
2.672;-0.3282108;1.972885;;
2.673;-0.3281355;1.972898;;
