gazeTimestamp;gazeXPos;gazeYPos;gazenewCorr;gazesmoothCorr
2.74;0;0
2.74;0;0;;
2.74;0;0;;
2.74;0;0;;
2.74;0;0;;
2.74;0;0;;
2.74;0;0;;
3.709;2.294348;1.298382
3.775;2.44722;1.799844
3.709;2.294348;1.298382;;
3.775;2.44722;1.799844;;
3.91;2.417932;1.769218
3.709;2.294348;1.298382;;
3.775;2.44722;1.799844;;
3.91;2.417932;1.769218;;
3.709;2.294348;1.298382;;
3.775;2.44722;1.799844;;
3.91;2.417932;1.769218;;
3.709;2.294348;1.298382;;
3.775;2.44722;1.799844;;
3.91;2.417932;1.769218;;
3.709;2.294348;1.298382;;
3.775;2.44722;1.799844;;
3.91;2.417932;1.769218;;
3.709;2.294348;1.298382;;
3.775;2.44722;1.799844;;
3.91;2.417932;1.769218;;
3.709;2.294348;1.298382;;
3.775;2.44722;1.799844;;
3.91;2.417932;1.769218;;
3.709;2.294348;1.298382;;
3.775;2.44722;1.799844;;
3.91;2.417932;1.769218;;
3.709;2.294348;1.298382;;
3.775;2.44722;1.799844;;
3.91;2.417932;1.769218;;
3.709;2.294348;1.298382;;
3.775;2.44722;1.799844;;
3.91;2.417932;1.769218;;
5.318;2.752017;1.086971
5.318;2.752017;1.086971;;
5.318;2.752017;1.086971;;
5.521;2.510232;0.9422266
5.588;2.341583;1.150936
5.61;1.720606;0.805555
5.318;2.752017;1.086971;;
5.521;2.510232;0.9422266;;
5.588;2.341583;1.150936;;
5.61;1.720606;0.805555;;
5.685;1.409612;0.6331209
5.521;2.510232;0.9422266;;
5.588;2.341583;1.150936;;
5.61;1.720606;0.805555;;
5.685;1.409612;0.6331209;;
5.878;1.227659;0.5321002
5.947;1.101852;0.4573809
5.685;1.409612;0.6331209;;
5.878;1.227659;0.5321002;;
5.947;1.101852;0.4573809;;
6.011;1.213633;0.3148524
6.098;0.8415043;0.8538135
6.099;1.050736;0.6419522
6.12;1.293597;0.5345808
5.878;1.227659;0.5321002;;
5.947;1.101852;0.4573809;;
6.011;1.213633;0.3148524;;
6.098;0.8415043;0.8538135;;
6.099;1.050736;0.6419522;;
6.12;1.293597;0.5345808;;
6.253;1.312367;0.5124382
6.274;1.359836;0.3733173
6.011;1.213633;0.3148524;;
6.098;0.8415043;0.8538135;;
6.099;1.050736;0.6419522;;
6.12;1.293597;0.5345808;;
6.253;1.312367;0.5124382;;
6.274;1.359836;0.3733173;;
6.297;1.161993;0.4356284
6.318;0.9884091;0.6677289
6.34;0.8227934;0.8911271
6.098;0.8415043;0.8538135;;
6.099;1.050736;0.6419522;;
6.12;1.293597;0.5345808;;
6.253;1.312367;0.5124382;;
6.274;1.359836;0.3733173;;
6.297;1.161993;0.4356284;;
6.318;0.9884091;0.6677289;;
6.34;0.8227934;0.8911271;;
6.536;0.8444546;1.121632
6.559;0.9519558;1.187413
6.274;1.359836;0.3733173;;
6.297;1.161993;0.4356284;;
6.318;0.9884091;0.6677289;;
6.34;0.8227934;0.8911271;;
6.536;0.8444546;1.121632;;
6.559;0.9519558;1.187413;;
6.669;0.9983066;1.10999
6.536;0.8444546;1.121632;;
6.559;0.9519558;1.187413;;
6.669;0.9983066;1.10999;;
6.82;0.5742244;0.9474629
6.885;0.7101418;1.030574
6.907;0.8791759;0.7981173
6.669;0.9983066;1.10999;;
