cube1Timestamp;cube1XPos;cube1YPos;cube1newCorr;cube1smoothCorr
0;;;0;0
0.4541738;;;0;0
0.9118854;;;0;0
1.3710425;;;0;0
1.8282237;;;0;0
2.189;-0.908479;1.781759;;
2.19;-0.908479;1.781759;;
2.209;-0.8770081;1.797458;;
2.21;-0.8770081;1.797458;;
2.211;-0.8770081;1.797458;;
2.233;-0.8611198;1.805124;;
2.253;-0.813579;1.827044;;
2.255;-0.813579;1.827044;;
2.255;-0.813579;1.827044;;
2.275;-0.7816818;1.840912;;
2.276;-0.7813569;1.841054;;
2.277;-0.781285;1.841085;;
2.286408;;;0.673782849224557;0.224594283074852
2.297;-0.7652689;1.8478;;
2.298;-0.7545704;1.852175;;
2.299;-0.7503263;1.853911;;
2.3;-0.7491066;1.854409;;
2.319;-0.7328834;1.86088;;
2.32;-0.7218003;1.865189;;
2.321;-0.7180841;1.866634;;
2.322;-0.7166837;1.867178;;
2.342;-0.6837924;1.879471;;
2.343;-0.6835104;1.879577;;
2.344;-0.6834195;1.879611;;
2.345;-0.6833833;1.879624;;
2.366;-0.6511906;1.891011;;
2.366;-0.6510459;1.891062;;
2.367;-0.6506053;1.891218;;
2.368;-0.6504072;1.891288;;
2.387;-0.6338124;1.896913;;
2.389;-0.6335981;1.896985;;
2.411;-0.5837597;1.91291;;
2.412;-0.5837597;1.91291;;
2.412;-0.5837597;1.91291;;
2.413;-0.5837597;1.91291;;
2.432;-0.5503805;1.922771;;
2.433;-0.5498508;1.922928;;
2.434;-0.5496445;1.922989;;
2.435;-0.5495549;1.923015;;
2.455;-0.5163897;1.932182;;
2.456;-0.516091;1.932264;;
2.457;-0.5160024;1.932289;;
2.457;-0.5159653;1.932299;;
2.477;-0.4825074;1.94092;;
2.477;-0.4823474;1.940961;;
2.478;-0.4821282;1.941018;;
2.479;-0.4820937;1.941027;;
2.48;-0.4820841;1.941029;;
2.499;-0.4482499;1.949117;;
2.5;-0.447915;1.949197;;
2.5;-0.4477967;1.949225;;
2.521;-0.4308267;1.953046;;
2.521;-0.4219534;1.954962;;
2.522;-0.4135528;1.956776;;
2.523;-0.4135528;1.956776;;
2.542;-0.396626;1.960275;;
2.543;-0.3963228;1.960338;;
2.551;-0.3961897;1.960366;;
2.552;-0.3961809;1.960367;;
2.565;-0.3427977;1.970403;;
2.566;-0.3379864;1.971232;;
2.567;-0.336797;1.971437;;
2.568;-0.336062;1.971563;;
2.588;-0.3106241;1.975729;;
2.589;-0.3103714;1.97577;;
2.59;-0.3103182;1.975779;;
2.61;-0.2930187;1.978417;;
2.632;-0.2583892;1.983231;;
2.633;-0.2439497;1.985052;;
2.653;-0.2231023;1.987516;;
2.654;-0.2228903;1.987541;;
2.655;-0.2086926;1.98907;;
2.676;-0.1882246;1.991122;;
2.677;-0.1880442;1.99114;;
2.677;-0.1809979;1.991774;;
2.678;-0.1723239;1.992555;;
2.698;-0.1533264;1.994113;;
2.699;-0.1531258;1.994129;;
2.7;-0.1530916;1.994132;;
2.701;-0.1530864;1.994133;;
2.721;-0.1102085;1.996956;;
2.722;-0.1024536;1.99737;;
2.723;-0.1013056;1.997432;;
2.724;-0.1009392;1.997451;;
2.743;-0.0830512;1.998275;;
2.744;-0.0830512;1.998275;;
2.7440902;;;-0.286144982726449;0.129212622166036
2.743;-0.0830512;1.998275;;
2.744;-0.0830512;1.998275;;
2.745;-0.06576347;1.998919;;
2.746;-0.06576347;1.998919;;
2.765;-0.04843196;1.99941;;
2.766;-0.04810738;1.999421;;
2.767;-0.02882881;1.999766;;
2.767;-0.02552362;1.999825;;
2.788;-0.01260893;1.99996;;
2.788;-0.01250933;1.999961;;
2.789;0.001536401;1.999991;;
2.79;0.003597664;1.999995;;
2.812;0.03910183;1.999614;;
2.813;0.03938034;1.999611;;
2.813;0.0393897;1.999611;;
2.814;0.03949044;1.99961;;
2.834;0.05713609;1.999183;;
2.835;0.06913958;1.998789;;
2.835;0.07035138;1.998749;;
2.836;0.07361769;1.998641;;
2.856;0.09349157;1.997812;;
2.878;0.1351555;1.995418;;
2.879;0.1428327;1.994888;;
2.9;0.1623648;1.993397;;
2.902;0.1794965;1.991929;;
2.922;0.1969788;1.990274;;
2.923;0.2113889;1.988787;;
2.944;0.2318068;1.98652;;
2.945;0.2320092;1.986497;;
2.946;0.2455403;1.984857;;
2.947;0.24859;1.984487;;
2.947;0.2491147;1.984423;;
2.967;0.2834763;1.979805;;
2.975;0.2838857;1.97975;;
2.976;0.2838953;1.979748;;
2.977;0.2838974;1.979748;;
2.989;0.3182884;1.974492;;
2.99;0.3194591;1.974313;;
2.991;0.3199695;1.974235;;
2.992;0.320282;1.974187;;
3.013;0.3364286;1.9715;;
3.013;0.3364531;1.971496;;
3.016;0.3366103;1.97147;;
3.017;0.3366209;1.971468;;
3.035;0.3870364;1.962184;;
3.036;0.3875412;1.962091;;
3.036;0.3877542;1.962052;;
3.037;0.3877542;1.962052;;
3.058;0.4217;1.955033;;
3.079;0.4560814;1.947299;;
3.08;0.4564181;1.947224;;
3.102;0.490281;1.938972;;
3.103;0.490575;1.9389;;
3.104;0.4906711;1.938876;;
3.104;0.4906711;1.938876;;
3.105;0.4906711;1.938876;;
3.127;0.5241031;1.930104;;
3.129;0.5244331;1.930018;;
3.13;0.5244678;1.930009;;
3.15;0.5576347;1.920684;;
3.151;0.5580422;1.92057;;
3.152;0.5580422;1.92057;;
3.171;0.574991;1.915563;;
3.172;0.5751822;1.915506;;
3.173;0.5752105;1.915498;;
3.174;0.5896361;1.911096;;
3.1907441;;;0.815742363445465;0.401126743314524
3.194;0.6246874;1.899934;;
3.195;0.6250387;1.899822;;
3.196;0.6250973;1.899803;;
3.196;0.6250982;1.899803;;
3.216;0.6689377;1.884806;;
3.217;0.6693259;1.884673;;
3.218;0.669446;1.884632;;
3.239;0.6914943;1.876654;;
3.24;0.6916853;1.876585;;
3.241;0.6917403;1.876565;;
3.241;0.6917476;1.876562;;
3.26;0.7240704;1.864325;;
3.261;0.7244927;1.864165;;
3.262;0.7244927;1.864165;;
3.262;0.7244927;1.864165;;
3.282;0.7566783;1.85133;;
3.283;0.7569827;1.851209;;
3.283;0.7570329;1.851189;;
3.284;0.7570778;1.851171;;
3.303;0.789031;1.837774;;
3.304;0.789446;1.8376;;
3.306;0.789446;1.8376;;
3.325;0.8052727;1.830718;;
3.326;0.805504;1.830617;;
3.326;0.8055348;1.830604;;
3.328;0.8056995;1.830532;;
3.348;0.8533043;1.808832;;
3.348;0.8533043;1.808832;;
3.349;0.8533043;1.808832;;
3.349;0.8533043;1.808832;;
3.368;0.8692151;1.801239;;
3.369;0.86939;1.801155;;
3.37;0.8819798;1.79501;;
3.371;0.8845897;1.793736;;
3.391;0.9008785;1.785613;;
3.392;0.901019;1.785543;;
3.392;0.9010229;1.785541;;
3.393;0.913319;1.77927;;
3.412;0.9334078;1.768825;;
3.413;0.933591;1.76873;;
3.413;0.9336085;1.768721;;
3.414;0.9336599;1.768694;;
3.433;0.9625008;1.753162;;
3.434;0.9627775;1.753013;;
3.434;0.9628143;1.752993;;
3.454;0.9930477;1.736042;;
