Cube3Timestamp;Cube3XPos;Cube3YPos;Cube3newCorr;Cube3smoothCorr
0;;;0;0
0.1970228;;;0;0
0.4988239;;;0;0
0.7996321;;;0;0
1.1014419;;;0;0
1.4027412;;;0;0
1.7045427;;;0;0
2.0058417;;;0;0
2.246;1.123337;2.5;;
2.3076428;;;0;0
2.311;0.9628727;2.5;;
2.341;0.9090254;2.5;;
2.354;0.8527729;2.5;;
2.355;0.8519032;2.5;;
2.376;0.8027632;2.5;;
2.378;0.801766;2.5;;
2.399;0.7484474;2.5;;
2.4;0.7477998;2.5;;
2.42;0.6949954;2.5;;
2.422;0.694424;2.5;;
2.443;0.6411797;2.5;;
2.444;0.6406969;2.5;;
2.465;0.5876239;2.5;;
2.466;0.5871347;2.5;;
2.487;0.5335321;2.5;;
2.488;0.5330001;2.5;;
2.509;0.4803459;2.5;;
2.51;0.4798095;2.5;;
2.531;0.426672;2.5;;
2.532;0.4261412;2.5;;
2.555;0.3730665;2.5;;
2.556;0.3726003;2.5;;
2.577;0.3186551;2.5;;
2.579;0.318101;2.5;;
2.6;0.2647265;2.5;;
2.601;0.2640789;2.5;;
2.6099451;;;0.15481493655595;0.0387037341389875
2.6;0.2647265;2.5;;
2.601;0.2640789;2.5;;
2.622;0.2109276;2.5;;
2.623;0.2104491;2.5;;
2.644;0.1577596;2.5;;
2.646;0.1572152;2.5;;
2.667;0.1041817;2.5;;
2.668;0.1036896;2.5;;
2.688;0.05049396;2.5;;
2.69;0.04991613;2.5;;
2.71;-0.0007270984;2.5;;
2.712;-0.002378053;2.5;;
2.734;-0.05538832;2.5;;
2.735;-0.05580619;2.5;;
2.756;-0.1096676;2.5;;
2.757;-0.1101271;2.5;;
2.778;-0.1635505;2.5;;
2.779;-0.1635505;2.5;;
2.801;-0.2166494;2.5;;
2.802;-0.2172633;2.5;;
2.823;-0.2703113;2.5;;
2.825;-0.2708592;2.5;;
2.846;-0.3241626;2.5;;
2.847;-0.3247022;2.5;;
2.868;-0.3777636;2.5;;
2.869;-0.3784006;2.5;;
2.89;-0.4305016;2.5;;
2.891;-0.4315519;2.5;;
2.9107434;;;0.495220833049767;0.162508942401429
2.912;-0.4850772;2.5;;
2.934;-0.5385034;2.5;;
2.935;-0.5391245;2.5;;
2.936;-0.5391245;2.5;;
2.957;-0.5919266;2.5;;
2.958;-0.5924507;2.5;;
2.979;-0.6464104;2.5;;
2.981;-0.6464104;2.5;;
3.002;-0.6989101;2.5;;
3.003;-0.6993839;2.5;;
3.025;-0.752983;2.5;;
3.092;-0.9139697;2.5;;
3.093;-0.9144813;2.5;;
3.114;-0.9674644;2.5;;
3.115;-0.9679853;2.5;;
3.136;-1.020798;2.5;;
3.137;-1.021309;2.5;;
3.159;-1.07447;2.5;;
3.16;-1.074915;2.5;;
3.181;-1.127851;2.5;;
3.182;-1.128325;2.5;;
3.202;-1.18149;2.5;;
3.204;-1.182148;2.5;;
3.2125445;;;-0.453417152709502;0.0491546542240538
3.202;-1.18149;2.5;;
