cube2Timestamp;cube2XPos;cube2YPos;cube2newCorr;cube2smoothCorr
0;;;0;0
0.3429106;;;0;0
0.8006247;;;0;0
1.2588421;;;0;0
1.7175583;;;0;0
2.1757739;;;0;0
2.234;-0.28559;-1;;
2.236;-0.28559;-1;;
2.254;-0.3299269;-1;;
2.255;-0.3304339;-1;;
2.276;-0.3735729;-1;;
2.278;-0.3744752;-1;;
2.299;-0.4190372;-1;;
2.3;-0.4195726;-1;;
2.321;-0.4645918;-1;;
2.321;-0.4645918;-1;;
2.344;-0.5081571;-1;;
2.389;-0.5976506;-1;;
2.41;-0.6422197;-1;;
2.412;-0.6431264;-1;;
2.433;-0.6868742;-1;;
2.434;-0.6872651;-1;;
2.455;-0.7314006;-1;;
2.457;-0.7323226;-1;;
2.478;-0.7762873;-1;;
2.479;-0.7766932;-1;;
2.5;-0.8207146;-1;;
2.501;-0.8211266;-1;;
2.521;-0.8440629;-1;;
2.544;-0.9088091;-1;;
2.59;-1.000044;-1;;
2.6334888;;;-0.416727689633659;-0.104181922408415
2.59;-1.000044;-1;;
2.634;-1.089522;-1;;
2.635;-1.089944;-1;;
2.656;-1.134375;-1;;
2.657;-1.134911;-1;;
2.678;-1.177955;-1;;
2.701;-1.222615;-1;;
2.702;-1.223603;-1;;
2.708;-1.223603;-1;;
2.723;-1.268134;-1;;
2.724;-1.268727;-1;;
2.745;-1.290557;-1;;
2.746;-1.308946;-1;;
2.767;-1.335093;-1;;
2.879;-1.558019;-1;;
2.925;-1.669805;-1;;
3.036;-1.893167;-1;;
3.0917142;;;0.11202629169915;-0.0761753494836274
3.125;-2.072324;-1;;
3.127;-2.072758;-1;;
3.148;-2.116298;-1;;
3.149;-2.117042;-1;;
3.169;-2.160057;-1;;
3.171;-2.161952;-1;;
3.193;-2.206143;-1;;
3.193;-2.206652;-1;;
3.194;-2.206652;-1;;
3.214;-2.249909;-1;;
3.238;-2.294988;-1;;
3.24;-2.295925;-1;;
3.262;-2.34079;-1;;
3.362;-2.526973;-1;;
3.371;-2.562209;-1;;
3.373;-2.563838;-1;;
3.373;-2.564077;-1;;
3.374;-2.564077;-1;;
3.396;-2.608804;-1;;
3.416;-2.653278;-1;;
3.417;-2.653739;-1;;
3.418;-2.653805;-1;;
3.438;-2.697871;-1;;
3.461;-2.741854;-1;;
3.484;-2.787243;-1;;
3.506;-2.831762;-1;;
3.529;-2.876258;-1;;
3.5494293;;;-0.366162507039217;-0.167715976243432
3.572;-2.965982;-1;;
3.619;-2.977341;-1;;
3.639;-2.931978;-1;;
3.64;-2.931506;-1;;
3.662;-2.888405;-1;;
3.684;-2.843925;-1;;
3.819;-2.575339;-1;;
3.841;-2.530887;-1;;
3.842;-2.53038;-1;;
3.864;-2.486982;-1;;
3.866;-2.486143;-1;;
3.908;-2.397565;-1;;
3.931;-2.352109;-1;;
3.953;-2.30755;-1;;
3.954;-2.307037;-1;;
3.978;-2.267532;-1;;
3.982;-2.26249;-1;;
3.982;-2.26249;-1;;
3.997;-2.219329;-1;;
4.0071432;;;-0.170028447546803;-0.210223088130132
3.953;-2.30755;-1;;
3.954;-2.307037;-1;;
3.978;-2.267532;-1;;
3.982;-2.26249;-1;;
3.982;-2.26249;-1;;
3.997;-2.219329;-1;;
4.02;-2.173867;-1;;
4.041;-2.128721;-1;;
4.043;-2.128253;-1;;
4.064;-2.083792;-1;;
4.087;-2.03957;-1;;
4.109;-1.995006;-1;;
4.11;-1.994631;-1;;
4.13;-1.950387;-1;;
4.132;-1.949908;-1;;
4.152;-1.90657;-1;;
4.155;-1.905228;-1;;
4.177;-1.861506;-1;;
4.178;-1.86065;-1;;
4.199;-1.816459;-1;;
4.2;-1.815619;-1;;
4.201;-1.815386;-1;;
4.221;-1.771601;-1;;
4.243;-1.727129;-1;;
4.244;-1.726778;-1;;
4.264;-1.682335;-1;;
4.266;-1.681357;-1;;
4.286;-1.638078;-1;;
4.288;-1.637155;-1;;
4.309;-1.593921;-1;;
4.398;-1.436798;-1;;
4.399;-1.418561;-1;;
4.4653593;;;-0.313149827796628;-0.184328622670875
4.467;-1.280263;-1;;
4.469;-1.279859;-1;;
4.471;-1.279765;-1;;
4.472;-1.279755;-1;;
4.472;-1.27975;-1;;
4.49;-1.235544;-1;;
4.512;-1.190529;-1;;
4.533;-1.146216;-1;;
4.556;-1.101338;-1;;
4.562;-1.100865;-1;;
4.577;-1.057496;-1;;
4.578;-1.056278;-1;;
4.6;-1.012381;-1;;
4.602;-1.011391;-1;;
4.624;-0.9672042;-1;;
4.625;-0.9667015;-1;;
4.646;-0.9228619;-1;;
4.647;-0.9224278;-1;;
4.668;-0.8779649;-1;;
4.67;-0.8775072;-1;;
4.69;-0.8335485;-1;;
4.691;-0.8330967;-1;;
