Cube3Timestamp;Cube3XPos;Cube3YPos;Cube3newCorr;Cube3smoothCorr
0;;;0;0
0.187;-0.2952018;0.7;;
0.188;-0.2952018;0.7;;
0.189;-0.2952018;0.7;;
0.212;-0.2952018;0.7;;
0.214;-0.2952018;0.7;;
0.235;-0.2952018;0.7;;
0.255;-0.2952018;0.7;;
0.256;-0.2952018;0.7;;
0.257;-0.2952018;0.7;;
0.277;-0.2952018;0.7;;
0.278;-0.2952018;0.7;;
0.301;-0.2952018;0.7;;
0.305;-0.2952018;0.7;;
0.306;-0.2952018;0.7;;
0.307;-0.2952018;0.7;;
0.32;-0.2952018;0.7;;
0.321;-0.2952018;0.7;;
0.325;-0.2952018;0.7;;
0.327;-0.2952018;0.7;;
0.345;-0.2952018;0.7;;
0.348;-0.2952018;0.7;;
0.349;-0.2952018;0.7;;
0.35;-0.2952018;0.7;;
0.362;-0.2952018;0.7;;
0.362;-0.2952018;0.7;;
0.382;-0.2952018;0.7;;
0.382;-0.2952018;0.7;;
0.383;-0.2952018;0.7;;
0.383;-0.2952018;0.7;;
0.402;-0.2952018;0.7;;
0.403;-0.2952018;0.7;;
0.404;-0.2952018;0.7;;
0.405;-0.2952018;0.7;;
0.423;-0.2952018;0.7;;
0.424;-0.2952018;0.7;;
0.424;-0.2952018;0.7;;
0.425;-0.2952018;0.7;;
0.444;-0.2952018;0.7;;
0.445;-0.2952018;0.7;;
0.445;-0.2952018;0.7;;
0.446;-0.2952018;0.7;;
0.465;-0.2952018;0.7;;
0.466;-0.2952018;0.7;;
0.467;-0.2952018;0.7;;
0.4762636;;;0;0
0.515;0.2991723;0.7;;
0.516;0.3017299;0.7;;
0.529;0.3384516;0.7;;
0.529;0.3387285;0.7;;
0.53;0.339179;0.7;;
0.531;0.339179;0.7;;
0.55;0.3478114;0.7;;
0.552;0.3479097;0.7;;
0.553;0.3479204;0.7;;
0.572;0.3868946;0.7;;
0.573;0.3872773;0.7;;
0.574;0.3874019;0.7;;
0.574;0.3874019;0.7;;
0.594;0.4176345;0.7;;
0.595;0.417928;0.7;;
0.614;0.4180157;0.7;;
0.615;0.4180166;0.7;;
0.615;0.4180168;0.7;;
0.616;0.4180169;0.7;;
0.617;0.4180169;0.7;;
0.618;0.4180169;0.7;;
0.635;0.4180169;0.7;;
0.636;0.4180169;0.7;;
0.637;0.4180169;0.7;;
0.637;0.4180169;0.7;;
0.657;0.4180169;0.7;;
0.657;0.4180169;0.7;;
0.658;0.4180169;0.7;;
0.678;0.4180169;0.7;;
0.68;0.4180169;0.7;;
0.7;0.4180169;0.7;;
0.7;0.4180169;0.7;;
0.701;0.4180169;0.7;;
0.724;0.6420559;0.7;;
0.725;0.6438607;0.7;;
0.725;0.6441368;0.7;;
0.726;0.6445324;0.7;;
0.727;0.6445324;0.7;;
0.727;0.6445324;0.7;;
0.745;0.6785347;0.7;;
0.746;0.6789236;0.7;;
0.768;0.7044993;0.7;;
0.769;0.7187899;0.7;;
0.7800702;;;-0.209493817071907;-0.0698312723573022
0.79;0.7397478;0.7;;
0.791;0.7545094;0.7;;
0.792;0.7568206;0.7;;
0.816;0.7933149;0.7;;
0.817;0.7933149;0.7;;
0.817;0.7933149;0.7;;
0.817;0.7933149;0.7;;
0.837;0.8289677;0.7;;
0.838;0.8289677;0.7;;
0.838;0.8289677;0.7;;
0.839;0.8289677;0.7;;
0.858;0.8640844;0.7;;
0.859;0.8644564;0.7;;
0.86;0.864547;0.7;;
0.94;0.9894244;0.7;;
0.941;0.9894244;0.7;;
0.941;0.9894244;0.7;;
0.942;0.9894244;0.7;;
0.943;0.9894244;0.7;;
0.944;0.9894244;0.7;;
0.944;0.9894244;0.7;;
0.946;0.9894244;0.7;;
0.947;0.9894244;0.7;;
0.948;1.007693;0.7;;
0.962;1.025056;0.7;;
0.963;1.025372;0.7;;
0.983;1.060599;0.7;;
0.984;1.060966;0.7;;
0.985;1.061018;0.7;;
1.004;1.096139;0.7;;
1.005;1.096592;0.7;;
1.006;1.096592;0.7;;
1.006;1.096592;0.7;;
1.025;1.115114;0.7;;
1.026;1.128914;0.7;;
1.027;1.131743;0.7;;
1.048;1.150588;0.7;;
1.049;1.169343;0.7;;
1.049;1.170396;0.7;;
1.069;1.187163;0.7;;
1.071;1.20188;0.7;;
1.071;1.202507;0.7;;
1.072;1.203886;0.7;;
1.073;1.204108;0.7;;
1.081871;;;0.420611712739369;0.0703726318891542
1.069;1.187163;0.7;;
1.071;1.20188;0.7;;
1.071;1.202507;0.7;;
1.072;1.203886;0.7;;
1.073;1.204108;0.7;;
1.092;1.221805;0.7;;
1.093;1.236664;0.7;;
1.094;1.239001;0.7;;
1.095;1.23965;0.7;;
1.114;1.257538;0.7;;
1.115;1.272987;0.7;;
1.116;1.275638;0.7;;
1.137;1.3113;0.7;;
1.138;1.311652;0.7;;
1.139;1.311709;0.7;;
1.14;1.311719;0.7;;
1.141;1.31172;0.7;;
1.16;1.346777;0.7;;
1.161;1.347135;0.7;;
1.161;1.347197;0.7;;
1.162;1.347233;0.7;;
1.163;1.347244;0.7;;
1.183;1.382775;0.7;;
1.183;1.382775;0.7;;
1.184;1.382775;0.7;;
1.204;1.400816;0.7;;
1.205;1.420969;0.7;;
1.206;1.425185;0.7;;
1.207;1.426297;0.7;;
1.228;1.454371;0.7;;
1.229;1.454371;0.7;;
1.23;1.454371;0.7;;
1.23;1.454371;0.7;;
1.231;1.454371;0.7;;
1.25;1.489357;0.7;;
1.251;1.489685;0.7;;
1.251;1.489716;0.7;;
1.271;1.525345;0.7;;
1.272;1.525708;0.7;;
1.273;1.525766;0.7;;
1.294;1.561201;0.7;;
1.295;1.561547;0.7;;
1.296;1.5616;0.7;;
