Cube1Timestamp;Cube1XPos;Cube1YPos;Cube1newCorr;Cube1smoothCorr
0;;;0;0
0.4186084;;;0;0
0.7254209;;;0;0
1.026718;;;0;0
1.3290186;;;0;0
1.6293135;;;0;0
1.9316141;;;0;0
2.2334127;;;0;0
2.273;1.592494;-2;;
2.274;1.592494;-2;;
2.292;1.542383;-2;;
2.293;1.541698;-2;;
2.294;1.541698;-2;;
2.294;1.541698;-2;;
2.313;1.503344;-2;;
2.314;1.502948;-2;;
2.315;1.502852;-2;;
2.334;1.459707;-2;;
2.335;1.459057;-2;;
2.336;1.45868;-2;;
2.336;1.458616;-2;;
2.337;1.458585;-2;;
2.357;1.414342;-2;;
2.357;1.413975;-2;;
2.358;1.413815;-2;;
2.378;1.391642;-2;;
2.378;1.391433;-2;;
2.379;1.39108;-2;;
2.38;1.39108;-2;;
2.381;1.39108;-2;;
2.4;1.347427;-2;;
2.4;1.324419;-2;;
2.401;1.324419;-2;;
2.421;1.302294;-2;;
2.422;1.30209;-2;;
2.423;1.288582;-2;;
2.424;1.284013;-2;;
2.441;1.25715;-2;;
2.442;1.256826;-2;;
2.443;1.25676;-2;;
2.462;1.212072;-2;;
2.463;1.212072;-2;;
2.463;1.212072;-2;;
2.464;1.212072;-2;;
2.484;1.168097;-2;;
2.484;1.168097;-2;;
2.485;1.168097;-2;;
2.486;1.168097;-2;;
2.508;1.122785;-2;;
2.508;1.122785;-2;;
2.508;1.122785;-2;;
2.509;1.122785;-2;;
2.511;1.122785;-2;;
2.529;1.079668;-2;;
2.53;1.078831;-2;;
2.5402253;;;-0.100647589554931;-0.0335491965183102
2.551;1.026629;-2;;
2.552;1.025877;-2;;
2.553;1.02476;-2;;
2.554;1.02476;-2;;
2.554;1.02476;-2;;
2.573;0.9894159;-2;;
2.574;0.9894159;-2;;
2.574;0.9894159;-2;;
2.594;0.9452102;-2;;
2.616;0.9007014;-2;;
2.617;0.9000552;-2;;
2.618;0.8998286;-2;;
2.619;0.8997393;-2;;
2.619;0.8997254;-2;;
2.62;0.8997116;-2;;
2.639;0.8559089;-2;;
2.64;0.855323;-2;;
2.64;0.855323;-2;;
2.659;0.8109195;-2;;
2.66;0.8104813;-2;;
2.661;0.8103426;-2;;
2.661;0.8103426;-2;;
2.662;0.8103426;-2;;
2.68;0.7659366;-2;;
2.681;0.765425;-2;;
2.682;0.7653448;-2;;
2.704;0.7213144;-2;;
2.704;0.7210018;-2;;
2.705;0.7208521;-2;;
2.734;0.6762471;-2;;
2.736;0.6759106;-2;;
2.747;0.6328132;-2;;
2.748;0.6320263;-2;;
2.768;0.6100641;-2;;
2.769;0.5930619;-2;;
2.77;0.5878611;-2;;
2.771;0.587019;-2;;
2.791;0.543979;-2;;
2.791;0.5433709;-2;;
2.793;0.5418091;-2;;
2.794;0.5418091;-2;;
2.812;0.5203511;-2;;
2.813;0.5201064;-2;;
2.814;0.5014209;-2;;
2.815;0.4981964;-2;;
2.833;0.4748417;-2;;
2.834;0.4746011;-2;;
2.835;0.4745409;-2;;
2.8360087;;;0.490512925015437;0.129955111820169
2.854;0.4204733;-2;;
2.855;0.4197711;-2;;
2.856;0.4197711;-2;;
2.856;0.4197711;-2;;
2.875;0.3864109;-2;;
2.876;0.3860762;-2;;
2.876;0.3860186;-2;;
2.877;0.3859791;-2;;
2.897;0.341245;-2;;
2.897;0.341245;-2;;
2.898;0.341245;-2;;
2.917;0.2979114;-2;;
2.918;0.2971092;-2;;
2.919;0.2968287;-2;;
2.92;0.2967908;-2;;
2.939;0.2528872;-2;;
2.94;0.2520443;-2;;
2.942;0.2517616;-2;;
2.942;0.2517553;-2;;
2.961;0.2081865;-2;;
2.962;0.207774;-2;;
