small (1)Cube1Timestamp;small (1)Cube1XPos;small (1)Cube1YPos;small (1)Cube1newCorr;small (1)Cube1smoothCorr
0;;;0;0
0.38853;;;0;0
0.6963468;;;0;0
0.9978184;;;0;0
1.2991162;;;0;0
1.6009171;;;0;0
1.9177567;;;0;0
2.155;0.4634173;0;;
2.156;0.4634173;0;;
2.174;0.4188719;0;;
2.196;0.374504;0;;
2.197;0.3741293;0;;
2.221;0.3299394;0;;
2.2305862;;;-0.274577930986196;-0.0915259769953986
2.232;0.3106895;0;;
2.242;0.2827324;0;;
2.245;0.2768524;0;;
2.266;0.2398859;0;;
2.267;0.239537;0;;
2.287;0.1848927;0;;
2.288;0.1843062;0;;
2.309;0.1508523;0;;
2.31;0.1505309;0;;
2.311;0.1504688;0;;
2.331;0.106125;0;;
2.332;0.1057242;0;;
2.352;0.06188946;0;;
2.353;0.06144096;0;;
2.374;0.01649971;0;;
2.375;0.01649971;0;;
2.394;-0.02773759;0;;
2.396;-0.02831299;0;;
2.417;-0.05010237;0;;
2.418;-0.06950305;0;;
2.44;-0.1284865;0;;
2.441;-0.1290144;0;;
2.463;-0.1661649;0;;
2.483;-0.2064272;0;;
2.485;-0.2073133;0;;
2.505;-0.2293557;0;;
2.506;-0.2517454;0;;
2.528;-0.2953843;0;;
2.53;-0.2962595;0;;
2.538904;;;-0.0548279161581981;-0.109801949048131
2.528;-0.2953843;0;;
2.53;-0.2962595;0;;
2.55;-0.3191127;0;;
2.551;-0.3371584;0;;
2.573;-0.3841134;0;;
2.575;-0.3857374;0;;
2.596;-0.4095508;0;;
2.598;-0.409797;0;;
2.618;-0.4642427;0;;
2.62;-0.4754094;0;;
2.64;-0.519435;0;;
2.642;-0.5199747;0;;
2.663;-0.5646423;0;;
2.664;-0.5646423;0;;
2.685;-0.6083999;0;;
2.687;-0.609455;0;;
2.708;-0.6536695;0;;
2.729;-0.6980851;0;;
2.731;-0.6990172;0;;
2.752;-0.7530644;0;;
2.753;-0.7536069;0;;
2.774;-0.7874978;0;;
2.775;-0.7878072;0;;
2.776;-0.7878824;0;;
2.776;-0.7878953;0;;
2.798;-0.8317508;0;;
2.798;-0.8322228;0;;
2.8;-0.8331367;0;;
2.801;-0.8332415;0;;
2.821;-0.8780004;0;;
2.822;-0.8784418;0;;
2.823;-0.8785377;0;;
2.823;-0.8785541;0;;
2.8407041;;;0.402025564585734;0.0242065724804467
2.843;-0.9213207;0;;
2.844;-0.9218577;0;;
2.845;-0.9218577;0;;
2.845;-0.9218577;0;;
2.865;-0.9678191;0;;
2.866;-0.9678191;0;;
2.866;-0.9678191;0;;
2.887;-0.9884634;0;;
2.887;-0.9885223;0;;
2.888;-0.988715;0;;
2.889;-0.988715;0;;
2.889;-0.988715;0;;
2.908;-0.988715;0;;
2.909;-0.988715;0;;
2.909;-0.988715;0;;
2.91;-0.988715;0;;
2.93;-1.011108;0;;
2.931;-1.011108;0;;
2.932;-1.011108;0;;
2.956;-1.1287;0;;
2.956;-1.129897;0;;
2.96;-1.144827;0;;
2.961;-1.144827;0;;
2.961;-1.144827;0;;
2.995;-1.18915;0;;
2.996;-1.18915;0;;
2.997;-1.18915;0;;
2.997;-1.18915;0;;
3.017;-1.234209;0;;
3.017;-1.234209;0;;
3.019;-1.234209;0;;
3.019;-1.234209;0;;
3.038;-1.300667;0;;
3.038;-1.301242;0;;
3.039;-1.301482;0;;
3.04;-1.301531;0;;
3.059;-1.345354;0;;
3.06;-1.345747;0;;
3.06;-1.34577;0;;
3.061;-1.345931;0;;
3.08;-1.390947;0;;
3.081;-1.390947;0;;
3.081;-1.390947;0;;
3.082;-1.390947;0;;
3.102;-1.444931;0;;
3.103;-1.444931;0;;
3.103;-1.444931;0;;
3.104;-1.444931;0;;
3.124;-1.480139;0;;
3.125;-1.480461;0;;
3.125;-1.480513;0;;
3.1425042;;;0.495795830083505;0.280997826170347
3.038;-1.300667;0;;
3.038;-1.301242;0;;
3.039;-1.301482;0;;
3.04;-1.301531;0;;
3.059;-1.345354;0;;
3.06;-1.345747;0;;
3.06;-1.34577;0;;
3.061;-1.345931;0;;
3.08;-1.390947;0;;
3.081;-1.390947;0;;
3.081;-1.390947;0;;
3.082;-1.390947;0;;
3.102;-1.444931;0;;
3.103;-1.444931;0;;
3.103;-1.444931;0;;
3.104;-1.444931;0;;
3.124;-1.480139;0;;
3.125;-1.480461;0;;
3.125;-1.480513;0;;
3.147;-1.52454;0;;
3.148;-1.524954;0;;
3.149;-1.525036;0;;
3.15;-1.525036;0;;
3.15;-1.525036;0;;
3.169;-1.56937;0;;
3.17;-1.56996;0;;
3.171;-1.56996;0;;
3.171;-1.56996;0;;
3.19;-1.613919;0;;
3.191;-1.614488;0;;
3.192;-1.614488;0;;
3.192;-1.614488;0;;
3.212;-1.658735;0;;
3.212;-1.659089;0;;
3.213;-1.659248;0;;
3.236;-1.703603;0;;
3.237;-1.703926;0;;
3.237;-1.704087;0;;
3.238;-1.704087;0;;
3.258;-1.757795;0;;
3.259;-1.757795;0;;
3.279;-1.793206;0;;
3.28;-1.793206;0;;
3.28;-1.793206;0;;
3.281;-1.793206;0;;
3.281;-1.793206;0;;
3.301;-1.837905;0;;
3.301;-1.837905;0;;
3.302;-1.837905;0;;
3.322;-1.894616;0;;
3.323;-1.895152;0;;
3.323;-1.895241;0;;
3.4443051;;;0.478312194068727;0.458711196245989
3.457;-2.151269;0;;
3.458;-2.151606;0;;
3.48;-2.195696;0;;
3.481;-2.196106;0;;
3.482;-2.196171;0;;
3.483;-2.196189;0;;
3.483;-2.196214;0;;
3.484;-2.196201;0;;
3.502;-2.240105;0;;
3.503;-2.240709;0;;
3.504;-2.240709;0;;
3.504;-2.240709;0;;
3.524;-2.285218;0;;
3.525;-2.285643;0;;
3.525;-2.285715;0;;
3.545;-2.329701;0;;
3.546;-2.330157;0;;
3.547;-2.330223;0;;
3.547;-2.330234;0;;
3.569;-2.38552;0;;
3.57;-2.386044;0;;
3.571;-2.386118;0;;
3.571;-2.386131;0;;
3.572;-2.386139;0;;
3.592;-2.419725;0;;
3.592;-2.419725;0;;
3.593;-2.419725;0;;
3.613;-2.463183;0;;
3.614;-2.463547;0;;
3.615;-2.463668;0;;
3.615;-2.463728;0;;
3.616;-2.463728;0;;
3.635;-2.50817;0;;
3.636;-2.508585;0;;
3.657;-2.55312;0;;
3.658;-2.553506;0;;
3.658;-2.553661;0;;
3.659;-2.553661;0;;
3.66;-2.553661;0;;
3.685;-2.576078;0;;
3.686;-2.592473;0;;
3.686;-2.595135;0;;
3.687;-2.598223;0;;
3.687;-2.598223;0;;
3.701;-2.641575;0;;
3.702;-2.642612;0;;
3.723;-2.664914;0;;
3.723;-2.682098;0;;
3.724;-2.693603;0;;
3.725;-2.695444;0;;
3.726;-2.695738;0;;
3.727;-2.695781;0;;
3.7461257;;;-0.289073724534063;0.22834476653939
3.746;-2.731749;0;;
3.748;-2.731782;0;;
3.769;-2.775911;0;;
3.769;-2.7762;0;;
3.77;-2.776865;0;;
3.771;-2.776956;0;;
3.772;-2.776975;0;;
3.79;-2.821278;0;;
3.791;-2.821792;0;;
3.792;-2.821861;0;;
3.813;-2.86589;0;;
3.814;-2.866313;0;;
3.815;-2.866395;0;;
3.816;-2.866408;0;;
3.836;-2.910683;0;;
3.837;-2.911134;0;;
3.838;-2.911206;0;;
3.838;-2.911235;0;;
3.839;-2.911235;0;;
3.84;-2.911235;0;;
3.859;-2.953763;0;;
3.86;-2.954179;0;;
3.881;-3.007511;0;;
3.881;-3.008137;0;;
3.882;-3.008622;0;;
3.883;-3.008758;0;;
3.884;-3.008779;0;;
3.903;-2.977853;0;;
3.904;-2.97744;0;;
3.905;-2.97744;0;;
3.925;-2.933786;0;;
3.926;-2.933371;0;;
3.927;-2.933276;0;;
3.927;-2.93326;0;;
3.948;-2.888694;0;;
3.949;-2.888275;0;;
3.949;-2.888203;0;;
3.95;-2.88816;0;;
3.951;-2.88816;0;;
3.951;-2.88816;0;;
3.969;-2.843935;0;;
3.97;-2.843459;0;;
3.992;-2.799089;0;;
3.993;-2.798738;0;;
3.994;-2.798625;0;;
3.994;-2.798619;0;;
3.995;-2.798587;0;;
4.015;-2.754554;0;;
4.022;-2.753991;0;;
4.023;-2.753991;0;;
4.038;-2.696954;0;;
4.039;-2.696179;0;;
4.04;-2.696057;0;;
4.0469225;;;-0.0693274910763504;0.0399703261527712
4.038;-2.696954;0;;
4.039;-2.696179;0;;
4.04;-2.696057;0;;
4.062;-2.664768;0;;
4.083;-2.620293;0;;
4.084;-2.619855;0;;
4.085;-2.61979;0;;
4.086;-2.619774;0;;
4.105;-2.57616;0;;
4.106;-2.575595;0;;
4.107;-2.575595;0;;
4.108;-2.575595;0;;
4.108;-2.575595;0;;
4.128;-2.531224;0;;
4.129;-2.530664;0;;
4.13;-2.530664;0;;
4.15;-2.486318;0;;
4.151;-2.485877;0;;
4.151;-2.485802;0;;
4.152;-2.48576;0;;
4.174;-2.441774;0;;
4.175;-2.441438;0;;
4.175;-2.441431;0;;
4.176;-2.441273;0;;
4.176;-2.441273;0;;
4.177;-2.441273;0;;
4.196;-2.385813;0;;
4.196;-2.385813;0;;
4.217;-2.352655;0;;
4.218;-2.352375;0;;
4.219;-2.352294;0;;
4.219;-2.352283;0;;
4.22;-2.352268;0;;
4.239;-2.307593;0;;
4.24;-2.307154;0;;
4.24;-2.306993;0;;
4.261;-2.26265;0;;
4.262;-2.26265;0;;
4.284;-2.217999;0;;
4.284;-2.217999;0;;
4.285;-2.217999;0;;
4.285;-2.217999;0;;
4.305;-2.173836;0;;
4.306;-2.173292;0;;
4.307;-2.173292;0;;
4.307;-2.173292;0;;
4.328;-2.129057;0;;
4.329;-2.12865;0;;
4.33;-2.128563;0;;
4.331;-2.12854;0;;
4.331;-2.12854;0;;
4.3482216;;;-0.29955795905293;-0.219319724887781
4.328;-2.129057;0;;
4.329;-2.12865;0;;
4.33;-2.128563;0;;
4.331;-2.12854;0;;
4.331;-2.12854;0;;
4.357;-2.074364;0;;
4.358;-2.073842;0;;
4.359;-2.073842;0;;
4.372;-2.031046;0;;
4.373;-2.030485;0;;
4.373;-2.030451;0;;
4.374;-2.030267;0;;
4.395;-1.995074;0;;
4.396;-1.994779;0;;
4.397;-1.994692;0;;
4.418;-1.950439;0;;
4.418;-1.950232;0;;
4.419;-1.949961;0;;
4.42;-1.949912;0;;
4.441;-1.905828;0;;
4.442;-1.905442;0;;
4.443;-1.905342;0;;
4.443;-1.905325;0;;
4.444;-1.905312;0;;
4.463;-1.861108;0;;
4.464;-1.860627;0;;
4.465;-1.860533;0;;
4.466;-1.860533;0;;
4.466;-1.860533;0;;
4.486;-1.815975;0;;
4.487;-1.815975;0;;
4.508;-1.761952;0;;
4.508;-1.761555;0;;
4.509;-1.761359;0;;
4.51;-1.761304;0;;
4.51;-1.761304;0;;
4.511;-1.761304;0;;
4.529;-1.727366;0;;
4.53;-1.726973;0;;
4.552;-1.682407;0;;
4.553;-1.682058;0;;
4.554;-1.681888;0;;
4.554;-1.681888;0;;
4.555;-1.681888;0;;
4.575;-1.637638;0;;
4.575;-1.637071;0;;
4.576;-1.637071;0;;
4.596;-1.592863;0;;
4.597;-1.592863;0;;
4.598;-1.592863;0;;
4.598;-1.592863;0;;
4.618;-1.548488;0;;
4.619;-1.547938;0;;
4.6389928;;;0.395555988778564;-0.065600796471195
4.64;-1.503962;0;;
4.641;-1.503926;0;;
4.642;-1.503555;0;;
4.661;-1.450253;0;;
4.662;-1.449672;0;;
4.663;-1.449579;0;;
4.664;-1.449565;0;;
4.684;-1.414318;0;;
