Gameobject;Timestamp;rx;ry;w;corrWindow;corrFreq;corrMethod;eye
circCubeCube1;0;0;0;450;900;0.45;Pearson;BothEyes
xCubeCube2;0;0;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;0;0;0;450;900;0.45;Pearson;BothEyes
circCubeCube1;0.3474219;0;0;450;900;0.45;Pearson;BothEyes
xCubeCube2;0.3474219;0;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;0.3474219;0;0;450;900;0.45;Pearson;BothEyes
circCubeCube1;0.8046332;0;0;450;900;0.45;Pearson;BothEyes
xCubeCube2;0.8046332;0;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;0.8046332;0;0;450;900;0.45;Pearson;BothEyes
circCubeCube1;1.2628481;0;0;450;900;0.45;Pearson;BothEyes
xCubeCube2;1.2628481;0;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;1.2628481;0;0;450;900;0.45;Pearson;BothEyes
circCubeCube1;1.7205614;0;0;450;900;0.45;Pearson;BothEyes
xCubeCube2;1.7205614;0;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;1.7205614;0;0;450;900;0.45;Pearson;BothEyes
circCubeCube1;2.179278;0;0;450;900;0.45;Pearson;BothEyes
xCubeCube2;2.179278;0;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;2.179278;0;0;450;900;0.45;Pearson;BothEyes
circCubeCube1;2.6374934;-0.533355316951198;0.71452071300745;450;900;0.45;Pearson;BothEyes
xCubeCube2;2.6374934;0.528878695677261;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;2.6374934;0;-0.73173034372496;450;900;0.45;Pearson;BothEyes
circCubeCube1;3.0841776;0.911027013240086;0.811904917040157;450;900;0.45;Pearson;BothEyes
xCubeCube2;3.0841776;-0.920898391628416;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;3.0841776;0;-0.822644641518629;450;900;0.45;Pearson;BothEyes
circCubeCube1;3.5313631;0.231405445081823;0.959401267858989;450;900;0.45;Pearson;BothEyes
xCubeCube2;3.5313631;-0.0511900553943285;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;3.5313631;0;-0.955494551393262;450;900;0.45;Pearson;BothEyes
circCubeCube1;3.9770455;0.622244054980854;0.959055922176422;450;900;0.45;Pearson;BothEyes
xCubeCube2;3.9770455;0.363806183148296;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;3.9770455;0;-0.95918891742888;450;900;0.45;Pearson;BothEyes
circCubeCube1;4.4237295;0.639837180612911;-0.241461726195039;450;900;0.45;Pearson;BothEyes
xCubeCube2;4.4237295;-0.571009150808069;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;4.4237295;0;0.236870306532915;450;900;0.45;Pearson;BothEyes
circCubeCube1;4.8709149;0.986451448745982;0.90015393446007;450;900;0.45;Pearson;BothEyes
xCubeCube2;4.8709149;-0.981477619980401;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;4.8709149;0;0.911647190550942;450;900;0.45;Pearson;BothEyes
circCubeCube1;5.3175999;0.898182707137009;0.890535002247036;450;900;0.45;Pearson;BothEyes
xCubeCube2;5.3175999;-0.884130683347527;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;5.3175999;0;0.915157242379058;450;900;0.45;Pearson;BothEyes
circCubeCube1;5.7758148;0.996328541240356;0.112128113316273;450;900;0.45;Pearson;BothEyes
xCubeCube2;5.7758148;-0.996625068327442;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;5.7758148;0;-0.0486804369240652;450;900;0.45;Pearson;BothEyes
circCubeCube1;6.2230038;0.99723376519848;-0.835611000092316;450;900;0.45;Pearson;BothEyes
xCubeCube2;6.2230038;-0.994003890396571;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;6.2230038;0;0.865114714198082;450;900;0.45;Pearson;BothEyes
circCubeCube1;6.669688;0.995171474801132;0.27942397264125;450;900;0.45;Pearson;BothEyes
xCubeCube2;6.669688;0.993947466739499;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;6.669688;0;-0.205631816275138;450;900;0.45;Pearson;BothEyes
circCubeCube1;7.116874;0.992566194785286;0.99241036686008;450;900;0.45;Pearson;BothEyes
xCubeCube2;7.116874;0.9963105464369;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;7.116874;0;-0.994321034759435;450;900;0.45;Pearson;BothEyes
circCubeCube1;7.5630572;0.937707267724129;0.992791868927206;450;900;0.45;Pearson;BothEyes
xCubeCube2;7.5630572;0.905306806786769;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;7.5630572;0;-0.934318463209253;450;900;0.45;Pearson;BothEyes
circCubeCube1;8.0107442;-0.256823366636508;0.472440780708846;450;900;0.45;Pearson;BothEyes
xCubeCube2;8.0107442;-0.189453902138227;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;8.0107442;0;0.472841910827042;450;900;0.45;Pearson;BothEyes
circCubeCube1;8.4564259;-0.200088477183888;0.236021943226233;450;900;0.45;Pearson;BothEyes
xCubeCube2;8.4564259;0.042627547183238;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;8.4564259;0;0.247428520914604;450;900;0.45;Pearson;BothEyes
circCubeCube1;8.9031101;0.974798090623849;0.811588389033723;450;900;0.45;Pearson;BothEyes
xCubeCube2;8.9031101;-0.983992243835512;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;8.9031101;0;0.795432970748179;450;900;0.45;Pearson;BothEyes
circCubeCube1;9.3497941;0.994712694976485;0.989512817676646;450;900;0.45;Pearson;BothEyes
xCubeCube2;9.3497941;-0.843877157934223;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;9.3497941;0;0.989423812340417;450;900;0.45;Pearson;BothEyes
circCubeCube1;9.7969806;0.800253224749004;-0.0763468150098985;450;900;0.45;Pearson;BothEyes
xCubeCube2;9.7969806;0.805977417953669;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;9.7969806;0;-0.22510584750076;450;900;0.45;Pearson;BothEyes
circCubeCube1;10.2436646;0.99787676261418;0.890978618846497;450;900;0.45;Pearson;BothEyes
xCubeCube2;10.2436646;0.997988402608843;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;10.2436646;0;-0.957048184109528;450;900;0.45;Pearson;BothEyes
circCubeCube1;10.6903697;0.987929688652408;0.973228134855998;450;900;0.45;Pearson;BothEyes
xCubeCube2;10.6903697;0.984550883050594;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;10.6903697;0;0.190309285745884;450;900;0.45;Pearson;BothEyes
circCubeCube1;11.1370537;0.99385874844898;0.977948789710624;450;900;0.45;Pearson;BothEyes
xCubeCube2;11.1370537;0.988498111845919;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;11.1370537;0;0.983556093120248;450;900;0.45;Pearson;BothEyes
circCubeCube1;11.5842397;0.991956559445101;0.985182664546183;450;900;0.45;Pearson;BothEyes
xCubeCube2;11.5842397;0.982996171638189;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;11.5842397;0;0.984059947835067;450;900;0.45;Pearson;BothEyes
circCubeCube1;12.0309246;0.982761421034374;0.985534794459807;450;900;0.45;Pearson;BothEyes
xCubeCube2;12.0309246;0.869974883620104;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;12.0309246;0;0.985154779887681;450;900;0.45;Pearson;BothEyes
circCubeCube1;12.4776083;0.981790810716304;0.991567174081825;450;900;0.45;Pearson;BothEyes
xCubeCube2;12.4776083;0.504829126254227;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;12.4776083;0;0.992442115697172;450;900;0.45;Pearson;BothEyes
circCubeCube1;12.9247943;-0.347606479773086;-0.879766439323695;450;900;0.45;Pearson;BothEyes
xCubeCube2;12.9247943;-0.394721951948343;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;12.9247943;0;-0.872449247334851;450;900;0.45;Pearson;BothEyes
circCubeCube1;13.3714788;0.998575766410283;0.64736801074584;450;900;0.45;Pearson;BothEyes
xCubeCube2;13.3714788;0.998377634130508;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;13.3714788;0;0.602672596271787;450;900;0.45;Pearson;BothEyes
circCubeCube1;13.8181635;0.996876505490109;-0.97898813467985;450;900;0.45;Pearson;BothEyes
xCubeCube2;13.8181635;0.997175987454604;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;13.8181635;0;0.900359556684324;450;900;0.45;Pearson;BothEyes
circCubeCube1;14.2648472;0.99268649212388;-0.256170151336587;450;900;0.45;Pearson;BothEyes
xCubeCube2;14.2648472;0.992256282122911;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;14.2648472;0;0.0851825759569411;450;900;0.45;Pearson;BothEyes
circCubeCube1;14.7005031;0.996800760810656;0.872305793634082;450;900;0.45;Pearson;BothEyes
xCubeCube2;14.7005031;0.996170421940442;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;14.7005031;0;0.88307295618711;450;900;0.45;Pearson;BothEyes
circCubeCube1;15.1471865;0.998260223527412;-0.803315690442573;450;900;0.45;Pearson;BothEyes
xCubeCube2;15.1471865;0.99838505131257;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;15.1471865;0;-0.808579278868819;450;900;0.45;Pearson;BothEyes
circCubeCube1;15.5938713;0.608336626837309;-0.152376186475007;450;900;0.45;Pearson;BothEyes
xCubeCube2;15.5938713;-0.321380611348174;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;15.5938713;0;-0.139468838701822;450;900;0.45;Pearson;BothEyes
circCubeCube1;16.0410573;-0.82941823037445;-0.968428743719396;450;900;0.45;Pearson;BothEyes
xCubeCube2;16.0410573;0.967132812576227;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;16.0410573;0;-0.9688403725949;450;900;0.45;Pearson;BothEyes
circCubeCube1;16.4882433;0.972927756010087;-0.984734765716295;450;900;0.45;Pearson;BothEyes
xCubeCube2;16.4882433;0.991852572228477;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;16.4882433;0;-0.983512704322189;450;900;0.45;Pearson;BothEyes
circCubeCube1;16.9344259;0.798609470465647;0.631302465764814;450;900;0.45;Pearson;BothEyes
xCubeCube2;16.9344259;0.767165088731599;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;16.9344259;0;-0.612039005468215;450;900;0.45;Pearson;BothEyes
circCubeCube1;17.3811104;0.993827538894711;-0.849007356488812;450;900;0.45;Pearson;BothEyes
xCubeCube2;17.3811104;0.995656415959314;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;17.3811104;0;0.827938564544681;450;900;0.45;Pearson;BothEyes
circCubeCube1;17.8277944;0.995511371942334;-0.701393222634811;450;900;0.45;Pearson;BothEyes
xCubeCube2;17.8277944;0.996189149945791;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;17.8277944;0;0.588458661256524;450;900;0.45;Pearson;BothEyes
circCubeCube1;18.2749809;0.996349838673918;-0.882148857666546;450;900;0.45;Pearson;BothEyes
xCubeCube2;18.2749809;0.996390328915266;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;18.2749809;0;-0.977021976410095;450;900;0.45;Pearson;BothEyes
circCubeCube1;18.7216651;-0.572133248297695;0.943547953035445;450;900;0.45;Pearson;BothEyes
xCubeCube2;18.7216651;0.588122809366622;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;18.7216651;0;0.943219378808124;450;900;0.45;Pearson;BothEyes
circCubeCube1;19.1795626;-0.983297595761012;0.930968526642615;450;900;0.45;Pearson;BothEyes
xCubeCube2;19.1795626;0.985678699551477;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;19.1795626;0;0.944636793564324;450;900;0.45;Pearson;BothEyes
circCubeCube1;19.6267484;-0.996464447425697;-0.899822002355202;450;900;0.45;Pearson;BothEyes
xCubeCube2;19.6267484;0.997045187525151;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;19.6267484;0;-0.65449316644008;450;900;0.45;Pearson;BothEyes
circCubeCube1;20.0734328;0.0850141804892947;0.822812046608642;450;900;0.45;Pearson;BothEyes
xCubeCube2;20.0734328;-0.753192635343566;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;20.0734328;0;-0.821958788484058;450;900;0.45;Pearson;BothEyes
circCubeCube1;20.5201173;-0.695897220431331;-0.940926161343859;450;900;0.45;Pearson;BothEyes
xCubeCube2;20.5201173;-0.619155482605086;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;20.5201173;0;0.944353365875889;450;900;0.45;Pearson;BothEyes
circCubeCube1;20.9668023;0.561859037398324;-0.764126525005511;450;900;0.45;Pearson;BothEyes
xCubeCube2;20.9668023;0.521599124779772;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;20.9668023;0;0.748477063857672;450;900;0.45;Pearson;BothEyes
circCubeCube1;21.4134857;0.558004206975609;-0.993568335697864;450;900;0.45;Pearson;BothEyes
xCubeCube2;21.4134857;0.824516754255192;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;21.4134857;0;0.997634949296659;450;900;0.45;Pearson;BothEyes
circCubeCube1;21.860672;-0.894640118788752;-0.982888688211325;450;900;0.45;Pearson;BothEyes
xCubeCube2;21.860672;0.896171339788262;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;21.860672;0;0.945702668239429;450;900;0.45;Pearson;BothEyes
circCubeCube1;22.3073807;0.836509723542234;0.979706958416058;450;900;0.45;Pearson;BothEyes
xCubeCube2;22.3073807;-0.8379556030793;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;22.3073807;0;0.977774684871901;450;900;0.45;Pearson;BothEyes
circCubeCube1;22.7540652;-0.863187476006797;0.98760665039619;450;900;0.45;Pearson;BothEyes
xCubeCube2;22.7540652;0.872067542576538;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;22.7540652;0;-0.332667243729895;450;900;0.45;Pearson;BothEyes
circCubeCube1;23.2012509;0.618274273550072;-0.945546108800061;450;900;0.45;Pearson;BothEyes
xCubeCube2;23.2012509;-0.593338384000805;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;23.2012509;0;0.954683621927239;450;900;0.45;Pearson;BothEyes
circCubeCube1;23.6479354;0.921062917524654;-0.997496965243356;450;900;0.45;Pearson;BothEyes
xCubeCube2;23.6479354;-0.937064144721722;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;23.6479354;0;0.997655665356817;450;900;0.45;Pearson;BothEyes
circCubeCube1;24.0946198;0.272143498319391;-0.988037968140393;450;900;0.45;Pearson;BothEyes
xCubeCube2;24.0946198;-0.970818372417835;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;24.0946198;0;0.987862413953426;450;900;0.45;Pearson;BothEyes
circCubeCube1;24.5413041;-0.545943636464284;-0.957790642249206;450;900;0.45;Pearson;BothEyes
xCubeCube2;24.5413041;-0.25789819959068;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;24.5413041;0;0.954782617967262;450;900;0.45;Pearson;BothEyes
circCubeCube1;24.9879888;0.87141143765021;-0.728034406596011;450;900;0.45;Pearson;BothEyes
xCubeCube2;24.9879888;-0.858234343203258;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;24.9879888;0;0.713259718820485;450;900;0.45;Pearson;BothEyes
circCubeCube1;25.434673;-0.877773583741843;-0.978394232792755;450;900;0.45;Pearson;BothEyes
xCubeCube2;25.434673;0.880939434377404;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;25.434673;0;0.975583120172862;450;900;0.45;Pearson;BothEyes
circCubeCube1;25.8818592;-0.802516436010354;-0.844559137929337;450;900;0.45;Pearson;BothEyes
xCubeCube2;25.8818592;0.80419483254756;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;25.8818592;0;-0.628092317977235;450;900;0.45;Pearson;BothEyes
circCubeCube1;26.3395721;0.33131762250251;-0.277790164330634;450;900;0.45;Pearson;BothEyes
xCubeCube2;26.3395721;-0.32801154766278;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;26.3395721;0;0.473329781531452;450;900;0.45;Pearson;BothEyes
circCubeCube1;26.7862568;-0.706028368858391;-0.995427894294895;450;900;0.45;Pearson;BothEyes
xCubeCube2;26.7862568;0.704275137681677;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;26.7862568;0;0.991685506716367;450;900;0.45;Pearson;BothEyes
circCubeCube1;27.232962;0.8683695081012;-0.996095315035906;450;900;0.45;Pearson;BothEyes
xCubeCube2;27.232962;-0.872288807096122;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;27.232962;0;0.996082229931024;450;900;0.45;Pearson;BothEyes
circCubeCube1;27.6801479;0.432213181373859;-0.943075530101215;450;900;0.45;Pearson;BothEyes
xCubeCube2;27.6801479;0.527292833831622;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;27.6801479;0;0.947384485353295;450;900;0.45;Pearson;BothEyes
circCubeCube1;28.1268324;-0.481838229498551;-0.969857051515361;450;900;0.45;Pearson;BothEyes
xCubeCube2;28.1268324;-0.296608088466065;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;28.1268324;0;0.969671669074219;450;900;0.45;Pearson;BothEyes
circCubeCube1;28.5735166;0.812397946199157;-0.985151417023514;450;900;0.45;Pearson;BothEyes
xCubeCube2;28.5735166;-0.790578089230491;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;28.5735166;0;0.983824504020211;450;900;0.45;Pearson;BothEyes
circCubeCube1;29.0202006;-0.911167997536954;0.904292236098133;450;900;0.45;Pearson;BothEyes
xCubeCube2;29.0202006;0.9075067736575;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;29.0202006;0;0.910180249112752;450;900;0.45;Pearson;BothEyes
circCubeCube1;29.4673873;0.931669372539137;0.991084551883797;450;900;0.45;Pearson;BothEyes
