Cube1Timestamp;Cube1XPos;Cube1YPos;Cube1newCorr;Cube1smoothCorr
0;;;0;0
63626316477.1438;;;0;0
63626316477.6016;;;0;0
63626316478.0598;;;0;0
63626316478.518;;;0;0
63626316478.9757;;;0;0
63626316479.4334;;;0;0
63626316479.8917;;;0;0
63626316480.3499;;;0;0
63626316480.8016;;;0;0
63626316481.2543;;;0;0
63626316481.7125;;;0;0
63626316482.1702;;;0;0
63626316482.628;;;0;0
63626316483.0861;;;0;0
63626316483.5444;;;0;0
63626316484.0021;;;0;0
63626316484.4603;;;0;0
63626316484.9185;;;0;0
63626316485.3762;;;0;0
63626316485.834;;;0;0
63626316486.2922;;;0;0
63626316486.7499;;;0;0
63626316487.2082;;;0;0
63626316487.7596;;;0;0
63626316488.2133;;;0;0
63626316488.6711;;;0;0
63626316489.1293;;;0;0
63626316489.587;;;0;0
63626316490.0452;;;0;0
63626316490.5034;;;0;0
63626316490.9612;;;0;0
63626316491.4189;;;0;0
63626316491.8766;;;0;0
63626316492.3353;;;0;0
63626316492.7925;;;0;0
63626316493.2512;;;0;0
63626316493.709;;;0;0
63626316494.1672;;;0;0
63626316494.6254;;;0;0
63626316495.0831;;;0;0
63626316495.5403;;;0;0
63626316495.9985;;;0;0
63626316496.4568;;;0;0
63626316496.9145;;;0;0
63626316497.3727;;;0;0
63626316497.8309;;;0;0
63626316498.2882;;;0;0
63626316498.7464;;;0;0
63626316499.2046;;;0;0
63626316499.6624;;;0;0
