xCubeCube2Timestamp;xCubeCube2XPos;xCubeCube2YPos;xCubeCube2newCorr;xCubeCube2smoothCorr
0;;;0;0
0.6948521;;;0;0
1.1530731;;;0;0
1.6107922;;;0;0
2.0685115;;;0;0
2.5277356;;;0;0
2.9844524;;;0;0
3.089;1.961557;0;;
3.135;2.055625;0;;
3.137;2.055625;0;;
3.138;2.055625;0;;
3.187;2.162871;0;;
3.189;2.162871;0;;
3.19;2.162871;0;;
3.212;2.206949;0;;
3.213;2.207365;0;;
3.236;2.250552;0;;
3.237;2.251316;0;;
3.257;2.294967;0;;
3.26;2.296286;0;;
3.263;2.296505;0;;
3.28;2.339123;0;;
3.282;2.341105;0;;
3.304;2.385697;0;;
3.305;2.386055;0;;
3.305;2.386216;0;;
3.329;2.444844;0;;
3.333;2.450865;0;;
3.335;2.452133;0;;
3.357;2.494744;0;;
3.359;2.497366;0;;
3.36;2.497665;0;;
3.361;2.497665;0;;
3.361;2.497665;0;;
3.38;2.542316;0;;
3.381;2.542764;0;;
3.381;2.54284;0;;
3.382;2.5429;0;;
3.387;2.563904;0;;
3.404;2.586543;0;;
3.406;2.587239;0;;
3.408;2.587456;0;;
3.426;2.630088;0;;
3.427;2.631338;0;;
3.4426732;;;0.109868720170682;0.054934360085341
3.426;2.630088;0;;
3.427;2.631338;0;;
3.448;2.674465;0;;
3.45;2.6759;0;;
3.47;2.719228;0;;
3.472;2.721135;0;;
3.473;2.721294;0;;
3.474;2.721317;0;;
3.477;2.721369;0;;
3.478;2.721373;0;;
3.496;2.777833;0;;
3.497;2.779878;0;;
3.501;2.788144;0;;
3.502;2.788556;0;;
3.521;2.830802;0;;
3.522;2.832117;0;;
3.527;2.832997;0;;
3.531;2.845885;0;;
3.545;2.876673;0;;
3.547;2.878237;0;;
3.547;2.878397;0;;
3.549;2.879289;0;;
3.551;2.879346;0;;
3.554;2.892759;0;;
3.571;2.922377;0;;
3.572;2.922736;0;;
3.573;2.92279;0;;
3.577;2.943429;0;;
3.595;2.967615;0;;
3.6;2.982877;0;;
3.603;2.988152;0;;
3.604;2.989046;0;;
3.606;2.989484;0;;
3.607;2.98953;0;;
3.626;2.999867;0;;
3.627;3;0;;
3.628;3;0;;
3.628;3;0;;
3.648;2.956352;0;;
3.649;2.955713;0;;
3.654;2.955308;0;;
3.656;2.93293;0;;
3.678;2.887999;0;;
3.679;2.887999;0;;
3.682;2.887999;0;;
3.683;2.887999;0;;
3.709;2.84483;0;;
3.715;2.831007;0;;
3.722;2.805231;0;;
3.724;2.801477;0;;
3.726;2.799798;0;;
3.732;2.784995;0;;
3.733;2.782718;0;;
3.737;2.777148;0;;
3.752;2.754829;0;;
3.754;2.75427;0;;
3.757;2.73567;0;;
3.758;2.733793;0;;
3.772;2.708719;0;;
3.774;2.708042;0;;
3.775;2.707894;0;;
3.778;2.690287;0;;
3.795;2.665259;0;;
3.796;2.664753;0;;
3.8;2.652619;0;;
3.802;2.64908;0;;
3.819;2.622581;0;;
3.821;2.621356;0;;
3.822;2.611144;0;;
3.824;2.599387;0;;
3.846;2.554949;0;;
3.846;2.554342;0;;
3.848;2.553531;0;;
3.849;2.55345;0;;
3.85;2.55343;0;;
3.851;2.55343;0;;
3.869;2.510488;0;;
3.871;2.50928;0;;
3.872;2.508878;0;;
3.8898652;;;0.191181263886676;0.150524992028679
3.869;2.510488;0;;
3.871;2.50928;0;;
3.872;2.508878;0;;
3.892;2.464291;0;;
3.893;2.464022;0;;
3.894;2.46388;0;;
3.896;2.463738;0;;
3.897;2.463727;0;;
3.915;2.441956;0;;
3.917;2.441441;0;;
3.938;2.375416;0;;
3.939;2.37482;0;;
3.939;2.37472;0;;
3.94;2.374619;0;;
3.941;2.374619;0;;
3.959;2.330698;0;;
3.96;2.330194;0;;
3.961;2.33012;0;;
3.962;2.330102;0;;
3.982;2.285686;0;;
3.983;2.285252;0;;
3.984;2.285154;0;;
3.985;2.285132;0;;
4.005;2.241413;0;;
4.006;2.24098;0;;
4.006;2.240906;0;;
4.007;2.240872;0;;
4.027;2.197294;0;;
4.027;2.196944;0;;
4.028;2.196296;0;;
4.029;2.196209;0;;
4.049;2.151922;0;;
4.05;2.151533;0;;
4.05;2.151508;0;;
4.071;2.107124;0;;
4.072;2.106597;0;;
4.073;2.106597;0;;
4.094;2.063399;0;;
4.095;2.062681;0;;
4.096;2.062008;0;;
4.097;2.061903;0;;
4.117;2.017312;0;;
4.118;2.016759;0;;
4.119;2.016759;0;;
4.139;1.97252;0;;
4.14;1.97252;0;;
4.141;1.97252;0;;
4.162;1.927829;0;;
4.163;1.927829;0;;
4.163;1.927829;0;;
4.183;1.883283;0;;
4.184;1.882854;0;;
4.185;1.882753;0;;
4.206;1.838761;0;;
4.207;1.838323;0;;
4.208;1.838263;0;;
4.229;1.794089;0;;
4.23;1.793725;0;;
4.252;1.749585;0;;
4.253;1.749227;0;;
4.273;1.705152;0;;
4.274;1.704702;0;;
4.295;1.660147;0;;
4.296;1.659712;0;;
4.297;1.659636;0;;
4.318;1.601971;0;;
4.336555;;;-0.219946869019791;0.027034371679189
4.229;1.794089;0;;
4.23;1.793725;0;;
4.252;1.749585;0;;
4.253;1.749227;0;;
4.273;1.705152;0;;
4.274;1.704702;0;;
4.295;1.660147;0;;
4.296;1.659712;0;;
4.297;1.659636;0;;
4.318;1.601971;0;;
4.342;1.570868;0;;
4.343;1.570617;0;;
4.363;1.523281;0;;
4.364;1.522827;0;;
4.385;1.482208;0;;
4.385;1.481942;0;;
4.386;1.481436;0;;
4.387;1.481255;0;;
4.408;1.436434;0;;
4.431;1.39227;0;;
4.432;1.391881;0;;
4.453;1.347604;0;;
4.454;1.347221;0;;
4.475;1.302961;0;;
4.497;1.258452;0;;
4.497;1.258204;0;;
4.519;1.213006;0;;
