yCubeCube3Timestamp;yCubeCube3XPos;yCubeCube3YPos;yCubeCube3newCorr;yCubeCube3smoothCorr
0;;;0;0
0.6948521;;;0;0
1.1530731;;;0;0
1.6107922;;;0;0
2.0685115;;;0;0
2.5277356;;;0;0
2.9844524;;;0;0
3.089;-2;0.3185812;;
3.135;-2;0.2245129;;
3.137;-2;0.2245129;;
3.138;-2;0.2245129;;
3.187;-2;0.1172669;;
3.189;-2;0.1172669;;
3.19;-2;0.1172669;;
3.212;-2;0.07318929;;
3.213;-2;0.07277332;;
3.236;-2;0.02958582;;
3.237;-2;0.02882213;;
3.257;-2;-0.01482949;;
3.26;-2;-0.016148;;
3.263;-2;-0.01636751;;
3.28;-2;-0.05898447;;
3.282;-2;-0.06096755;;
3.304;-2;-0.1055591;;
3.305;-2;-0.1059164;;
3.305;-2;-0.1060776;;
3.329;-2;-0.1647055;;
3.333;-2;-0.1707272;;
3.335;-2;-0.1719954;;
3.357;-2;-0.2146061;;
3.359;-2;-0.2172283;;
3.36;-2;-0.2175269;;
3.361;-2;-0.2175269;;
3.361;-2;-0.2175269;;
3.38;-2;-0.2621778;;
3.381;-2;-0.2626262;;
3.381;-2;-0.2627016;;
3.382;-2;-0.2627624;;
3.387;-2;-0.283766;;
3.404;-2;-0.3064048;;
3.406;-2;-0.3071009;;
3.408;-2;-0.3073179;;
3.426;-2;-0.34995;;
3.427;-2;-0.3512003;;
3.4426732;;;-0.307955413252094;-0.153977706626047
3.426;-2;-0.34995;;
3.427;-2;-0.3512003;;
3.448;-2;-0.3943271;;
3.45;-2;-0.3957617;;
3.47;-2;-0.43909;;
3.472;-2;-0.4409969;;
3.473;-2;-0.4411562;;
3.474;-2;-0.4411791;;
3.477;-2;-0.4412306;;
3.478;-2;-0.4412347;;
3.496;-2;-0.4976954;;
3.497;-2;-0.4997394;;
3.501;-2;-0.5080059;;
3.502;-2;-0.5084181;;
3.521;-2;-0.5506633;;
3.522;-2;-0.5519785;;
3.527;-2;-0.5528588;;
3.531;-2;-0.5657465;;
3.545;-2;-0.596534;;
3.547;-2;-0.5980988;;
3.547;-2;-0.5982587;;
3.549;-2;-0.599151;;
3.551;-2;-0.5992075;;
3.554;-2;-0.6126207;;
3.571;-2;-0.6422389;;
3.572;-2;-0.642598;;
3.573;-2;-0.6426516;;
3.577;-2;-0.6632907;;
3.595;-2;-0.687477;;
3.6;-2;-0.7027389;;
3.603;-2;-0.7080131;;
3.604;-2;-0.7089078;;
3.606;-2;-0.7093457;;
3.607;-2;-0.7093914;;
3.626;-2;-0.7535994;;
3.627;-2;-0.7541699;;
3.628;-2;-0.7541699;;
3.628;-2;-0.7541699;;
3.648;-2;-0.7978183;;
3.649;-2;-0.7984572;;
3.654;-2;-0.7988621;;
3.656;-2;-0.8212402;;
3.678;-2;-0.866171;;
3.679;-2;-0.866171;;
3.682;-2;-0.866171;;
3.683;-2;-0.866171;;
3.709;-2;-0.90934;;
3.715;-2;-0.9231633;;
3.722;-2;-0.948939;;
3.724;-2;-0.9526926;;
3.726;-2;-0.9543716;;
3.732;-2;-0.969175;;
3.733;-2;-0.9714518;;
3.737;-2;-0.9770223;;
3.752;-2;-0.9993407;;
3.754;-2;-0.9998998;;
3.757;-2;-1.0185;;
3.758;-2;-1.020378;;
3.772;-2;-1.045451;;
3.774;-2;-1.046128;;
3.775;-2;-1.046276;;
3.778;-2;-1.063883;;
3.795;-2;-1.088911;;
3.796;-2;-1.089416;;
3.8;-2;-1.101551;;
3.802;-2;-1.10509;;
3.819;-2;-1.131589;;
3.821;-2;-1.132813;;
3.822;-2;-1.143026;;
3.824;-2;-1.154782;;
3.846;-2;-1.199221;;
3.846;-2;-1.199828;;
3.848;-2;-1.200638;;
3.849;-2;-1.20072;;
3.85;-2;-1.20074;;
3.851;-2;-1.20074;;
3.869;-2;-1.243682;;
3.871;-2;-1.244889;;
3.872;-2;-1.245292;;
3.8898652;;;-0.429118322355296;-0.368536867803695
3.869;-2;-1.243682;;
3.871;-2;-1.244889;;
3.872;-2;-1.245292;;
3.892;-2;-1.289879;;
3.893;-2;-1.290148;;
3.894;-2;-1.29029;;
3.896;-2;-1.290431;;
3.897;-2;-1.290443;;
3.915;-2;-1.312214;;
3.917;-2;-1.312729;;
3.938;-2;-1.378754;;
3.939;-2;-1.37935;;
3.939;-2;-1.37945;;
3.94;-2;-1.379551;;
3.941;-2;-1.379551;;
3.959;-2;-1.423471;;
3.96;-2;-1.423976;;
3.961;-2;-1.42405;;
3.962;-2;-1.424068;;
3.982;-2;-1.468484;;
3.983;-2;-1.468918;;
3.984;-2;-1.469016;;
3.985;-2;-1.469038;;
4.005;-2;-1.512757;;
4.006;-2;-1.51319;;
4.006;-2;-1.513264;;
4.007;-2;-1.513298;;
4.027;-2;-1.556876;;
4.027;-2;-1.557225;;
4.028;-2;-1.557874;;
4.029;-2;-1.557961;;
4.049;-2;-1.602248;;
4.05;-2;-1.602636;;
4.05;-2;-1.602662;;
4.071;-2;-1.647045;;
4.072;-2;-1.647573;;
4.073;-2;-1.647573;;
4.094;-2;-1.690771;;
4.095;-2;-1.691489;;
4.096;-2;-1.692162;;
4.097;-2;-1.692267;;
4.117;-2;-1.736858;;
4.118;-2;-1.73741;;
4.119;-2;-1.73741;;
4.14;-2;-1.78165;;
4.14;-2;-1.78165;;
4.141;-2;-1.78165;;
4.162;-2;-1.82634;;
4.163;-2;-1.82634;;
4.163;-2;-1.82634;;
4.183;-2;-1.870887;;
4.184;-2;-1.871315;;
4.185;-2;-1.871417;;
4.206;-2;-1.915408;;
4.207;-2;-1.915847;;
4.208;-2;-1.915907;;
4.229;-2;-1.960081;;
4.23;-2;-1.960445;;
4.252;-2;-2.004585;;
4.253;-2;-2.004943;;
4.273;-2;-2.049018;;
