linearCube3Timestamp;linearCube3XPos;linearCube3YPos;linearCube3newCorr;linearCube3smoothCorr
0;;;0;0
0.3559434;;;0;0
0.6597496;;;0;0
0.961048;;;0;0
1.2623468;;;0;0
1.5641472;;;0;0
1.865447;;;0;0
2.017;-0.1512432;0;;
2.056;-0.107058;0;;
2.08;-0.08454734;0;;
2.081;-0.08383512;0;;
2.103;-0.0564646;0;;
2.104;-0.05594145;0;;
2.125;-0.03990768;0;;
2.127;-0.03940986;0;;
2.128;-0.03935831;0;;
2.149;-0.01717928;0;;
2.149;-0.01702716;0;;
2.1677477;;;0.337824746007447;0.112608248669149
2.171;0.005206563;0;;
2.172;0.005380104;0;;
2.173;0.0054376;0;;
2.193;0.02717563;0;;
2.194;0.02750794;0;;
2.195;0.02767304;0;;
2.196;0.02769992;0;;
2.196;0.02771172;0;;
2.215;0.05005445;0;;
2.216;0.05005445;0;;
2.217;0.05005445;0;;
2.252;0.09095006;0;;
2.253;0.09197192;0;;
2.262;0.1006676;0;;
2.262;0.1007916;0;;
2.263;0.1009166;0;;
2.264;0.1009166;0;;
2.265;0.1009166;0;;
2.265;0.1009166;0;;
2.265;0.1009166;0;;
2.283;0.1170362;0;;
2.284;0.117263;0;;
2.285;0.117263;0;;
2.305;0.1388857;0;;
2.306;0.1394387;0;;
2.306;0.1394387;0;;
2.307;0.1394387;0;;
2.308;0.1394387;0;;
2.326;0.1614238;0;;
2.327;0.1616783;0;;
2.328;0.1617136;0;;
2.348;0.1839751;0;;
2.349;0.1841976;0;;
2.349;0.1842351;0;;
2.37;0.2062641;0;;
2.371;0.2064755;0;;
2.372;0.2065167;0;;
2.373;0.2065247;0;;
2.394;0.2285057;0;;
2.394;0.2285809;0;;
2.395;0.2287374;0;;
2.396;0.2287731;0;;
2.396;0.2287731;0;;
2.416;0.2556169;0;;
2.417;0.2561727;0;;
2.418;0.2562599;0;;
2.438;0.2732071;0;;
2.439;0.2733815;0;;
2.44;0.2734174;0;;
2.441;0.2734174;0;;
2.441;0.2734174;0;;
2.46;0.2952131;0;;
2.462;0.2956454;0;;
2.462;0.29572;0;;
2.463;0.2957872;0;;
2.464;0.2957872;0;;
2.4690465;;;-0.467654162596483;-0.0432764721963452
2.46;0.2952131;0;;
2.462;0.2956454;0;;
2.462;0.29572;0;;
2.463;0.2957872;0;;
2.464;0.2957872;0;;
2.484;0.3172561;0;;
2.484;0.3175079;0;;
2.505;0.3401893;0;;
2.506;0.3404019;0;;
2.506;0.3404384;0;;
2.507;0.3404564;0;;
2.508;0.3404604;0;;
2.527;0.3625136;0;;
2.528;0.3627445;0;;
2.55;0.3848257;0;;
2.556;0.385064;0;;
2.573;0.4126181;0;;
2.574;0.4130353;0;;
2.575;0.4130353;0;;
2.595;0.4292165;0;;
2.617;0.4514348;0;;
2.619;0.4521058;0;;
2.64;0.4744161;0;;
2.641;0.4746181;0;;
2.662;0.4960418;0;;
2.665;0.4967977;0;;
2.686;0.5192314;0;;
2.686;0.5192314;0;;
2.686;0.5192314;0;;
2.687;0.5192314;0;;
2.688;0.5192314;0;;
2.707;0.5411693;0;;
2.708;0.5413731;0;;
2.709;0.541434;0;;
2.729;0.5683885;0;;
2.73;0.5689601;0;;
2.731;0.5690369;0;;
2.732;0.5690563;0;;
2.733;0.5690563;0;;
2.752;0.5858518;0;;
2.753;0.5862042;0;;
2.754;0.586262;0;;
2.7708466;;;0.309786831751027;0.0599858050539972
2.774;0.6083028;0;;
2.776;0.6085406;0;;
2.777;0.6085669;0;;
2.777;0.6085702;0;;
2.778;0.6085762;0;;
2.797;0.6302953;0;;
2.798;0.6307694;0;;
2.799;0.6308711;0;;
2.819;0.6526943;0;;
2.997;0.8314477;0;;
2.999;0.8318483;0;;
3.02;0.8536574;0;;
3.021;0.8540581;0;;
3.042;0.8801435;0;;
3.043;0.8809171;0;;
3.044;0.8813701;0;;
3.065;0.8977824;0;;
3.066;0.8987953;0;;
3.067;0.898951;0;;
3.068;0.898973;0;;
3.068;0.8989767;0;;
3.0721465;;;-0.435076638342287;-0.197647989729247
3.065;0.8977824;0;;
3.066;0.8987953;0;;
3.067;0.898951;0;;
3.068;0.898973;0;;
3.068;0.8989767;0;;
3.088;0.920936;0;;
3.089;0.9213666;0;;
3.089;0.9214398;0;;
3.11;0.9435555;0;;
3.111;0.9437618;0;;
3.112;0.9438136;0;;
3.112;0.9438136;0;;
3.113;0.9438136;0;;
3.132;0.965161;0;;
3.133;0.9656533;0;;
3.134;0.9659365;0;;
3.154;0.9880014;0;;
3.155;0.9883987;0;;
3.156;0.9884911;0;;
3.223;1.054873;0;;
3.225;1.055223;0;;
3.227;1.055369;0;;
3.227;1.055369;0;;
3.228;1.055369;0;;
3.229;1.066648;0;;
3.23;1.066648;0;;
3.231;1.066648;0;;
3.231;1.066648;0;;
3.231;1.066648;0;;
3.233;1.066648;0;;
3.234;1.066648;0;;
3.246;1.07768;0;;
3.247;1.077853;0;;
3.255;1.088309;0;;
3.256;1.089154;0;;
3.257;1.089273;0;;
3.267;1.103797;0;;
3.268;1.104094;0;;
3.29;1.122839;0;;
3.29;1.122979;0;;
3.291;1.123042;0;;
3.292;1.12305;0;;
3.293;1.123052;0;;
3.312;1.144773;0;;
3.313;1.145059;0;;
3.314;1.145059;0;;
3.334;1.16679;0;;
3.334;1.167013;0;;
3.336;1.167295;0;;
3.336;1.167307;0;;
3.337;1.16733;0;;
3.356;1.194067;0;;
3.357;1.194511;0;;
3.358;1.194714;0;;
3.359;1.194758;0;;
3.36;1.194758;0;;
3.3744471;;;-0.458907373184006;-0.194732393258422
3.379;1.211634;0;;
3.38;1.211927;0;;
3.401;1.238132;0;;
3.401;1.238463;0;;
3.402;1.238696;0;;
3.403;1.238772;0;;
3.404;1.238772;0;;
3.423;1.256261;0;;
3.424;1.256623;0;;
3.424;1.256685;0;;
3.444;1.278502;0;;
3.445;1.278806;0;;
3.446;1.278993;0;;
3.446;1.279025;0;;
3.467;1.301213;0;;
3.468;1.301472;0;;
3.469;1.301472;0;;
3.469;1.301472;0;;
3.488;1.323456;0;;
3.489;1.323688;0;;
3.49;1.323735;0;;
3.491;1.323743;0;;
3.512;1.350744;0;;
3.513;1.350967;0;;
3.513;1.350987;0;;
3.514;1.351051;0;;
3.533;1.368189;0;;
3.535;1.368342;0;;
3.536;1.368413;0;;
3.537;1.368413;0;;
3.556;1.390564;0;;
3.557;1.390803;0;;
3.558;1.39084;0;;
3.558;1.390846;0;;
3.566;1.401378;0;;
3.579;1.415021;0;;
3.58;1.415358;0;;
3.581;1.415528;0;;
3.602;1.435017;0;;
3.603;1.43526;0;;
3.604;1.435429;0;;
3.604;1.435457;0;;
3.624;1.457538;0;;
3.625;1.457754;0;;
3.625;1.457791;0;;
3.646;1.479868;0;;
3.647;1.480071;0;;
3.648;1.480114;0;;
3.648;1.480122;0;;
3.668;1.507218;0;;
3.669;1.507488;0;;
3.67;1.507558;0;;
3.67;1.507558;0;;
3.6752452;;;-0.457654054643085;-0.450546022056459
3.668;1.507218;0;;
3.669;1.507488;0;;
3.67;1.507558;0;;
3.67;1.507558;0;;
3.691;1.513288;0;;
