Gameobject;Timestamp;rx;ry;w;corrWindow;corrFreq;corrMethod;eye
small (1)Cube1;0;0;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;0;0;0;300;900;0.3;Pearson;BothEyes
smallCube3;0;0;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;0.4336498;0;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;0.4336498;0;0;300;900;0.3;Pearson;BothEyes
smallCube3;0.4336498;0;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;0.7449757;0;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;0.7449757;0;0;300;900;0.3;Pearson;BothEyes
smallCube3;0.7449757;0;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;1.0552978;0;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;1.0552978;0;0;300;900;0.3;Pearson;BothEyes
smallCube3;1.0552978;0;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;1.3571856;0;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;1.3571856;0;0;300;900;0.3;Pearson;BothEyes
smallCube3;1.3571856;0;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;1.6584844;0;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;1.6584844;0;0;300;900;0.3;Pearson;BothEyes
smallCube3;1.6584844;0;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;1.9602845;0;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;1.9602845;0;0;300;900;0.3;Pearson;BothEyes
smallCube3;1.9602845;0;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;2.2620849;-0.999843530811656;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;2.2620849;0.999924969907844;0;300;900;0.3;Pearson;BothEyes
smallCube3;2.2620849;-0.999924955616451;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;2.563384;0.914055916963652;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;2.563384;-0.914030485624486;0;300;900;0.3;Pearson;BothEyes
smallCube3;2.563384;0.914030512498418;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;2.8531527;-0.63886404743778;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;2.8531527;-0.640195635143619;0;300;900;0.3;Pearson;BothEyes
smallCube3;2.8531527;-0.638864000694056;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;3.1549528;0.328902315605628;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;3.1549528;0.328902167348888;0;300;900;0.3;Pearson;BothEyes
smallCube3;3.1549528;0.328902325150865;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;3.4562517;0.993502534624228;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;3.4562517;0.993502550790245;0;300;900;0.3;Pearson;BothEyes
smallCube3;3.4562517;0.993502488416529;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;3.7580515;0.939206859846473;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;3.7580515;0.939206883695983;0;300;900;0.3;Pearson;BothEyes
smallCube3;3.7580515;-0.939206760360408;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;4.0598524;0.980327041746328;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;4.0598524;0.980327039292252;0;300;900;0.3;Pearson;BothEyes
smallCube3;4.0598524;-0.980326940066899;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;4.3611512;0.991490330711773;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;4.3611512;0.991490337123302;0;300;900;0.3;Pearson;BothEyes
smallCube3;4.3611512;-0.991490328999974;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;4.6689668;-0.555989756691169;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;4.6689668;-0.55598969797466;0;300;900;0.3;Pearson;BothEyes
smallCube3;4.6689668;0.555989693995531;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;4.965754;0.957515913116782;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;4.965754;0.957515965392099;0;300;900;0.3;Pearson;BothEyes
smallCube3;4.965754;-0.95751600038897;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;5.2670526;0.863125534799355;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;5.2670526;0.980029720124615;0;300;900;0.3;Pearson;BothEyes
smallCube3;5.2670526;-0.980029702585494;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;5.5683517;-0.978111456784136;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;5.5683517;0.978443976489623;0;300;900;0.3;Pearson;BothEyes
smallCube3;5.5683517;-0.978442489716292;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;5.8701521;0.52627342153596;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;5.8701521;0.52532736521026;0;300;900;0.3;Pearson;BothEyes
smallCube3;5.8701521;0.525346787315222;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;6.1719522;0.967608427087726;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;6.1719522;0.967608503669743;0;300;900;0.3;Pearson;BothEyes
smallCube3;6.1719522;0.967608445919123;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;6.4727497;0.995186248958887;0;300;900;0.3;Pearson;BothEyes
