large (1)Cube1Timestamp;large (1)Cube1XPos;large (1)Cube1YPos;large (1)Cube1newCorr;large (1)Cube1smoothCorr
0;;;0;0
0.1960213;;;0;0
0.496319;;;0;0
0.7976198;;;0;0
1.0994229;;;0;0
1.4012244;;;0;0
1.7025252;;;0;0
2.0038257;;;0;0
2.153;1.71211;0;;
2.173;1.659433;0;;
2.174;1.658975;0;;
2.174;1.658758;0;;
2.195;1.60468;0;;
2.196;1.60468;0;;
2.196;1.60468;0;;
2.197;1.60468;0;;
2.218;1.55256;0;;
2.218;1.552327;0;;
2.219;1.551999;0;;
2.24;1.498763;0;;
2.24;1.498473;0;;
2.241;1.498118;0;;
2.242;1.498118;0;;
2.242;1.498118;0;;
2.262;1.444952;0;;
2.263;1.444444;0;;
2.263;1.444359;0;;
2.284;1.391948;0;;
2.284;1.391593;0;;
2.285;1.391361;0;;
2.286;1.391327;0;;
2.287;1.391317;0;;
2.30613;;;-0.23656363796087;-0.0591409094902175
2.306;1.336582;0;;
2.307;1.337262;0;;
2.307;1.336851;0;;
2.327;1.311885;0;;
2.328;1.293381;0;;
2.33;1.284812;0;;
2.33;1.284105;0;;
2.351;1.229901;0;;
2.352;1.229384;0;;
2.353;1.229254;0;;
2.354;1.229254;0;;
2.373;1.177804;0;;
2.374;1.176915;0;;
2.375;1.175719;0;;
2.376;1.175719;0;;
2.401;1.108924;0;;
2.402;1.108082;0;;
2.403;1.10769;0;;
2.404;1.107628;0;;
2.404;1.107604;0;;
2.418;1.068781;0;;
2.419;1.068781;0;;
2.419;1.068781;0;;
2.44;1.016401;0;;
2.441;1.01546;0;;
2.442;1.014743;0;;
2.443;1.014562;0;;
2.463;0.9623097;0;;
2.464;0.9616098;0;;
2.464;0.9612607;0;;
2.465;0.9610386;0;;
2.466;0.960969;0;;
2.486;0.908487;0;;
2.487;0.908487;0;;
2.487;0.908487;0;;
2.508;0.8552858;0;;
2.508;0.8548875;0;;
2.509;0.8546839;0;;
2.51;0.8546479;0;;
2.53;0.801175;0;;
2.531;0.8006414;0;;
2.531;0.8005517;0;;
2.553;0.7475608;0;;
2.554;0.7471408;0;;
2.554;0.7469448;0;;
2.555;0.7469448;0;;
2.575;0.6951013;0;;
2.577;0.6937819;0;;
2.578;0.693276;0;;
2.579;0.6931947;0;;
2.599;0.6408975;0;;
2.6;0.6404262;0;;
2.6;0.6402472;0;;
2.601;0.6402472;0;;
2.6074305;;;-0.27458435707049;-0.12778699875784
2.599;0.6408975;0;;
2.6;0.6404262;0;;
2.6;0.6402472;0;;
2.601;0.6402472;0;;
2.621;0.5861468;0;;
2.622;0.585637;0;;
2.622;0.585554;0;;
2.623;0.5854836;0;;
2.623;0.5854591;0;;
2.643;0.5332069;0;;
2.644;0.5332069;0;;
2.644;0.5332069;0;;
2.665;0.4801444;0;;
2.666;0.4796196;0;;
2.667;0.4795367;0;;
2.669;0.4795226;0;;
2.688;0.4251169;0;;
2.688;0.424789;0;;
2.689;0.4238267;0;;
2.69;0.4236919;0;;
2.691;0.4236544;0;;
2.711;0.3721773;0;;
2.712;0.3721773;0;;
2.712;0.3721773;0;;
2.733;0.3193918;0;;
2.734;0.3186215;0;;
2.735;0.318217;0;;
2.737;0.3181316;0;;
2.737;0.3181176;0;;
2.755;0.2646005;0;;
2.756;0.2646005;0;;
2.762;0.2646005;0;;
2.777;0.2118438;0;;
2.778;0.2107101;0;;
2.779;0.2100667;0;;
2.78;0.2100667;0;;
2.799;0.1579682;0;;
2.8;0.1574689;0;;
2.801;0.1573358;0;;
2.801;0.1573148;0;;
2.802;0.157295;0;;
2.821;0.1042537;0;;
2.822;0.1037222;0;;
2.823;0.1035889;0;;
2.843;0.05156549;0;;
2.844;0.05056728;0;;
2.845;0.04978799;0;;
2.846;0.04967427;0;;
2.847;0.0496475;0;;
2.866;-0.003331985;0;;
2.867;-0.004035392;0;;
2.868;-0.004035392;0;;
2.888;-0.0563435;0;;
2.888;-0.05705875;0;;
2.89;-0.05817318;0;;
2.9097338;;;0.491196327759184;-0.00498791681804406
2.91;-0.111335;0;;
2.911;-0.1119851;0;;
2.912;-0.1119851;0;;
2.912;-0.1119851;0;;
2.931;-0.1379728;0;;
2.932;-0.1599828;0;;
2.933;-0.1642506;0;;
2.954;-0.2182643;0;;
2.955;-0.2187877;0;;
2.956;-0.2188845;0;;
2.957;-0.2189;0;;
2.957;-0.218902;0;;
2.977;-0.2700486;0;;
2.978;-0.2712472;0;;
2.98;-0.2723893;0;;
2.98;-0.2724589;0;;
2.999;-0.3251338;0;;
3;-0.3257042;0;;
3.001;-0.3257911;0;;
3.001;-0.3258053;0;;
3.021;-0.3788509;0;;
3.022;-0.3793995;0;;
3.024;-0.3795068;0;;
3.024;-0.3795068;0;;
3.044;-0.4332796;0;;
3.045;-0.4338033;0;;
3.046;-0.4339589;0;;
3.047;-0.4339589;0;;
3.065;-0.4589925;0;;
3.066;-0.4782485;0;;
3.068;-0.4866464;0;;
3.068;-0.4866464;0;;
3.088;-0.5390669;0;;
3.088;-0.5398151;0;;
3.09;-0.5409042;0;;
3.09;-0.5409946;0;;
3.11;-0.5914693;0;;
3.111;-0.5928646;0;;
3.133;-0.6450285;0;;
3.135;-0.6470968;0;;
3.135;-0.647178;0;;
3.141;-0.647415;0;;
3.142;-0.6474218;0;;
3.156;-0.6999939;0;;
3.158;-0.7009259;0;;
3.158;-0.7009259;0;;
3.179;-0.7557539;0;;
3.181;-0.756932;0;;
3.201;-0.8077147;0;;
3.203;-0.8083433;0;;
3.2125389;;;0.44708242312041;0.106782688962058
3.201;-0.8077147;0;;
3.203;-0.8083433;0;;
3.224;-0.8620057;0;;
3.225;-0.8625005;0;;
3.246;-0.9145761;0;;
3.247;-0.9152805;0;;
3.248;-0.9158416;0;;
3.249;-0.9158416;0;;
3.269;-0.967616;0;;
3.269;-0.9683365;0;;
3.271;-0.9694276;0;;
3.272;-0.9695389;0;;
3.29;-1.021683;0;;
3.291;-1.022289;0;;
3.292;-1.02239;0;;
3.293;-1.02239;0;;
3.313;-1.075662;0;;
3.314;-1.076133;0;;
3.314;-1.076173;0;;
3.315;-1.076292;0;;
3.335;-1.129624;0;;
3.336;-1.130167;0;;
3.337;-1.130253;0;;
3.357;-1.182808;0;;
3.358;-1.183297;0;;
3.358;-1.183371;0;;
3.359;-1.183459;0;;
3.36;-1.183473;0;;
3.379;-1.210214;0;;
3.38;-1.231452;0;;
3.38;-1.238716;0;;
3.401;-1.264074;0;;
3.402;-1.278105;0;;
3.403;-1.284866;0;;
3.404;-1.291106;0;;
3.405;-1.291106;0;;
3.423;-1.317225;0;;
3.424;-1.340869;0;;
3.425;-1.345254;0;;
3.446;-1.398998;0;;
3.447;-1.398998;0;;
3.448;-1.398998;0;;
3.448;-1.398998;0;;
3.468;-1.423917;0;;
3.469;-1.445927;0;;
3.47;-1.450449;0;;
3.47;-1.45121;0;;
3.471;-1.451531;0;;
3.491;-1.504916;0;;
3.492;-1.505454;0;;
3.493;-1.505584;0;;
3.5133382;;;0.465430378939937;0.28228119318726
3.513;-1.559943;0;;
3.514;-1.559943;0;;
3.515;-1.559943;0;;
3.521;-1.559943;0;;
3.521;-1.559943;0;;
3.535;-1.610832;0;;
3.536;-1.612136;0;;
3.538;-1.612542;0;;
3.558;-1.639039;0;;
3.559;-1.659744;0;;
3.58;-1.718756;0;;
3.581;-1.719699;0;;
3.582;-1.719936;0;;
3.583;-1.720164;0;;
3.584;-1.720164;0;;
3.603;-1.77268;0;;
3.604;-1.773439;0;;
3.605;-1.773945;0;;
3.625;-1.827978;0;;
3.627;-1.828487;0;;
3.628;-1.828574;0;;
3.629;-1.828628;0;;
3.649;-1.879953;0;;
3.65;-1.880598;0;;
3.651;-1.880598;0;;
3.651;-1.880598;0;;
3.652;-1.880598;0;;
3.671;-1.933537;0;;
3.672;-1.934017;0;;
3.693;-1.986699;0;;
3.694;-1.987619;0;;
3.695;-1.987872;0;;
3.696;-1.98795;0;;
3.697;-1.987963;0;;
3.715;-2.041096;0;;
3.716;-2.041698;0;;
3.717;-2.041832;0;;
3.74;-2.095934;0;;
3.742;-2.095934;0;;
3.743;-2.095934;0;;
