largeCube3Timestamp;largeCube3XPos;largeCube3YPos;largeCube3newCorr;largeCube3smoothCorr
0;;;0;0
0.3399316;;;0;0
0.6482769;;;0;0
0.9496027;;;0;0
1.2514302;;;0;0
1.5527571;;;0;0
1.8540824;;;0;0
2.1559091;;;0;0
2.189;-1.105457;2.5;;
2.19;-1.123396;2.5;;
2.208;-1.155064;2.5;;
2.209;-1.155497;2.5;;
2.231;-1.207537;2.5;;
2.232;-1.208134;2.5;;
2.252;-1.260581;2.5;;
2.252;-1.260997;2.5;;
2.253;-1.261241;2.5;;
2.273;-1.314616;2.5;;
2.274;-1.31515;2.5;;
2.274;-1.315239;2.5;;
2.295;-1.36814;2.5;;
2.317;-1.422059;2.5;;
2.34;-1.476092;2.5;;
2.361;-1.52881;2.5;;
2.362;-1.529284;2.5;;
2.382;-1.555909;2.5;;
2.383;-1.556184;2.5;;
2.405;-1.635767;2.5;;
2.407;-1.636553;2.5;;
2.425;-1.689711;2.5;;
2.427;-1.690351;2.5;;
2.447;-1.743224;2.5;;
2.448;-1.743777;2.5;;
2.4572355;;;-0.323509356145605;-0.107836452048535
2.425;-1.689711;2.5;;
2.427;-1.690351;2.5;;
2.447;-1.743224;2.5;;
2.448;-1.743777;2.5;;
2.47;-1.797169;2.5;;
2.471;-1.79759;2.5;;
2.492;-1.850665;2.5;;
2.494;-1.85121;2.5;;
2.515;-1.904294;2.5;;
2.516;-1.904758;2.5;;
2.536;-1.931332;2.5;;
2.537;-1.931611;2.5;;
2.559;-2.011031;2.5;;
2.561;-2.011814;2.5;;
2.583;-2.065243;2.5;;
2.583;-2.065593;2.5;;
2.603;-2.118756;2.5;;
2.671;-2.27938;2.5;;
2.715;-2.386486;2.5;;
2.7590624;;;0.4700078114356;0.0488328184299984
2.803;-2.576029;2.5;;
2.848;-2.681564;2.5;;
2.868;-2.746384;2.5;;
2.869;-2.746973;2.5;;
2.889;-2.78945;2.5;;
2.91;-2.842756;2.5;;
2.911;-2.843279;2.5;;
2.932;-2.896333;2.5;;
2.934;-2.896881;2.5;;
2.954;-2.950278;2.5;;
2.955;-2.950833;2.5;;
2.975;-3.003699;2.5;;
2.976;-3.004251;2.5;;
2.977;-3.004334;2.5;;
2.978;-3.004346;2.5;;
2.997;-2.97359;2.5;;
2.998;-2.973267;2.5;;
3.019;-2.907911;2.5;;
3.02;-2.90737;2.5;;
3.021;-2.907263;2.5;;
3.022;-2.9072;2.5;;
3.04;-2.868096;2.5;;
3.041;-2.86688;2.5;;
3.043;-2.866486;2.5;;
3.043;-2.866469;2.5;;
3.0608901;;;-0.310528921605219;-0.0546768221050744
3.04;-2.868096;2.5;;
3.041;-2.86688;2.5;;
3.043;-2.866486;2.5;;
3.043;-2.866469;2.5;;
3.063;-2.813245;2.5;;
3.072;-2.812583;2.5;;
3.073;-2.812568;2.5;;
3.074;-2.812566;2.5;;
3.084;-2.749263;2.5;;
3.085;-2.747975;2.5;;
3.086;-2.747777;2.5;;
3.086;-2.747708;2.5;;
3.107;-2.706006;2.5;;
3.107;-2.705746;2.5;;
3.108;-2.705543;2.5;;
3.109;-2.705513;2.5;;
3.128;-2.652086;2.5;;
3.129;-2.651502;2.5;;
3.13;-2.651418;2.5;;
3.15;-2.598175;2.5;;
3.151;-2.597503;2.5;;
3.152;-2.597503;2.5;;
3.172;-2.572322;2.5;;
3.173;-2.550196;2.5;;
3.174;-2.532619;2.5;;
3.175;-2.532619;2.5;;
3.194;-2.517322;2.5;;
3.195;-2.501767;2.5;;
3.196;-2.495112;2.5;;
3.197;-2.490155;2.5;;
3.216;-2.464336;2.5;;
3.217;-2.46385;2.5;;
3.218;-2.44404;2.5;;
3.24;-2.409321;2.5;;
3.241;-2.409032;2.5;;
3.241;-2.39979;2.5;;
3.242;-2.382585;2.5;;
3.261;-2.353521;2.5;;
3.262;-2.333769;2.5;;
3.263;-2.330718;2.5;;
3.264;-2.329906;2.5;;
3.264;-2.329777;2.5;;
3.282;-2.302683;2.5;;
3.282;-2.302493;2.5;;
3.283;-2.302332;2.5;;
3.303;-2.249605;2.5;;
3.304;-2.249058;2.5;;
3.305;-2.24897;2.5;;
3.326;-2.196105;2.5;;
3.327;-2.195611;2.5;;
3.328;-2.195513;2.5;;
3.329;-2.170093;2.5;;
3.3622157;;;-0.498100390305989;-0.112873833491869
3.374;-2.063266;2.5;;
3.375;-2.062549;2.5;;
3.397;-2.008731;2.5;;
3.418;-1.98158;2.5;;
3.419;-1.96425;2.5;;
3.44;-1.927437;2.5;;
3.441;-1.9073;2.5;;
3.462;-1.872632;2.5;;
3.464;-1.84952;2.5;;
3.489;-1.819814;2.5;;
3.491;-1.819039;2.5;;
3.505;-1.746339;2.5;;
3.547;-1.659232;2.5;;
3.548;-1.658348;2.5;;
3.549;-1.65822;2.5;;
3.659;-1.389007;2.5;;
3.659;-1.389007;2.5;;
3.6645449;;;-0.434403199600716;-0.414344170503975
3.659;-1.389007;2.5;;
3.659;-1.389007;2.5;;
3.68;-1.336553;2.5;;
3.7;-1.283579;2.5;;
3.722;-1.230692;2.5;;
3.901;-0.8008269;2.5;;
3.925;-0.7477948;2.5;;
3.927;-0.7466761;2.5;;
3.952;-0.7206802;2.5;;
3.953;-0.7204649;2.5;;
3.954;-0.7204245;2.5;;
3.956;-0.7204164;2.5;;
3.9678765;;;0.370832265832232;-0.187223774691491
3.968;-0.6256949;2.5;;
3.969;-0.6231486;2.5;;
3.97;-0.6221087;2.5;;
3.971;-0.6218126;2.5;;
3.991;-0.5870728;2.5;;
3.992;-0.5866307;2.5;;
3.992;-0.5866307;2.5;;
3.993;-0.5866307;2.5;;
4.012;-0.5333641;2.5;;
4.013;-0.5328305;2.5;;
4.014;-0.5326519;2.5;;
4.015;-0.5326519;2.5;;
4.034;-0.479469;2.5;;
4.035;-0.4789278;2.5;;
4.035;-0.478835;2.5;;
4.036;-0.4787602;2.5;;
4.057;-0.4261509;2.5;;
4.057;-0.4257736;2.5;;
4.058;-0.4255184;2.5;;
4.059;-0.4255184;2.5;;
4.079;-0.3717111;2.5;;
4.079;-0.3712827;2.5;;
4.08;-0.3710707;2.5;;
4.1;-0.3454395;2.5;;
4.101;-0.345171;2.5;;
4.102;-0.3451259;2.5;;
4.103;-0.3451259;2.5;;
4.103;-0.3451259;2.5;;
4.124;-0.2655868;2.5;;
4.124;-0.2654139;2.5;;
4.125;-0.2647692;2.5;;
4.146;-0.2111776;2.5;;
4.146;-0.2109733;2.5;;
4.147;-0.210608;2.5;;
4.148;-0.2105496;2.5;;
