smallCube3Timestamp;smallCube3XPos;smallCube3YPos;smallCube3newCorr;smallCube3smoothCorr
0;;;0;0
0.4336498;;;0;0
0.7449757;;;0;0
1.0552978;;;0;0
1.3571856;;;0;0
1.6584844;;;0;0
1.9602845;;;0;0
2.232;-0.2835498;1;;
2.252;-0.3277885;1;;
2.253;-0.3283868;1;;
2.2620849;;;-0.499962477808225;-0.166654159269408
2.252;-0.3277885;1;;
2.253;-0.3283868;1;;
2.274;-0.3502579;1;;
2.275;-0.3504747;1;;
2.276;-0.3676965;1;;
2.277;-0.3715498;1;;
2.297;-0.416868;1;;
2.298;-0.4174381;1;;
2.299;-0.4174381;1;;
2.319;-0.4395753;1;;
2.32;-0.4397916;1;;
2.321;-0.4398354;1;;
2.322;-0.4398442;1;;
2.323;-0.439846;1;;
2.342;-0.5063153;1;;
2.343;-0.5069323;1;;
2.343;-0.5069792;1;;
2.344;-0.5071689;1;;
2.364;-0.5519779;1;;
2.365;-0.5525368;1;;
2.366;-0.5525368;1;;
2.367;-0.5525368;1;;
2.386;-0.5956694;1;;
2.387;-0.5965863;1;;
2.388;-0.5967486;1;;
2.389;-0.5967833;1;;
2.408;-0.6410886;1;;
2.409;-0.6410886;1;;
2.41;-0.6410886;1;;
2.41;-0.6410886;1;;
2.43;-0.6632711;1;;
2.431;-0.6632711;1;;
2.431;-0.6632711;1;;
2.432;-0.6632711;1;;
2.451;-0.6857358;1;;
2.452;-0.6859811;1;;
2.453;-0.6860198;1;;
2.475;-0.7838082;1;;
2.475;-0.7844965;1;;
2.476;-0.7848606;1;;
2.477;-0.7849115;1;;
2.497;-0.8209338;1;;
2.498;-0.8212838;1;;
2.498;-0.821343;1;;
2.499;-0.8213685;1;;
2.499;-0.8213728;1;;
2.519;-0.8636217;1;;
2.52;-0.8639874;1;;
2.521;-0.8641068;1;;
2.543;-0.9084222;1;;
2.543;-0.9085471;1;;
2.544;-0.9088635;1;;
2.545;-0.9089147;1;;
2.545;-0.9089367;1;;
2.563384;;;0.457015256249209;-0.0143157405196721
2.543;-0.9084222;1;;
2.543;-0.9085471;1;;
2.544;-0.9088635;1;;
2.545;-0.9089147;1;;
2.545;-0.9089367;1;;
2.564;-0.9535843;1;;
2.565;-0.9530351;1;;
2.573;-0.9535669;1;;
2.574;-0.9535795;1;;
2.586;-1.008185;1;;
2.587;-1.009307;1;;
2.588;-1.009307;1;;
2.608;-1.040648;1;;
2.609;-1.040947;1;;
2.609;-1.040997;1;;
2.61;-1.041033;1;;
2.611;-1.041046;1;;
2.631;-1.063479;1;;
2.631;-1.063479;1;;
2.632;-1.063479;1;;
2.652;-1.129595;1;;
2.653;-1.130283;1;;
2.654;-1.130408;1;;
2.655;-1.130408;1;;
2.656;-1.130408;1;;
2.675;-1.177619;1;;
2.675;-1.177619;1;;
2.676;-1.177619;1;;
2.676;-1.177619;1;;
2.697;-1.219463;1;;
2.698;-1.219881;1;;
2.699;-1.219937;1;;
2.72;-1.26419;1;;
2.721;-1.264552;1;;
2.722;-1.264665;1;;
2.722;-1.264675;1;;
2.742;-1.309188;1;;
2.743;-1.309188;1;;
2.744;-1.309188;1;;
2.766;-1.35449;1;;
2.767;-1.35449;1;;
2.788;-1.376405;1;;
2.789;-1.376602;1;;
2.789;-1.37667;1;;
2.791;-1.37667;1;;
2.814;-1.444128;1;;
2.815;-1.444128;1;;
2.835;-1.48848;1;;
2.836;-1.48848;1;;
2.8531527;;;-0.319432000347028;-0.0905948054765111
2.856;-1.533055;1;;
2.857;-1.533055;1;;
2.884;-1.577542;1;;
2.885;-1.577542;1;;
2.899;-1.622815;1;;
2.9;-1.622815;1;;
2.921;-1.667127;1;;
2.922;-1.667127;1;;
2.943;-1.689491;1;;
2.944;-1.689491;1;;
2.965;-1.756262;1;;
2.966;-1.756262;1;;
2.988;-1.801224;1;;
2.989;-1.801224;1;;
3.01;-1.823222;1;;
3.011;-1.845767;1;;
3.031;-1.869905;1;;
3.033;-1.890486;1;;
3.052;-1.912917;1;;
3.053;-1.912917;1;;
3.054;-1.912917;1;;
3.073;-1.956861;1;;
3.073;-1.957244;1;;
3.074;-1.957401;1;;
3.074;-1.957428;1;;
3.094;-2.001365;1;;
3.095;-2.001741;1;;
3.095;-2.001767;1;;
3.116;-2.055761;1;;
3.116;-2.056418;1;;
3.117;-2.056418;1;;
3.118;-2.056418;1;;
3.137;-2.091055;1;;
3.138;-2.091509;1;;
3.139;-2.091509;1;;
3.1549528;;;0.164451162575433;-0.0494820148326529
3.16;-2.136293;1;;
3.16;-2.136293;1;;
3.161;-2.136293;1;;
3.162;-2.136293;1;;
3.182;-2.180699;1;;
3.182;-2.180699;1;;
3.183;-2.180699;1;;
3.183;-2.180699;1;;
3.21;-2.22518;1;;
3.211;-2.244198;1;;
3.224;-2.270002;1;;
3.224;-2.270307;1;;
3.225;-2.270504;1;;
3.226;-2.270504;1;;
3.226;-2.270504;1;;
3.246;-2.314857;1;;
3.246;-2.314857;1;;
3.247;-2.314857;1;;
3.267;-2.367827;1;;
3.268;-2.36827;1;;
3.269;-2.368418;1;;
3.269;-2.368419;1;;
3.27;-2.368477;1;;
3.289;-2.404197;1;;
3.29;-2.404666;1;;
3.291;-2.404666;1;;
3.311;-2.426497;1;;
3.312;-2.448634;1;;
3.333;-2.471395;1;;
3.334;-2.493495;1;;
3.353;-2.515628;1;;
