lineargazeTimestamp;lineargazeXPos;lineargazeYPos;lineargazenewCorr;lineargazesmoothCorr
2.142;0;0
2.203;0.08097161;1.398412
2.204;0.08082453;1.397702
2.226;0.08050535;1.399275
2.142;0;0;;
2.203;0.08097161;1.398412;;
2.204;0.08082453;1.397702;;
2.226;0.08050535;1.399275;;
2.269;0.07979375;1.397719
2.269;0.07929762;1.391124
2.29;0.07896066;1.383888
2.313;0.07865462;1.375995
2.334;0.07997614;1.377603
2.356;0.07983059;1.382263
2.357;0.08006198;1.390696
2.377;0.08050509;1.398388
2.378;0.0798759;1.398894
2.142;0;0;;
2.203;0.08097161;1.398412;;
2.204;0.08082453;1.397702;;
2.226;0.08050535;1.399275;;
2.269;0.07979375;1.397719;;
2.269;0.07929762;1.391124;;
2.4;0.0803908;1.401497
2.29;0.07896066;1.383888;;
2.313;0.07865462;1.375995;;
2.334;0.07997614;1.377603;;
2.356;0.07983059;1.382263;;
2.357;0.08006198;1.390696;;
2.377;0.08050509;1.398388;;
2.378;0.0798759;1.398894;;
2.468;0.08039933;1.401704
2.469;0.08015694;1.40097
2.532;0.07991435;1.401327
2.269;0.07979375;1.397719;;
2.269;0.07929762;1.391124;;
2.29;0.07896066;1.383888;;
2.313;0.07865462;1.375995;;
2.334;0.07997614;1.377603;;
2.356;0.07983059;1.382263;;
2.357;0.08006198;1.390696;;
2.377;0.08050509;1.398388;;
2.378;0.0798759;1.398894;;
2.4;0.0803908;1.401497;;
2.468;0.08039933;1.401704;;
2.469;0.08015694;1.40097;;
2.532;0.07991435;1.401327;;
2.575;0.07941548;1.398877
2.596;0.07988493;1.397582
2.638;0.08032788;1.397753
2.639;0.07994927;1.394735
2.356;0.07983059;1.382263;;
2.357;0.08006198;1.390696;;
2.377;0.08050509;1.398388;;
2.378;0.0798759;1.398894;;
2.4;0.0803908;1.401497;;
2.468;0.08039933;1.401704;;
2.469;0.08015694;1.40097;;
2.532;0.07991435;1.401327;;
2.575;0.07941548;1.398877;;
2.596;0.07988493;1.397582;;
2.638;0.08032788;1.397753;;
2.639;0.07994927;1.394735;;
2.725;0.08038417;1.396408
2.746;0.0817439;1.378374
2.747;0.08334277;1.359638
2.793;0.08602393;1.342237
2.815;0.08575528;1.341341
2.836;0.0836681;1.35375
2.575;0.07941548;1.398877;;
2.596;0.07988493;1.397582;;
2.638;0.08032788;1.397753;;
2.639;0.07994927;1.394735;;
