lineargazeTimestamp;lineargazeXPos;lineargazeYPos;lineargazenewCorr;lineargazesmoothCorr
10.116;0;0
10.372;0;0
10.392;0;0
10.116;0;0;;
10.372;0;0;;
10.392;0;0;;
10.414;0;0
10.499;0;0
10.501;0;0
10.372;0;0;;
10.392;0;0;;
10.414;0;0;;
10.499;0;0;;
10.501;0;0;;
10.372;0;0;;
10.392;0;0;;
10.414;0;0;;
10.499;0;0;;
10.501;0;0;;
10.372;0;0;;
10.392;0;0;;
10.414;0;0;;
10.499;0;0;;
10.501;0;0;;
10.372;0;0;;
10.392;0;0;;
10.414;0;0;;
10.499;0;0;;
10.501;0;0;;
10.372;0;0;;
10.392;0;0;;
10.414;0;0;;
10.499;0;0;;
10.501;0;0;;
10.372;0;0;;
10.392;0;0;;
10.414;0;0;;
10.499;0;0;;
10.501;0;0;;
10.372;0;0;;
10.392;0;0;;
10.414;0;0;;
10.499;0;0;;
10.501;0;0;;
10.372;0;0;;
10.392;0;0;;
10.414;0;0;;
10.499;0;0;;
10.501;0;0;;
10.372;0;0;;
10.392;0;0;;
10.414;0;0;;
10.499;0;0;;
10.501;0;0;;
13.287;0;0
13.33;0;0
13.287;0;0;;
13.33;0;0;;
13.48;0;0
13.481;0;0
13.502;0;0
13.502;0;0
13.523;0;0
13.543;0;0
13.544;0;0
13.632;0;0
13.48;0;0;;
13.481;0;0;;
13.502;0;0;;
13.502;0;0;;
13.523;0;0;;
13.543;0;0;;
13.544;0;0;;
13.632;0;0;;
13.742;0;0
13.48;0;0;;
13.481;0;0;;
13.502;0;0;;
13.502;0;0;;
13.523;0;0;;
13.543;0;0;;
13.544;0;0;;
13.632;0;0;;
13.742;0;0;;
14.319;0;0
14.319;0;0;;
14.319;0;0;;
14.896;0;0
14.896;0;0;;
14.937;0;0
14.938;0;0
15.044;0;0
15.045;0;0
14.896;0;0;;
14.937;0;0;;
14.938;0;0;;
15.044;0;0;;
15.045;0;0;;
14.896;0;0;;
14.937;0;0;;
14.938;0;0;;
15.044;0;0;;
15.045;0;0;;
15.75;0;0
15.772;0;0
15.794;0.314897;0.1491555
15.816;0.314897;0.1491555
15.817;0.3160309;0.1585455
15.75;0;0;;
15.772;0;0;;
15.794;0.314897;0.1491555;;
15.816;0.314897;0.1491555;;
15.817;0.3160309;0.1585455;;
15.838;0.3155383;0.1627197
15.839;0.3155383;0.1627197
15.839;0.3145242;0.1652958
