circular5Timestamp;circular5XPos;circular5YPos;circular5newCorr;circular5smoothCorr
10.7029951;;;0;0
10.726;0.4376732;-1.434727;;
10.727;0.4376732;-1.434727;;
10.727;0.4376732;-1.434727;;
10.728;0.4376732;-1.434727;;
10.729;0.4376732;-1.434727;;
10.73;0.4376732;-1.434727;;
10.73;0.4376732;-1.434727;;
10.754;0.4138209;-1.441788;;
10.754;0.4138209;-1.441788;;
10.755;0.4054491;-1.444153;;
10.757;0.402615;-1.444953;;
10.781;0.3767267;-1.451922;;
10.781;0.3767267;-1.451922;;
10.782;0.3767267;-1.451922;;
10.783;0.3767267;-1.451922;;
10.804;0.3513941;-1.458257;;
10.805;0.3510919;-1.458333;;
10.805;0.3510919;-1.458333;;
10.806;0.3510919;-1.458333;;
10.807;0.3510919;-1.458333;;
10.807;0.3510919;-1.458333;;
10.826;0.3245051;-1.464478;;
10.826;0.3245051;-1.464478;;
10.827;0.3245051;-1.464478;;
10.828;0.3245051;-1.464478;;
10.849;0.2993636;-1.469818;;
10.85;0.2989782;-1.4699;;
10.85;0.2988832;-1.46992;;
10.871;0.2742608;-1.474711;;
10.871;0.2741312;-1.474736;;
10.872;0.2739627;-1.474769;;
10.873;0.2739627;-1.474769;;
10.873;0.2739627;-1.474769;;
10.897;0.2609617;-1.477125;;
10.898;0.25028;-1.478965;;
10.913;0.2212586;-1.483587;;
10.913;0.220989;-1.48363;;
10.914;0.2208029;-1.483659;;
10.915;0.2207672;-1.483665;;
10.916;0.2207672;-1.483665;;
10.916;0.2207672;-1.483665;;
10.935;0.1964184;-1.487082;;
10.979;0.1440896;-1.493058;;
10.98;0.1438548;-1.493085;;
10.981;0.1438071;-1.49309;;
10.990259;;;-0.0692033797249099;-0.0346016898624549
10.981;0.1438071;-1.49309;;
11.022;0.1007094;-1.496612;;
11.023;0.1004467;-1.496633;;
11.025;0.09260235;-1.497136;;
11.045;0.07825831;-1.497956;;
11.047;0.06686892;-1.498502;;
11.067;0.05196238;-1.499099;;
11.069;0.04029794;-1.499452;;
11.088;0.0255684;-1.499781;;
11.089;0.02537168;-1.499785;;
11.109;-0.001312675;-1.499999;;
11.153;-0.05367186;-1.499039;;
11.154;-0.05367186;-1.499039;;
11.173;-0.07948409;-1.49789;;
11.174;-0.07975648;-1.497877;;
11.194;-0.1056527;-1.496272;;
11.195;-0.1058812;-1.496258;;
11.215;-0.1322668;-1.494157;;
11.216;-0.1322668;-1.494157;;
11.237;-0.1580852;-1.491644;;
11.239;-0.1583513;-1.491618;;
11.258;-0.1842923;-1.488633;;
11.259;-0.1846305;-1.488594;;
11.28;-0.1976411;-1.486922;;
11.280532;;;0.119657872433589;0.0168181642362263
11.28;-0.1976411;-1.486922;;
11.281;-0.2074097;-1.485581;;
11.3;-0.2238199;-1.483208;;
11.301;-0.2238199;-1.483208;;
11.321;-0.2497918;-1.479055;;
11.322;-0.2497918;-1.479055;;
11.341;-0.2761855;-1.474352;;
11.362;-0.3011216;-1.469462;;
11.363;-0.3013539;-1.469416;;
11.364;-0.3014005;-1.469407;;
11.384;-0.3273817;-1.463835;;
11.405;-0.3523752;-1.45802;;
11.406;-0.3526175;-1.457964;;
11.427;-0.3780962;-1.451563;;
11.428;-0.3783213;-1.451506;;
11.455;-0.4032677;-1.444773;;
11.456;-0.4034624;-1.44472;;
11.469;-0.4239025;-1.438856;;
11.469;-0.4239025;-1.438856;;
11.489;-0.4416981;-1.433493;;
11.49;-0.4416981;-1.433493;;
11.51;-0.4664948;-1.425617;;
11.53;-0.4914301;-1.417211;;
11.531;-0.4916905;-1.417124;;
11.533;-0.4917355;-1.417108;;
11.552;-0.515864;-1.408501;;
11.573;-0.5407681;-1.399129;;
11.574;-0.5409731;-1.399052;;
11.582334;;;0.840345313673146;0.222699951595456
11.594;-0.5655045;-1.389315;;
11.595;-0.5657274;-1.389226;;
11.615;-0.5775604;-1.384349;;
11.616;-0.5776702;-1.384304;;
11.635;-0.6020915;-1.373858;;
11.636;-0.6020915;-1.373858;;
11.655;-0.6253556;-1.363423;;
11.657;-0.6256582;-1.363287;;
11.678;-0.6497275;-1.351982;;
11.698;-0.673124;-1.340483;;
11.7;-0.6734115;-1.340342;;
11.72;-0.6964319;-1.328523;;
11.741;-0.7196064;-1.316115;;
11.742;-0.7198279;-1.315996;;
11.762;-0.7426228;-1.303266;;
11.764;-0.7428683;-1.303129;;
11.784;-0.7657064;-1.289839;;
11.785;-0.765991;-1.289674;;
11.806;-0.7879043;-1.276401;;
11.807;-0.7881184;-1.276271;;
11.83;-0.8102238;-1.262351;;
11.831;-0.8104222;-1.262226;;
11.851;-0.8321633;-1.247997;;
11.852;-0.8323938;-1.247846;;
11.874;-0.8541878;-1.23303;;
11.877;-0.8541878;-1.23303;;
11.8841372;;;0.000389770561087244;0.222797394235728
