lineargazeTimestamp;lineargazeXPos;lineargazeYPos;lineargazenewCorr;lineargazesmoothCorr
11.897;0.9924806;0.3788283
11.92;0.9973266;0.3765527
11.897;0.9924806;0.3788283;;
11.92;0.9973266;0.3765527;;
11.897;0.9924806;0.3788283;;
11.92;0.9973266;0.3765527;;
11.982;0.9951798;0.3777253
12.005;0.993206;0.3787608
12.028;0.9909018;0.379949
11.897;0.9924806;0.3788283;;
11.92;0.9973266;0.3765527;;
11.982;0.9951798;0.3777253;;
12.005;0.993206;0.3787608;;
12.028;0.9909018;0.379949;;
11.897;0.9924806;0.3788283;;
11.92;0.9973266;0.3765527;;
11.982;0.9951798;0.3777253;;
12.005;0.993206;0.3787608;;
12.028;0.9909018;0.379949;;
12.075;0.987988;0.3813713
12.098;0.9848985;0.3828446
12.12;0.9823971;0.3840131
11.897;0.9924806;0.3788283;;
11.92;0.9973266;0.3765527;;
11.982;0.9951798;0.3777253;;
12.005;0.993206;0.3787608;;
12.028;0.9909018;0.379949;;
12.075;0.987988;0.3813713;;
12.098;0.9848985;0.3828446;;
12.12;0.9823971;0.3840131;;
11.897;0.9924806;0.3788283;;
11.92;0.9973266;0.3765527;;
11.982;0.9951798;0.3777253;;
12.005;0.993206;0.3787608;;
12.028;0.9909018;0.379949;;
12.075;0.987988;0.3813713;;
12.098;0.9848985;0.3828446;;
12.12;0.9823971;0.3840131;;
11.897;0.9924806;0.3788283;;
11.92;0.9973266;0.3765527;;
11.982;0.9951798;0.3777253;;
12.005;0.993206;0.3787608;;
12.028;0.9909018;0.379949;;
12.075;0.987988;0.3813713;;
12.098;0.9848985;0.3828446;;
12.12;0.9823971;0.3840131;;
11.897;0.9924806;0.3788283;;
11.92;0.9973266;0.3765527;;
11.982;0.9951798;0.3777253;;
12.005;0.993206;0.3787608;;
12.028;0.9909018;0.379949;;
12.075;0.987988;0.3813713;;
12.098;0.9848985;0.3828446;;
12.12;0.9823971;0.3840131;;
12.39;0.9804204;0.3849303
12.098;0.9848985;0.3828446;;
12.12;0.9823971;0.3840131;;
12.39;0.9804204;0.3849303;;
12.098;0.9848985;0.3828446;;
12.12;0.9823971;0.3840131;;
12.39;0.9804204;0.3849303;;
12.546;0.9824884;0.3838925
12.39;0.9804204;0.3849303;;
12.546;0.9824884;0.3838925;;
12.39;0.9804204;0.3849303;;
12.546;0.9824884;0.3838925;;
12.569;0.988997;0.3803672
12.611;0.9954591;0.376947
12.656;1.001126;0.373992
12.39;0.9804204;0.3849303;;
12.546;0.9824884;0.3838925;;
12.569;0.988997;0.3803672;;
12.611;0.9954591;0.376947;;
12.656;1.001126;0.373992;;
12.39;0.9804204;0.3849303;;
12.546;0.9824884;0.3838925;;
12.569;0.988997;0.3803672;;
12.611;0.9954591;0.376947;;
12.656;1.001126;0.373992;;
12.7;1.003099;0.3729358
12.725;1.000858;0.3742988
12.747;0.9984072;0.3757214
12.546;0.9824884;0.3838925;;
12.569;0.988997;0.3803672;;
12.611;0.9954591;0.376947;;
12.656;1.001126;0.373992;;
12.7;1.003099;0.3729358;;
12.725;1.000858;0.3742988;;
12.747;0.9984072;0.3757214;;
12.546;0.9824884;0.3838925;;
12.569;0.988997;0.3803672;;
12.611;0.9954591;0.376947;;
12.656;1.001126;0.373992;;
12.7;1.003099;0.3729358;;
12.725;1.000858;0.3742988;;
12.747;0.9984072;0.3757214;;
12.792;0.9963787;0.3768762
12.814;0.9942769;0.378006
12.858;0.9920045;0.3792267
12.569;0.988997;0.3803672;;
12.611;0.9954591;0.376947;;
12.656;1.001126;0.373992;;
12.7;1.003099;0.3729358;;
12.725;1.000858;0.3742988;;
12.747;0.9984072;0.3757214;;
12.792;0.9963787;0.3768762;;
12.814;0.9942769;0.378006;;
12.858;0.9920045;0.3792267;;
12.569;0.988997;0.3803672;;
12.611;0.9954591;0.376947;;
12.656;1.001126;0.373992;;
12.7;1.003099;0.3729358;;
12.725;1.000858;0.3742988;;
12.747;0.9984072;0.3757214;;
12.792;0.9963787;0.3768762;;
12.814;0.9942769;0.378006;;
12.858;0.9920045;0.3792267;;
12.901;0.9900725;0.380257
12.925;0.9882625;0.3812078
12.949;0.9868705;0.3819141
12.994;0.9860718;0.38231
12.7;1.003099;0.3729358;;
12.725;1.000858;0.3742988;;
12.747;0.9984072;0.3757214;;
12.792;0.9963787;0.3768762;;
12.814;0.9942769;0.378006;;
12.858;0.9920045;0.3792267;;
12.901;0.9900725;0.380257;;
12.925;0.9882625;0.3812078;;
12.949;0.9868705;0.3819141;;
12.994;0.9860718;0.38231;;
12.7;1.003099;0.3729358;;
12.725;1.000858;0.3742988;;
12.747;0.9984072;0.3757214;;
12.792;0.9963787;0.3768762;;
12.814;0.9942769;0.378006;;
12.858;0.9920045;0.3792267;;
12.901;0.9900725;0.380257;;
12.925;0.9882625;0.3812078;;
12.949;0.9868705;0.3819141;;
12.994;0.9860718;0.38231;;
13.038;0.9854934;0.3825979
13.083;0.9842868;0.3831697
13.107;0.9836379;0.3834732
13.108;0.9828618;0.3838305
12.814;0.9942769;0.378006;;
12.858;0.9920045;0.3792267;;
12.901;0.9900725;0.380257;;
12.925;0.9882625;0.3812078;;
12.949;0.9868705;0.3819141;;
12.994;0.9860718;0.38231;;
13.038;0.9854934;0.3825979;;
13.083;0.9842868;0.3831697;;
13.107;0.9836379;0.3834732;;
13.108;0.9828618;0.3838305;;
12.814;0.9942769;0.378006;;
12.858;0.9920045;0.3792267;;
12.901;0.9900725;0.380257;;
12.925;0.9882625;0.3812078;;
12.949;0.9868705;0.3819141;;
12.994;0.9860718;0.38231;;
13.038;0.9854934;0.3825979;;
13.083;0.9842868;0.3831697;;
13.107;0.9836379;0.3834732;;
13.108;0.9828618;0.3838305;;
13.173;0.9799087;0.3798774
13.196;0.9788428;0.3803657
13.22;0.9774857;0.3809787
12.925;0.9882625;0.3812078;;
12.949;0.9868705;0.3819141;;
12.994;0.9860718;0.38231;;
13.038;0.9854934;0.3825979;;
13.083;0.9842868;0.3831697;;
13.107;0.9836379;0.3834732;;
