circular1Timestamp;circular1XPos;circular1YPos;circular1newCorr;circular1smoothCorr
8.4947258;;;0;0
8.5072594;;;0;0
8.5609012;;;0;0
8.6165485;;;0;0
8.6721964;;;0;0
8.7283447;;;0;0
8.7839918;;;0;0
8.8396391;;;0;0
8.9028059;;;0;0
8.9629653;;;0;0
9.0191139;;;0;0
9.074761;;;0;0
9.1304091;;;0;0
9.1860557;;;0;0
9.2422045;;;0;0
9.272;-1.5;0;;
9.273;-1.5;0;;
9.274;-1.5;0;;
9.274;-1.5;0;;
9.275;-1.5;0;;
9.293;-1.5;0;;
9.294;-1.5;0;;
9.2978514;;;0;0
9.272;-1.5;0;;
9.273;-1.5;0;;
9.274;-1.5;0;;
9.274;-1.5;0;;
9.275;-1.5;0;;
9.293;-1.5;0;;
9.294;-1.5;0;;
9.336;-1.5;0;;
9.354072;;;0;0
9.272;-1.5;0;;
9.273;-1.5;0;;
9.274;-1.5;0;;
9.274;-1.5;0;;
9.275;-1.5;0;;
9.293;-1.5;0;;
9.294;-1.5;0;;
9.336;-1.5;0;;
9.378;-1.5;0;;
9.379;-1.5;0;;
9.379;-1.5;0;;
9.399;-1.5;0;;
9.4;-1.5;0;;
9.4097193;;;0;0
9.272;-1.5;0;;
9.273;-1.5;0;;
9.274;-1.5;0;;
9.274;-1.5;0;;
9.275;-1.5;0;;
9.293;-1.5;0;;
9.294;-1.5;0;;
9.336;-1.5;0;;
9.378;-1.5;0;;
9.379;-1.5;0;;
9.379;-1.5;0;;
9.399;-1.5;0;;
9.4;-1.5;0;;
9.42;-1.5;0;;
9.422;-1.5;0;;
9.422;-1.5;0;;
9.443;-1.5;0;;
9.443;-1.5;0;;
9.444;-1.5;0;;
9.445;-1.5;0;;
9.465;-1.5;0;;
9.4658682;;;0;0
9.272;-1.5;0;;
9.273;-1.5;0;;
9.274;-1.5;0;;
9.274;-1.5;0;;
9.275;-1.5;0;;
9.293;-1.5;0;;
9.294;-1.5;0;;
9.336;-1.5;0;;
9.378;-1.5;0;;
9.379;-1.5;0;;
9.379;-1.5;0;;
9.399;-1.5;0;;
9.4;-1.5;0;;
9.42;-1.5;0;;
9.422;-1.5;0;;
9.422;-1.5;0;;
9.443;-1.5;0;;
9.443;-1.5;0;;
9.444;-1.5;0;;
9.445;-1.5;0;;
9.465;-1.5;0;;
9.466;-1.5;0;;
9.468;-1.5;0;;
9.469;-1.5;0;;
9.487;-1.5;0;;
9.487;-1.5;0;;
9.51;-1.5;0;;
9.511;-1.5;0;;
9.512;-1.5;0;;
9.513;-1.5;0;;
9.521515;;;0;0
9.272;-1.5;0;;
9.273;-1.5;0;;
9.274;-1.5;0;;
9.274;-1.5;0;;
9.275;-1.5;0;;
9.293;-1.5;0;;
9.294;-1.5;0;;
9.336;-1.5;0;;
9.378;-1.5;0;;
9.379;-1.5;0;;
9.379;-1.5;0;;
9.399;-1.5;0;;
9.4;-1.5;0;;
9.42;-1.5;0;;
9.422;-1.5;0;;
9.422;-1.5;0;;
9.443;-1.5;0;;
9.443;-1.5;0;;
9.444;-1.5;0;;
9.445;-1.5;0;;
9.465;-1.5;0;;
9.466;-1.5;0;;
9.468;-1.5;0;;
9.469;-1.5;0;;
9.487;-1.5;0;;
9.487;-1.5;0;;
9.51;-1.5;0;;
9.511;-1.5;0;;
9.512;-1.5;0;;
9.513;-1.5;0;;
9.533;-1.5;0;;
9.554;-1.5;0;;
9.5661333;;;0;0
9.336;-1.5;0;;
9.378;-1.5;0;;
9.379;-1.5;0;;
9.379;-1.5;0;;
9.399;-1.5;0;;
9.4;-1.5;0;;
9.42;-1.5;0;;
9.422;-1.5;0;;
9.422;-1.5;0;;
9.443;-1.5;0;;
9.443;-1.5;0;;
9.444;-1.5;0;;
9.445;-1.5;0;;
9.465;-1.5;0;;
9.466;-1.5;0;;
9.468;-1.5;0;;
9.469;-1.5;0;;
9.487;-1.5;0;;
9.487;-1.5;0;;
9.51;-1.5;0;;
9.511;-1.5;0;;
9.512;-1.5;0;;
9.513;-1.5;0;;
9.533;-1.5;0;;
9.554;-1.5;0;;
9.578;-1.5;0;;
9.6;-1.5;0;;
9.602;-1.5;0;;
9.603;-1.5;0;;
9.6107513;;;0;0
9.378;-1.5;0;;
9.379;-1.5;0;;
9.379;-1.5;0;;
9.399;-1.5;0;;
9.4;-1.5;0;;
9.42;-1.5;0;;
9.422;-1.5;0;;
9.422;-1.5;0;;
9.443;-1.5;0;;
9.443;-1.5;0;;
9.444;-1.5;0;;
9.445;-1.5;0;;
9.465;-1.5;0;;
9.466;-1.5;0;;
9.468;-1.5;0;;
9.469;-1.5;0;;
9.487;-1.5;0;;
9.487;-1.5;0;;
9.51;-1.5;0;;
9.511;-1.5;0;;
9.512;-1.5;0;;
9.513;-1.5;0;;
9.533;-1.5;0;;
9.554;-1.5;0;;
9.578;-1.5;0;;
9.6;-1.5;0;;
9.602;-1.5;0;;
9.603;-1.5;0;;
9.647;-1.5;0;;
9.648;-1.5;0;;
