timestamp;selectionTime;selectedObject;selectedSizeDeg;targetMeteor;targetSizeDeg;correct?;correlationToIntendedObject;distanceToIntendedObject;radius;center;size;counterThreshold;correlationThreshold;correlationAverageWindow;correlationFrequency;w
14.4828068;4.1138006;0;0.0584000748478016;0;0.0584000748478016;True;1;0;2.412704;(2.2, 0.6, 7.7);(118.5, 616.8);20;0.6;900;0.08;300
18.970911;1.4882458;11;0.119085038286226;8;0.0359831310311995;False;0.00190468238129654;3.914374;2.335336;(0.3, 1.3, 3.6);(636.5, 898.3);20;0.6;900;0.08;300
25.1525716;3.1902554;13;0.138408620139248;8;0.0359831310311995;False;0.0125687853336685;2.571105;2.335336;(0.3, 1.3, 3.6);(72.0, 312.3);20;0.6;900;0.08;300
30.3960048;2.2573626;8;0.0359831310311995;8;0.0359831310311995;True;1;0;1.344909;(2.3, 0.5, 7.8);(486.7, 502.8);20;0.6;900;0.08;300
37.9722794;4.5835764;18;0.0875242458614554;18;0.0875242458614554;True;1;0;1.666396;(-0.6, 1.8, 5.2);(139.6, 578.9);20;0.6;900;0.08;300
44.5366517;3.5634663;5;0.068579887740943;5;0.068579887740943;True;1;0;2.08836;(-0.8, 0.1, 7.2);(124.5, 430.5);20;0.6;900;0.08;300
53.1141826;5.572284;19;0.0601814506119131;19;0.0601814506119131;True;1;0;1.290084;(-1.8, 1.2, 7.4);(221.5, 421.1);20;0.6;900;0.08;300
61.9761715;5.8786015;9;0.0947562499381519;9;0.0947562499381519;True;1;0;1.6264;(-1.0, -1.2, 5.0);(218.0, 384.1);20;0.6;900;0.08;300
70.5462018;5.5796532;4;0.0561608057012826;4;0.0561608057012826;True;1;0;2.08836;(-0.8, 0.1, 7.2);(166.9, 108.9);20;0.6;900;0.08;300
78.9602003;5.4266497;23;0.0554969570564657;23;0.0554969570564657;True;1;0;2.236115;(2.2, -0.7, 6.6);(565.8, 330.0);20;0.6;900;0.08;300
85.3437674;3.3878591;12;0.129708187944807;12;0.129708187944807;True;1;0;2.335336;(0.3, 1.3, 3.6);(106.8, 156.5);20;0.6;900;0.08;300
91.5767075;3.2316783;24;0.137067862915233;24;0.137067862915233;True;1;0;1.991594;(-0.3, 0.5, 3.4);(1537.7, 1341.6);20;0.6;900;0.08;300
98.1466185;3.5688983;26;0.0436372547605207;26;0.0436372547605207;True;1;0;1.041634;(2.0, -1.2, 7.9);(86.0, 364.8);20;0.6;900;0.08;300
104.8664715;3.731691;17;0.0537278379698885;17;0.0537278379698885;True;1;0;1.00627;(1.0, -0.7, 8.0);(45.7, 389.4);20;0.6;900;0.08;300
111.0169023;3.1579388;16;0.0554438215865024;16;0.0554438215865024;True;1;0;1.36903;(1.7, 0.9, 6.9);(223.6, 186.3);20;0.6;900;0.08;300
133.9843512;19.9706397;15;0.0609825238708474;21;0.0710107085445461;False;0.992391510587273;3.434873;1.575073;(-1.4, -1.5, 7.5);(216.4, 80.0);20;0.6;900;0.08;300
143.8891455;6.9098522;28;0.0819336867340219;21;0.0710107085445461;False;0.999512001750755;3.322958;2.008779;(1.3, -2.4, 5.2);(86.4, 117.6);20;0.6;900;0.08;300
149.4253311;2.5388274;21;0.0710107085445461;21;0.0710107085445461;True;1;0;1.815791;(2.2, 0.6, 4.5);(118.4, 50.4);20;0.6;900;0.08;300
164.7176349;12.2902622;30;0.0838857474862838;22;0.0700200148414292;False;0.995962439626594;1.718669;2.30636;(-1.8, 0.1, 5.2);(100.6, 407.4);20;0.6;900;0.08;300
171.743504;4.0247334;22;0.0700200148414292;22;0.0700200148414292;True;1;0;1.049946;(-1.9, 0.8, 5.6);(98.5, 149.7);20;0.6;900;0.08;300
186.366334;11.6218785;32;0.07246625879088;32;0.07246625879088;True;1;0;0.5988636;(-0.5, -2.3, 5.6);(428.2, 128.8);20;0.6;900;0.08;300
