timestamp;selectionTime;selectedObject;selectedObjectSizeDegX;selectedObjectSizeDegY;intendedObject;intendedObjectSizeDegX;intendedObjectSizeDegY;correct?;trajectoryResemblanceX;trajectoryResemblanceY;distanceToIntendedObjDeg;trajectoryDiameterDeg;trajectoryCenterDeg;currentPosDeg;degPerSec;trajectoryExceedsFOV;counterThreshold;correlationThreshold;correlationAverageWindow;correlationFrequency;correlationWindow
18.5498365;8.9874034;5;7.029697;6.027948;0;5.526209;5.628366;False;-0.9818962;-0.9995126;5.481318;24.02668;(11.0, 26.5);(22.4, 25.0);83;True;15;0.6;900;0.08;300
23.6423994;2.1016075;0;5.123951;5.094655;0;5.123951;5.094655;True;1;1;0;23.41549;(6.6, 11.5);(-5.4, 11.1);30;False;15;0.6;900;0.08;300
42.5624303;15.9393035;17;12.97692;13.66862;4;5.416751;5.913191;False;0.9994425;0.9998388;23.2543;33.7919;(-7.3, 12.6);(-18.8, -0.4);85;False;15;0.6;900;0.08;300
62.0351704;16.479079;4;6.398169;5.790026;4;6.398169;5.790026;True;1;1;0;24.02668;(11.0, 26.5);(17.9, 34.4);83;True;13;0.6;900;0.08;300
77.9735316;12.9368784;12;10.57444;10.13893;12;10.57444;10.13893;True;1;1;0;8.694527;(-7.5, 20.7);(-8.9, 16.9);56;False;13;0.6;900;0.08;300
83.5147706;2.5497823;24;13.6452;14.70385;24;13.6452;14.70385;True;1;1;0;17.15857;(-3.5, 11.8);(-11.9, 10.0);46;False;13;0.6;900;0.08;300
100.9942503;14.4890265;23;19.81132;10.87232;23;19.81132;10.87232;True;1;1;0;39.5307;(-18.7, 24.9);(2.4, 29.8);29;True;12;0.6;900;0.08;300
107.9664632;3.9802745;25;10.66534;11.55908;25;10.66534;11.55908;True;1;1;0;39.69104;(-3.9, 11.2);(-13.2, -7.6);67;False;12;0.6;900;0.08;300
121.1263807;10.1589548;27;8.943975;9.211231;27;8.943975;9.211231;True;1;1;0;12.81546;(6.1, 27.4);(11.2, 24.2);59;True;12;0.6;900;0.08;300
137.7580103;13.6321842;29;14.40223;16.11642;29;14.40223;16.11642;True;1;1;0;24.49653;(16.5, 24.3);(3.5, 24.1);55;True;12;0.6;900;0.08;300
143.4521183;2.6946496;16;10.9826;10.29605;16;10.9826;10.29605;True;1;1;0;33.79191;(-7.3, 12.6);(-23.4, 9.9);85;False;13;0.6;900;0.08;300
158.1165442;11.6734891;32;9.272301;9.174746;22;14.52716;13.34167;False;0.9924168;-0.9999951;31.96543;17.03522;(-11.6, 15.7);(-4.4, 20.4);32;False;10;0.6;900;0.08;300
161.8043381;0.6953446;31;13.07353;11.76935;22;13.98516;12.47518;False;-0.9993725;-0.9879152;26.56559;25.64321;(-17.6, 29.8);(-16.6, 17.5);73;True;11;0.6;900;0.08;300
174.2263144;9.4310316;22;13.66826;12.79727;22;13.66826;12.79727;True;1;1;0;22.62108;(17.7, 30.9);(6.9, 34.8);56;True;13;0.6;900;0.08;300
