circular1Timestamp;circular1XPos;circular1YPos;circular1newCorr;circular1smoothCorr
16.4527396;;;0;0
16.5053792;;;0;0
16.5951174;;;0;0
16.6838528;;;0;0
16.7730899;;;0;0
16.8623261;;;0;0
16.9520645;;;0;0
17.0407999;;;0;0
17.1305383;;;0;0
17.2197749;;;0;0
17.3090116;;;0;0
17.3987497;;;0;0
17.4879866;;;0;0
17.5772235;;;0;0
17.6664599;;;0;0
17.7556968;;;0;0
17.825;-0.6272028;-1.433946;;
17.827;-0.6272028;-1.433946;;
17.845435;;;0;0
17.825;-0.6272028;-1.433946;;
17.827;-0.6272028;-1.433946;;
17.9346714;;;0;0
17.825;-0.6272028;-1.433946;;
17.827;-0.6272028;-1.433946;;
17.961;-0.5256546;-1.434042;;
17.982;-0.5085092;-1.433272;;
18.004;-0.4916106;-1.432281;;
18.0239083;;;-0.71339124736078;-0.0648537497600709
17.825;-0.6272028;-1.433946;;
17.827;-0.6272028;-1.433946;;
17.961;-0.5256546;-1.434042;;
17.982;-0.5085092;-1.433272;;
18.004;-0.4916106;-1.432281;;
18.05;-0.4576685;-1.429614;;
18.113145;;;-0.421774420310572;-0.103196878879214
17.961;-0.5256546;-1.434042;;
17.982;-0.5085092;-1.433272;;
18.004;-0.4916106;-1.432281;;
18.05;-0.4576685;-1.429614;;
18.16;-0.3730908;-1.418991;;
18.189;-0.3562939;-1.416204;;
18.2028831;;;0.131734389923936;-0.0912210252497651
17.961;-0.5256546;-1.434042;;
17.982;-0.5085092;-1.433272;;
18.004;-0.4916106;-1.432281;;
18.05;-0.4576685;-1.429614;;
18.16;-0.3730908;-1.418991;;
18.189;-0.3562939;-1.416204;;
18.29212;;;0.131734389923936;-0.0792451716203164
18.16;-0.3730908;-1.418991;;
18.189;-0.3562939;-1.416204;;
18.303;-0.2730958;-1.398944;;
18.319;-0.2567708;-1.394881;;
18.32;-0.2565679;-1.39483;;
18.34;-0.2402886;-1.390543;;
18.342;-0.240118;-1.390498;;
18.363;-0.2236591;-1.385927;;
18.364;-0.2235006;-1.385883;;
18.3818582;;;-0.000604018916971594;-0.0793000824309502
18.189;-0.3562939;-1.416204;;
18.303;-0.2730958;-1.398944;;
18.319;-0.2567708;-1.394881;;
18.32;-0.2565679;-1.39483;;
18.34;-0.2402886;-1.390543;;
18.342;-0.240118;-1.390498;;
18.363;-0.2236591;-1.385927;;
18.364;-0.2235006;-1.385883;;
18.459;-0.1589304;-1.365623;;
