timestamp;selectionTime;selectedObject;selectedObjectSizeDegX;selectedObjectSizeDegY;intendedObject;intendedObjectSizeDegX;intendedObjectSizeDegY;correct?;trajectoryResemblanceX;trajectoryResemblanceY;distanceToIntendedObjDeg;trajectoryDiameterDeg;trajectoryCenterDeg;currentPosDeg;degPerSec;trajectoryExceedsFOV;counterThreshold;correlationThreshold;correlationAverageWindow;correlationFrequency;correlationWindow
31.5681881;7.8739994;4;9.023037;12.28046;4;9.023037;12.28046;True;1;1;0;26.88726;(-5.6, -13.7);(8.1, -12.7);61;False;15;0.6;900;0.08;300
37.0066851;2.4485265;5;7.622838;9.582627;5;7.622838;9.582627;True;1;1;0;26.88725;(-5.6, -13.7);(6.2, -6.9);61;False;15;0.6;900;0.08;300
44.0238958;4.0257318;10;15.8611;14.05087;10;15.8611;14.05087;True;1;1;0;20.67901;(4.7, 15.0);(-5.3, 17.9);87;False;15;0.6;900;0.08;300
56.3307035;9.3183411;13;4.016702;5.951347;13;4.016702;5.951347;True;1;1;0;21.04868;(9.0, -12.8);(-1.5, -10.3);62;False;15;0.6;900;0.08;300
65.9137706;6.5920936;8;6.662624;8.271445;8;6.662624;8.271445;True;1;1;0;27.97208;(-14.5, 5.5);(-19.0, 19.0);80;False;15;0.6;900;0.08;300
74.0795391;5.1732896;20;13.98203;9.010213;20;13.98203;9.010213;True;1;1;0;30.18451;(3.5, -3.1);(14.8, 7.1);29;False;15;0.6;900;0.08;300
81.6321734;4.5616606;21;16.50961;13.35045;21;16.50961;13.35045;True;1;1;0;21.73765;(-13.1, 14.3);(-22.9, 17.9);63;False;15;0.6;900;0.08;300
87.1328462;2.5106926;11;19.08853;18.45952;11;19.08853;18.45952;True;1;1;0;20.67902;(4.7, 15.0);(4.3, 4.9);87;False;15;0.6;900;0.08;300
97.4598879;7.331054;18;20.7041;21.28401;12;5.294568;5.710342;False;0.9999897;0.997189;-0.720871;19.03166;(10.8, -16.9);(9.3, -7.6);60;False;14;0.6;900;0.08;300
103.3350654;2.8856927;7;12.00889;12.91195;12;5.35046;5.710309;False;0.9999945;0.9944024;15.56001;26.88725;(-5.6, -13.7);(-6.2, -0.2);61;False;14;0.6;900;0.08;300
107.728778;1.4037418;12;5.684383;6.423611;12;5.684383;6.423611;True;1;1;0;21.04868;(9.0, -12.8);(-1.8, -12.1);62;False;15;0.6;900;0.08;300
117.4647326;6.7499943;14;26.29881;20.22151;14;26.29881;20.22151;True;1;1;0;11.15852;(-1.5, 15.4);(-7.0, 15.4);89;False;14;0.6;900;0.08;300
133.4368182;12.9816137;27;9.778886;5.985271;27;9.778886;5.985271;True;1;1;0;22.38699;(16.8, -5.6);(15.7, 6.6);35;False;14;0.6;900;0.08;300
144.0496206;7.6203243;26;6.075843;4.115893;26;6.075843;4.115893;True;1;1;0;27.08532;(7.6, 15.9);(0.0, 4.5);54;False;14;0.6;900;0.08;300
147.9976456;0.9575525;28;14.24682;12.33804;29;11.52336;15.86269;False;0.9307005;-0.9999996;2.183765;29.52428;(3.6, 11.2);(18.0, 9.1);59;False;13;0.6;900;0.08;300
173.1141041;22.1204722;15;7.405695;6.439675;29;10.60268;15.13729;False;0.9999431;0.9081578;8.955462;14.11634;(-2.0, 11.5);(-2.6, 18.1);59;False;14;0.6;900;0.08;300
189.901363;13.7972876;23;14.19136;11.836;29;13.53043;16.53391;False;0.5626014;-0.9998371;19.15625;20.63982;(-6.9, 2.8);(3.6, 4.0);49;False;14;0.6;900;0.08;300
