circular34Timestamp;circular34XPos;circular34YPos;circular34newCorr;circular34smoothCorr
186.915;2.389331;0.8403928;;
186.938;3.381399;2.172218;;
186.961;3.422757;2.163744;;
186.9794825;;;-0.0992998450669477;-0.0992998450669477
186.915;2.389331;0.8403928;;
186.938;3.381399;2.172218;;
186.961;3.422757;2.163744;;
186.982;3.453055;2.139508;;
187.002;3.48463;2.112999;;
187.004;3.48502;2.112672;;
187.004;3.48502;2.112672;;
187.024;3.511981;2.08894;;
187.045;3.54144;2.061816;;
187.046;3.54144;2.061816;;
187.0672178;;;0.282663621335544;0.091681888134298
186.915;2.389331;0.8403928;;
186.938;3.381399;2.172218;;
186.961;3.422757;2.163744;;
186.982;3.453055;2.139508;;
187.002;3.48463;2.112999;;
187.004;3.48502;2.112672;;
187.004;3.48502;2.112672;;
187.024;3.511981;2.08894;;
187.045;3.54144;2.061816;;
187.046;3.54144;2.061816;;
187.068;3.570203;2.03403;;
187.069;3.569892;2.03433;;
187.09;3.597242;2.006652;;
187.091;3.597469;2.006423;;
187.091;3.59748;2.006411;;
187.111;3.611143;1.992087;;
187.112;3.611314;1.991908;;
187.113;3.624529;1.977721;;
187.113;3.624529;1.977721;;
187.114;3.624529;1.977721;;
187.133;3.637314;1.963674;;
187.134;3.637438;1.963538;;
187.134;3.637455;1.963519;;
187.1464278;;;0.347774880086831;0.177046218785142
186.938;3.381399;2.172218;;
186.961;3.422757;2.163744;;
186.982;3.453055;2.139508;;
187.002;3.48463;2.112999;;
187.004;3.48502;2.112672;;
187.004;3.48502;2.112672;;
187.024;3.511981;2.08894;;
187.045;3.54144;2.061816;;
187.046;3.54144;2.061816;;
187.068;3.570203;2.03403;;
187.069;3.569892;2.03433;;
187.09;3.597242;2.006652;;
187.091;3.597469;2.006423;;
187.091;3.59748;2.006411;;
187.111;3.611143;1.992087;;
187.112;3.611314;1.991908;;
187.113;3.624529;1.977721;;
187.113;3.624529;1.977721;;
187.114;3.624529;1.977721;;
187.133;3.637314;1.963674;;
187.134;3.637438;1.963538;;
187.134;3.637455;1.963519;;
187.154;3.663559;1.933805;;
187.155;3.663828;1.9335;;
187.156;3.663869;1.933453;;
187.157;3.66388;1.933441;;
187.176;3.689126;1.903285;;
187.177;3.689401;1.902957;;
187.178;3.689446;1.902903;;
187.2;3.71961;1.864872;;
187.201;3.719876;1.864537;;
187.201;3.719922;1.86448;;
187.222;3.737196;1.841631;;
187.2241347;;;-0.0178264004864863;0.128328063967235
187.002;3.48463;2.112999;;
187.004;3.48502;2.112672;;
187.004;3.48502;2.112672;;
187.024;3.511981;2.08894;;
187.045;3.54144;2.061816;;
187.046;3.54144;2.061816;;
187.068;3.570203;2.03403;;
187.069;3.569892;2.03433;;
187.09;3.597242;2.006652;;
187.091;3.597469;2.006423;;
