circular7Timestamp;circular7XPos;circular7YPos;circular7newCorr;circular7smoothCorr
14.8449037;;;0;0
14.8960393;;;0;0
14.919;1.184363;1.151765;;
14.985276;;;0;0
14.919;1.184363;1.151765;;
15.0745132;;;0;0
14.919;1.184363;1.151765;;
15.1637499;;;0;0
15.194;1.56104;0.8047935;;
15.214;1.587993;0.7730536;;
15.215;1.588331;0.7726551;;
15.215;1.588331;0.7726551;;
15.216;1.588331;0.7726551;;
15.235;1.614086;0.7410787;;
15.236;1.614364;0.740738;;
15.237;1.614407;0.7406853;;
15.2534881;;;-0.176123461064326;-0.0293539101773876
15.194;1.56104;0.8047935;;
15.214;1.587993;0.7730536;;
15.215;1.588331;0.7726551;;
15.215;1.588331;0.7726551;;
15.216;1.588331;0.7726551;;
15.235;1.614086;0.7410787;;
15.236;1.614364;0.740738;;
15.237;1.614407;0.7406853;;
15.256;1.63931;0.7089863;;
15.257;1.639559;0.7086688;;
15.285;1.664546;0.6756349;;
15.286;1.664719;0.6754066;;
15.298;1.688336;0.6429592;;
15.3;1.688758;0.6423789;;
15.319;1.700678;0.6255206;;
15.32;1.710884;0.6108015;;
15.3321971;;;-0.119011765400477;-0.0421621752092575
15.194;1.56104;0.8047935;;
15.214;1.587993;0.7730536;;
15.215;1.588331;0.7726551;;
15.215;1.588331;0.7726551;;
15.216;1.588331;0.7726551;;
15.235;1.614086;0.7410787;;
15.236;1.614364;0.740738;;
15.237;1.614407;0.7406853;;
15.256;1.63931;0.7089863;;
15.257;1.639559;0.7086688;;
15.285;1.664546;0.6756349;;
15.286;1.664719;0.6754066;;
15.298;1.688336;0.6429592;;
15.3;1.688758;0.6423789;;
15.319;1.700678;0.6255206;;
15.32;1.710884;0.6108015;;
15.34;1.723993;0.5915649;;
15.342;1.724139;0.5913505;;
15.364;1.746661;0.557214;;
15.384;1.768596;0.5226157;;
15.385;1.768819;0.5222646;;
15.405;1.789905;0.4876089;;
15.4099029;;;-0.264106225743555;-0.0699051815260447
15.194;1.56104;0.8047935;;
15.214;1.587993;0.7730536;;
15.215;1.588331;0.7726551;;
15.215;1.588331;0.7726551;;
15.216;1.588331;0.7726551;;
15.235;1.614086;0.7410787;;
15.236;1.614364;0.740738;;
15.237;1.614407;0.7406853;;
15.256;1.63931;0.7089863;;
15.257;1.639559;0.7086688;;
15.285;1.664546;0.6756349;;
15.286;1.664719;0.6754066;;
15.298;1.688336;0.6429592;;
15.3;1.688758;0.6423789;;
15.319;1.700678;0.6255206;;
15.32;1.710884;0.6108015;;
15.34;1.723993;0.5915649;;
15.342;1.724139;0.5913505;;
15.364;1.746661;0.557214;;
15.384;1.768596;0.5226157;;
15.385;1.768819;0.5222646;;
15.405;1.789905;0.4876089;;
15.425;1.810764;0.4518812;;
15.427;1.81099;0.4514946;;
15.447;1.830668;0.416311;;
15.448;1.830856;0.4159758;;
15.468;1.850016;0.3802073;;
15.469;1.850201;0.3798615;;
15.4881107;;;-0.399486665234425;-0.106525346382531
15.257;1.639559;0.7086688;;
15.285;1.664546;0.6756349;;
15.286;1.664719;0.6754066;;
15.298;1.688336;0.6429592;;
15.3;1.688758;0.6423789;;
15.319;1.700678;0.6255206;;
15.32;1.710884;0.6108015;;
15.34;1.723993;0.5915649;;
15.342;1.724139;0.5913505;;
15.364;1.746661;0.557214;;
15.384;1.768596;0.5226157;;
15.385;1.768819;0.5222646;;
15.405;1.789905;0.4876089;;
15.425;1.810764;0.4518812;;
15.427;1.81099;0.4514946;;
15.447;1.830668;0.416311;;
15.448;1.830856;0.4159758;;
15.468;1.850016;0.3802073;;
15.469;1.850201;0.3798615;;
15.489;1.868879;0.3434025;;
15.49;1.86889;0.3433806;;
15.51;1.878105;0.3247767;;
15.511;1.885246;0.3100151;;
15.532;1.896395;0.2864893;;
15.533;1.90306;0.2720286;;
15.555;1.921301;0.2311127;;
15.557;1.921479;0.2307122;;
15.5668201;;;-0.00293022201134135;-0.0961658339454124
15.342;1.724139;0.5913505;;
15.364;1.746661;0.557214;;
15.384;1.768596;0.5226157;;
15.385;1.768819;0.5222646;;
15.405;1.789905;0.4876089;;
15.425;1.810764;0.4518812;;
15.427;1.81099;0.4514946;;
15.447;1.830668;0.416311;;
15.448;1.830856;0.4159758;;
15.468;1.850016;0.3802073;;
15.469;1.850201;0.3798615;;
15.489;1.868879;0.3434025;;
15.49;1.86889;0.3433806;;
15.51;1.878105;0.3247767;;
15.511;1.885246;0.3100151;;
15.532;1.896395;0.2864893;;
15.533;1.90306;0.2720286;;
15.555;1.921301;0.2311127;;
15.557;1.921479;0.2307122;;
15.578;1.937225;0.1934552;;
15.598;1.945023;0.1742947;;
15.6;1.945107;0.1740876;;
15.601;1.95058;0.1602682;;
15.619;1.959901;0.1362286;;
15.62;1.960008;0.1359543;;
15.64;1.97412;0.09779372;;
15.6445263;;;-0.00445236385100267;-0.0878282457550115
15.425;1.810764;0.4518812;;
15.427;1.81099;0.4514946;;
15.447;1.830668;0.416311;;
15.448;1.830856;0.4159758;;
15.468;1.850016;0.3802073;;
15.469;1.850201;0.3798615;;
15.489;1.868879;0.3434025;;
15.49;1.86889;0.3433806;;
15.51;1.878105;0.3247767;;
15.511;1.885246;0.3100151;;
15.532;1.896395;0.2864893;;
15.533;1.90306;0.2720286;;
15.555;1.921301;0.2311127;;
15.557;1.921479;0.2307122;;
15.578;1.937225;0.1934552;;
15.598;1.945023;0.1742947;;
15.6;1.945107;0.1740876;;
15.601;1.95058;0.1602682;;
