lineargazeTimestamp;lineargazeXPos;lineargazeYPos;lineargazenewCorr;lineargazesmoothCorr
5.978;0.4218715;0.4072035
5.978;0.4218715;0.4072035;;
5.978;0.4218715;0.4072035;;
5.978;0.4218715;0.4072035;;
6.283;0.4220729;0.4008144
6.283;0.4220729;0.4008144;;
6.283;0.4220729;0.4008144;;
6.283;0.4220729;0.4008144;;
6.487;0.4208402;0.3996705
6.555;0.439609;0.3763842
6.283;0.4220729;0.4008144;;
6.487;0.4208402;0.3996705;;
6.555;0.439609;0.3763842;;
6.283;0.4220729;0.4008144;;
6.487;0.4208402;0.3996705;;
6.555;0.439609;0.3763842;;
6.691;0.4636288;0.3651696
6.728;0.4626992;0.3701355
6.487;0.4208402;0.3996705;;
6.555;0.439609;0.3763842;;
6.691;0.4636288;0.3651696;;
6.728;0.4626992;0.3701355;;
6.487;0.4208402;0.3996705;;
6.555;0.439609;0.3763842;;
6.691;0.4636288;0.3651696;;
6.728;0.4626992;0.3701355;;
6.864;0.4629606;0.3713431
6.691;0.4636288;0.3651696;;
6.728;0.4626992;0.3701355;;
6.864;0.4629606;0.3713431;;
6.691;0.4636288;0.3651696;;
6.728;0.4626992;0.3701355;;
6.864;0.4629606;0.3713431;;
6.691;0.4636288;0.3651696;;
6.728;0.4626992;0.3701355;;
6.864;0.4629606;0.3713431;;
7.1;0.4651622;0.3770642
7.104;0.4363759;0.3795615
6.864;0.4629606;0.3713431;;
7.1;0.4651622;0.3770642;;
7.104;0.4363759;0.3795615;;
6.864;0.4629606;0.3713431;;
7.1;0.4651622;0.3770642;;
7.104;0.4363759;0.3795615;;
6.864;0.4629606;0.3713431;;
7.1;0.4651622;0.3770642;;
7.104;0.4363759;0.3795615;;
6.864;0.4629606;0.3713431;;
7.1;0.4651622;0.3770642;;
7.104;0.4363759;0.3795615;;
7.541;0.4364183;0.3819111
7.541;0.4364183;0.3819111;;
7.541;0.4364183;0.3819111;;
7.541;0.4364183;0.3819111;;
7.541;0.4364183;0.3819111;;
7.541;0.4364183;0.3819111;;
7.916;0.4667182;0.3918383
7.916;0.4667182;0.3918383;;
7.916;0.4667182;0.3918383;;
8.154;0.4356279;0.3814911
8.154;0.4307133;0.355424
7.916;0.4667182;0.3918383;;
8.154;0.4356279;0.3814911;;
8.154;0.4307133;0.355424;;
7.916;0.4667182;0.3918383;;
8.154;0.4356279;0.3814911;;
8.154;0.4307133;0.355424;;
8.257;0.4309861;0.3497212
8.291;0.4007145;0.3405449
8.154;0.4356279;0.3814911;;
8.154;0.4307133;0.355424;;
8.257;0.4309861;0.3497212;;
8.291;0.4007145;0.3405449;;
8.399;0.401051;0.3388169
8.154;0.4356279;0.3814911;;
8.154;0.4307133;0.355424;;
8.257;0.4309861;0.3497212;;
8.291;0.4007145;0.3405449;;
8.399;0.401051;0.3388169;;
8.46;0.4017439;0.3411497
8.257;0.4309861;0.3497212;;
8.291;0.4007145;0.3405449;;
8.399;0.401051;0.3388169;;
8.46;0.4017439;0.3411497;;
8.529;0.401053;0.3460638
8.257;0.4309861;0.3497212;;
8.291;0.4007145;0.3405449;;
8.399;0.401051;0.3388169;;
8.46;0.4017439;0.3411497;;
8.529;0.401053;0.3460638;;
8.257;0.4309861;0.3497212;;
8.291;0.4007145;0.3405449;;
8.399;0.401051;0.3388169;;
8.46;0.4017439;0.3411497;;
8.529;0.401053;0.3460638;;
8.733;0.4008333;0.3445159
8.733;0.4035442;0.3470024
8.46;0.4017439;0.3411497;;
8.529;0.401053;0.3460638;;
8.733;0.4008333;0.3445159;;
8.733;0.4035442;0.3470024;;
8.46;0.4017439;0.3411497;;
8.529;0.401053;0.3460638;;
8.733;0.4008333;0.3445159;;
8.733;0.4035442;0.3470024;;
8.905;0.4051837;0.3516895
8.94;0.4189378;0.3829444
8.733;0.4008333;0.3445159;;
8.733;0.4035442;0.3470024;;
8.905;0.4051837;0.3516895;;
8.94;0.4189378;0.3829444;;
9.007;0.4503522;0.3913616
8.733;0.4008333;0.3445159;;
8.733;0.4035442;0.3470024;;
8.905;0.4051837;0.3516895;;
8.94;0.4189378;0.3829444;;
9.007;0.4503522;0.3913616;;
8.733;0.4008333;0.3445159;;
8.733;0.4035442;0.3470024;;
8.905;0.4051837;0.3516895;;
