Timestamp;SelectionTime;IntendedDigit;EnteredDigit;correct;counterThreshold
14.4568237;10.07971;1;-1;False;20
18.7852219;3.8396009;1;1;True;20
24.170707;4.8911731;4;6;False;20
26.9054155;2.2420527;6;6;True;20
42.419076;8.1025085;7;7;True;20
48.2087406;5.2938489;6;6;True;20
53.1346988;4.444681;1;6;False;20
57.6777264;4.0507209;7;7;True;20
67.3648401;4.0300964;1;1;True;20
71.4968553;3.6392081;2;2;True;20
75.4502278;3.4600498;5;5;True;20
79.8082912;3.8637517;2;2;True;20
106.9158089;9.9161444;5;5;True;20
112.7359054;5.3257848;1;1;True;20
115.2677012;2.0379856;9;3;False;20
120.6221318;4.857111;4;4;True;20
135.1330328;7.246726;1;6;False;20
138.2499073;2.624552;2;1;False;20
147.6518664;8.910154;7;1;False;20
158.2412798;10.0945989;7;-1;False;20
178.0750684;10.1331379;8;-1;False;20
188.6803296;10.1179647;8;-1;False;20
199.2820434;10.1084017;6;-1;False;20
206.8226012;7.0482483;0;9;False;20
231.7745665;6.6537056;9;4;False;20
240.3765618;8.1090857;4;4;True;20
246.9335274;6.0646563;0;0;True;20
257.5563078;10.1309724;7;-1;False;20
272.9693158;6.6536222;5;5;True;20
278.9434693;5.4808409;1;1;True;20
284.2959578;4.8576722;6;6;True;20
294.8629534;10.0736833;9;-1;False;20
