Timestamp;SelectionTime;IntendedDigit;EnteredDigit;correct;counterThreshold
106.33617;7.8648834;5;5;True;20
110.5022192;3.6727404;5;5;True;20
118.0740141;7.0779853;7;7;True;20
124.2634553;5.6941265;4;4;True;20
135.5518136;4.0912712;5;5;True;20
139.2847215;3.2466181;6;5;False;20
143.038176;3.2581406;1;1;True;20
148.4008981;4.867408;6;6;True;20
159.2376575;3.6607196;1;1;True;20
164.1948159;4.4648522;0;0;True;20
168.7493945;4.0607683;7;7;True;20
179.3064893;10.0597756;1;-1;False;20
207.8576179;3.6476816;8;8;True;20
213.8224567;5.470528;9;9;True;20
217.754384;3.4371145;9;8;False;20
222.7150578;4.4663625;4;4;True;20
233.4044244;1.6383632;9;3;False;20
238.5785071;4.6804122;4;4;True;20
242.116901;3.0591215;1;1;True;20
244.640717;2.0420379;6;9;False;20
260.7599078;5.6710396;1;1;True;20
265.9094393;4.6567244;8;8;True;20
270.2665096;3.864765;2;2;True;20
275.0112062;4.2528921;3;3;True;20
292.2811186;4.6653729;5;6;False;20
297.4523974;4.6784069;7;7;True;20
302.0104937;4.0647801;0;9;False;20
306.9448641;4.4420647;4;4;True;20
320.6079513;4.4867254;9;8;False;20
324.3378702;3.2366099;9;9;True;20
327.8993325;3.0671509;1;1;True;20
332.4365164;4.0528992;4;4;True;20
346.097764;5.268983;9;6;False;20
349.8191448;3.2285736;8;1;False;20
356.5961253;6.2856778;2;8;False;20
367.1742139;10.0842783;2;-1;False;20
377.7332388;5.4945742;1;1;True;20
380.6455102;2.4329998;1;1;True;20
385.7946827;4.6558637;3;3;True;20
390.5427957;4.2548045;1;1;True;20
