Timestamp;SelectionTime;intendedObj;selectedObj;correct?;smoothCorrel;speed;objWidthInDeg;objHeightInDeg;radiusInDeg;distanceToIntendedDeg;correlationToIntendedObjectX;correlationToIntendedObjectY;counterThreshold;corrThreshold;w;corrAverageWindow;corrFrequency
12.262919;3.6231122;3;3;True;0.9773591;30;8.537745;7.062769;17.59197;0;1;1;20;0.5;300;900;0.08
17.3800035;8.7401967;8;8;True;0.9799556;45;8.618873;7.0904;17.51529;0;1;1;20;0.5;300;900;0.08
20.9329562;12.2931494;8;8;True;0.8673753;45;9.546541;7.795005;17.5153;0;1;1;20;0.5;300;900;0.08
24.084299;15.4444922;0;0;True;0.9242737;45;8.677733;7.540735;17.5153;0;1;1;20;0.5;300;900;0.08
36.0452615;5.9286917;3;3;True;0.9357601;30;8.570255;7.014363;17.59197;0;1;1;20;0.5;300;900;0.08
40.5936091;10.4770393;0;0;True;0.7706203;45;8.942507;7.936862;17.51529;0;1;1;19;0.5;300;900;0.08
47.6057579;17.4891881;9;9;True;0.856838;45;8.8207;7.298645;17.51529;0;1;1;19;0.5;300;900;0.08
52.2848645;22.1682947;5;5;True;0.9835144;30;8.535202;7.067488;17.59196;0;1;1;19;0.5;300;900;0.08
61.3348261;3.3153005;8;8;True;0.7265427;45;9.572926;7.442862;17.51529;0;1;1;18;0.5;300;900;0.08
67.6771936;9.657668;2;8;False;0.9781964;45;9.16259;8.102475;17.51529;25.29197;0.9998618;-0.9762343;18;0.5;300;900;0.08
75.6430207;17.6234951;5;5;True;0.7748296;30;8.662317;7.127106;17.59196;0;1;1;18;0.5;300;900;0.08
80.1991459;22.1796203;7;7;True;0.7710002;45;9.562195;7.226018;17.51529;0;1;1;18;0.5;300;900;0.08
97.4579337;3.5226055;3;3;True;0.8312665;30;8.608062;7.311785;17.59197;0;1;1;19;0.5;300;900;0.08
102.2488226;8.3134944;5;5;True;0.9760162;30;8.848986;7.796337;17.59197;0;1;1;19;0.5;300;900;0.08
105.8118026;11.8764744;5;5;True;0.9684815;30;9.639969;7.344848;17.59196;0;1;1;19;0.5;300;900;0.08
110.506352;16.5710238;8;8;True;0.6381663;45;9.576815;7.031129;17.5153;0;1;1;19;0.5;300;900;0.08
125.4938759;6.4976905;3;3;True;0.9230988;30;9.630561;7.558163;17.59197;0;1;1;19;0.5;300;900;0.08
130.1472538;11.1510684;9;6;False;0.9703934;45;9.476801;7.417441;17.51529;6.957351;-1;-1;19;0.5;300;900;0.08
134.843754;15.8475686;2;2;True;0.9764552;30;9.58524;7.896646;17.59197;0;1;1;19;0.5;300;900;0.08
142.0159235;23.0197381;1;1;True;0.5233136;30;8.766932;7.672749;17.59197;0;1;1;19;0.5;300;900;0.08
174.6527096;4.2859315;8;8;True;0.7400898;45;9.572769;7.119035;17.51529;0;1;1;19;0.5;300;900;0.08
182.7743201;12.407542;1;1;True;0.5485836;30;9.646692;7.118675;17.59197;0;1;1;19;0.5;300;900;0.08
188.1455261;17.778748;7;7;True;0.6817933;45;8.706614;7.600491;17.51529;0;1;1;19;0.5;300;900;0.08
192.8936636;22.5268855;2;2;True;0.78061;30;9.091084;8.03937;17.59197;0;1;1;19;0.5;300;900;0.08
204.0751864;4.2307683;2;2;True;0.9166162;30;8.78738;7.706207;17.59197;0;1;1;18;0.5;300;900;0.08
207.4366303;7.5922122;4;5;False;0.6794523;30;8.722846;7.197386;17.59197;1.068753;-0.9958504;0.9996337;18;0.5;300;900;0.08
212.7241923;12.8797742;1;1;True;0.9786825;30;8.514959;7.150295;17.59197;0;1;1;18;0.5;300;900;0.08
220.8212268;20.9768087;6;6;True;0.7065754;45;8.508695;7.178269;17.51529;0;1;1;18;0.5;300;900;0.08
242.0324219;4.0888741;1;1;True;0.9725414;30;9.643522;7.224576;17.59196;0;1;1;19;0.5;300;900;0.08
248.1664116;10.2228638;9;9;True;0.9903527;45;8.579145;7.019812;17.51529;0;1;1;19;0.5;300;900;0.08
252.6112322;14.6676844;3;3;True;0.9452354;30;8.514752;7.130643;17.59197;0;1;1;19;0.5;300;900;0.08
255.1795626;17.2360148;7;7;True;0.882903;45;9.580442;7.175286;17.5153;0;1;1;19;0.5;300;900;0.08
266.0603188;4.1789307;1;1;True;0.781092;30;9.643829;7.222059;17.59196;0;1;1;19;0.5;300;900;0.08
269.5761689;7.6947808;7;7;True;0.9236082;45;9.402543;8.116078;17.51529;0;1;1;19;0.5;300;900;0.08
275.8110067;13.9296186;2;2;True;0.5346915;30;8.700964;7.549158;17.59197;0;1;1;19;0.5;300;900;0.08
281.0910528;19.2096647;6;6;True;0.6461421;45;9.578192;7.005968;17.5153;0;1;1;19;0.5;300;900;0.08
291.7726415;3.5910495;8;8;True;0.9628088;45;9.207051;8.121201;17.5153;0;1;1;19;0.5;300;900;0.08
297.0978034;8.9162114;5;5;True;0.9834596;30;9.60814;7.781426;17.59196;0;1;1;19;0.5;300;900;0.08
305.1757865;16.9941945;9;9;True;0.8258876;45;8.585681;7.292932;17.51529;0;1;1;19;0.5;300;900;0.08
310.7511137;22.5695217;5;5;True;0.6127245;30;9.646727;7.123566;17.59196;0;1;1;19;0.5;300;900;0.08
