Timestamp;SelectionTime;intendedObj;selectedObj;correct?;smoothCorrel;speed;objWidthInDeg;objHeightInDeg;radiusInDeg;distanceToIntendedDeg;correlationToIntendedObjectX;correlationToIntendedObjectY;counterThreshold;corrThreshold;w;corrAverageWindow;corrFrequency
25.9246446;3.6509799;9;9;True;0.9911102;45;9.178791;7.399962;16.91083;0;1;1;20;0.5;300;900;0.08
30.2135225;7.9398578;9;9;True;0.8145629;45;8.288651;7.352934;16.91084;0;1;1;20;0.5;300;900;0.08
34.7520621;12.4783974;3;3;True;0.9778129;30;9.560672;7.808491;17.64194;0;1;1;20;0.5;300;900;0.08
38.8449284;16.5712637;1;1;True;0.9841897;30;9.746945;7.854815;17.64194;0;1;1;20;0.5;300;900;0.08
49.7842149;4.7912104;3;3;True;0.8848768;30;8.465477;7.299533;17.64194;0;1;1;18;0.5;300;900;0.08
52.0086156;7.0156111;4;3;False;0.6341615;30;8.845617;7.96557;17.64194;3.339764;-0.99472;0.9996588;18;0.5;300;900;0.08
56.6323817;11.6393772;4;4;True;0.904768;30;9.721149;7.946433;17.64194;0;1;1;18;0.5;300;900;0.08
58.9655713;13.9725668;3;3;True;0.8714025;30;9.497666;7.826961;17.64194;0;1;1;18;0.5;300;900;0.08
84.0752385;3.7293935;5;5;True;0.7160028;30;9.811602;7.384317;17.64194;0;1;1;18;0.5;300;900;0.08
88.3139829;7.9681379;1;1;True;0.8571689;30;9.812715;7.364456;17.64194;0;1;1;18;0.5;300;900;0.08
94.6301855;14.2843405;0;0;True;0.8679167;45;8.850401;8.181393;16.91083;0;1;1;17;0.5;300;900;0.08
98.2919091;17.9460641;3;3;True;0.696148;30;8.422389;7.365878;17.64194;0;1;1;17;0.5;300;900;0.08
108.0680491;3.3493843;2;2;True;0.5972713;30;8.430918;7.340271;17.64194;0;1;1;16;0.5;300;900;0.08
112.032566;7.3139012;5;5;True;0.8225869;30;9.089993;7.785649;17.64194;0;1;1;16;0.5;300;900;0.08
114.9001737;10.1815089;3;3;True;0.9174893;30;9.754057;7.822464;17.64194;0;1;1;16;0.5;300;900;0.08
118.9589407;14.2402759;6;3;False;0.8287684;30;9.499825;7.826501;17.64194;35.68581;-0.9973376;0.9976603;16;0.5;300;900;0.08
130.0719294;1.3611108;6;3;False;0.6379942;30;9.702626;7.690528;17.64194;23.53606;-0.9953369;-0.9993848;17;0.5;300;900;0.08
146.1305619;17.4197433;0;0;True;0.559446;45;9.152842;7.683582;16.91084;0;1;1;17;0.5;300;900;0.08
149.3515792;20.6407606;6;6;True;0.8005833;45;9.168879;7.833649;16.91084;0;1;1;17;0.5;300;900;0.08
