lineargazeTimestamp;lineargazeXPos;lineargazeYPos;lineargazenewCorr;lineargazesmoothCorr
339.929;0.3795463;0.8119091
339.931;0.3796827;0.8113095
339.933;0.3803093;0.8103037
339.934;0.3805277;0.8096243
339.962;0.3815393;0.8071486
339.963;0.3829415;0.8034167
339.964;0.3830699;0.8024657
339.967;0.3845665;0.7983323
339.967;0.3847186;0.7972665
339.969;0.384895;0.7961732
339.969;0.3865443;0.7914078
339.97;0.3865822;0.7903353
339.929;0.3795463;0.8119091;;
339.931;0.3796827;0.8113095;;
339.933;0.3803093;0.8103037;;
339.934;0.3805277;0.8096243;;
339.962;0.3815393;0.8071486;;
339.963;0.3829415;0.8034167;;
339.964;0.3830699;0.8024657;;
339.967;0.3845665;0.7983323;;
339.967;0.3847186;0.7972665;;
339.969;0.384895;0.7961732;;
339.969;0.3865443;0.7914078;;
339.97;0.3865822;0.7903353;;
339.997;0.3880571;0.7859892
339.997;0.3881158;0.7852954
339.999;0.3893632;0.7814886
339.929;0.3795463;0.8119091;;
339.931;0.3796827;0.8113095;;
339.933;0.3803093;0.8103037;;
339.934;0.3805277;0.8096243;;
339.962;0.3815393;0.8071486;;
339.963;0.3829415;0.8034167;;
339.964;0.3830699;0.8024657;;
339.967;0.3845665;0.7983323;;
339.967;0.3847186;0.7972665;;
339.969;0.384895;0.7961732;;
339.969;0.3865443;0.7914078;;
339.97;0.3865822;0.7903353;;
339.997;0.3880571;0.7859892;;
339.997;0.3881158;0.7852954;;
339.999;0.3893632;0.7814886;;
340.002;0.3903005;0.7781131
340.028;0.3912403;0.7752256
340.031;0.3912128;0.7748307
340.033;0.3917904;0.7741258
340.036;0.3920417;0.7740217
340.037;0.3932089;0.774226
340.038;0.3936563;0.7805625
340.038;0.3955439;0.7811646
339.929;0.3795463;0.8119091;;
339.931;0.3796827;0.8113095;;
339.933;0.3803093;0.8103037;;
339.934;0.3805277;0.8096243;;
339.962;0.3815393;0.8071486;;
339.963;0.3829415;0.8034167;;
339.964;0.3830699;0.8024657;;
339.967;0.3845665;0.7983323;;
339.967;0.3847186;0.7972665;;
339.969;0.384895;0.7961732;;
339.969;0.3865443;0.7914078;;
339.97;0.3865822;0.7903353;;
339.997;0.3880571;0.7859892;;
339.997;0.3881158;0.7852954;;
339.999;0.3893632;0.7814886;;
340;0.3894217;0.781024;;
340.002;0.3903005;0.7781131;;
340.028;0.3912403;0.7752256;;
340.031;0.3912128;0.7748307;;
340.033;0.3917904;0.7741258;;
340.036;0.3920417;0.7740217;;
340.037;0.3932089;0.774226;;
340.038;0.3936563;0.7805625;;
340.038;0.3955439;0.7811646;;
340.064;0.3950388;0.7898227
340.065;0.3971404;0.7910616
340.067;0.3963386;0.8006593
340.069;0.395548;0.8090675
340.07;0.3973577;0.8103333
340.071;0.3983459;0.8115965
339.929;0.3795463;0.8119091;;
339.931;0.3796827;0.8113095;;
339.933;0.3803093;0.8103037;;
339.934;0.3805277;0.8096243;;
339.962;0.3815393;0.8071486;;
339.963;0.3829415;0.8034167;;
339.964;0.3830699;0.8024657;;
339.967;0.3845665;0.7983323;;
339.967;0.3847186;0.7972665;;
339.969;0.384895;0.7961732;;
339.969;0.3865443;0.7914078;;
339.97;0.3865822;0.7903353;;
339.997;0.3880571;0.7859892;;
339.997;0.3881158;0.7852954;;
339.999;0.3893632;0.7814886;;
340;0.3894217;0.781024;;
340.002;0.3903005;0.7781131;;
340.028;0.3912403;0.7752256;;
340.031;0.3912128;0.7748307;;
340.033;0.3917904;0.7741258;;
340.036;0.3920417;0.7740217;;
340.037;0.3932089;0.774226;;
340.038;0.3936563;0.7805625;;
340.038;0.3955439;0.7811646;;
340.064;0.3950388;0.7898227;;
340.065;0.3971404;0.7910616;;
340.067;0.3963386;0.8006593;;
340.069;0.395548;0.8090675;;
340.07;0.3973577;0.8103333;;
340.071;0.3983459;0.8115965;;
340.108;0.3964736;0.8154331
340.109;0.3969224;0.8166139
340.11;0.3954588;0.8189102
340.11;0.3954363;0.8194999
340.111;0.3934095;0.8225282
340.112;0.3933164;0.8230624
340.133;0.3912206;0.8262118
340.135;0.38983;0.8280588
340.137;0.3897447;0.8286145
340.138;0.3894859;0.8289522
340.139;0.3886457;0.8300742
340.14;0.3886214;0.8305176
339.929;0.3795463;0.8119091;;
339.931;0.3796827;0.8113095;;
339.933;0.3803093;0.8103037;;
339.934;0.3805277;0.8096243;;
339.962;0.3815393;0.8071486;;
339.963;0.3829415;0.8034167;;
339.964;0.3830699;0.8024657;;
339.967;0.3845665;0.7983323;;
339.967;0.3847186;0.7972665;;
339.969;0.384895;0.7961732;;
339.969;0.3865443;0.7914078;;
339.97;0.3865822;0.7903353;;
339.997;0.3880571;0.7859892;;
339.997;0.3881158;0.7852954;;
339.999;0.3893632;0.7814886;;
340;0.3894217;0.781024;;
340.002;0.3903005;0.7781131;;
340.028;0.3912403;0.7752256;;
340.031;0.3912128;0.7748307;;
340.033;0.3917904;0.7741258;;
340.036;0.3920417;0.7740217;;
340.037;0.3932089;0.774226;;
340.038;0.3936563;0.7805625;;
340.038;0.3955439;0.7811646;;
340.064;0.3950388;0.7898227;;
340.065;0.3971404;0.7910616;;
340.067;0.3963386;0.8006593;;
340.069;0.395548;0.8090675;;
340.07;0.3973577;0.8103333;;
340.071;0.3983459;0.8115965;;
340.108;0.3964736;0.8154331;;
340.109;0.3969224;0.8166139;;
340.11;0.3954588;0.8189102;;
340.11;0.3954363;0.8194999;;
340.111;0.3934095;0.8225282;;
340.112;0.3933164;0.8230624;;
340.133;0.3912206;0.8262118;;
340.135;0.38983;0.8280588;;
340.137;0.3897447;0.8286145;;
340.138;0.3894859;0.8289522;;
340.139;0.3886457;0.8300742;;
340.14;0.3886214;0.8305176;;
339.929;0.3795463;0.8119091;;
339.931;0.3796827;0.8113095;;
339.933;0.3803093;0.8103037;;
339.934;0.3805277;0.8096243;;
339.962;0.3815393;0.8071486;;
339.963;0.3829415;0.8034167;;
339.964;0.3830699;0.8024657;;
339.967;0.3845665;0.7983323;;
339.967;0.3847186;0.7972665;;
339.969;0.384895;0.7961732;;
339.969;0.3865443;0.7914078;;
339.97;0.3865822;0.7903353;;
339.997;0.3880571;0.7859892;;
339.997;0.3881158;0.7852954;;
339.999;0.3893632;0.7814886;;
340;0.3894217;0.781024;;
340.002;0.3903005;0.7781131;;
340.028;0.3912403;0.7752256;;
340.031;0.3912128;0.7748307;;
340.033;0.3917904;0.7741258;;
340.036;0.3920417;0.7740217;;
340.037;0.3932089;0.774226;;
340.038;0.3936563;0.7805625;;
340.038;0.3955439;0.7811646;;
340.064;0.3950388;0.7898227;;
340.065;0.3971404;0.7910616;;
340.067;0.3963386;0.8006593;;
340.069;0.395548;0.8090675;;
340.07;0.3973577;0.8103333;;
340.071;0.3983459;0.8115965;;
340.108;0.3964736;0.8154331;;
340.109;0.3969224;0.8166139;;
340.11;0.3954588;0.8189102;;
340.11;0.3954363;0.8194999;;
340.111;0.3934095;0.8225282;;
340.112;0.3933164;0.8230624;;
340.133;0.3912206;0.8262118;;
340.135;0.38983;0.8280588;;
340.137;0.3897447;0.8286145;;
340.138;0.3894859;0.8289522;;
340.139;0.3886457;0.8300742;;
340.14;0.3886214;0.8305176;;
340.168;0.3881309;0.8313458
340.17;0.3883517;0.8318596
340.172;0.3884246;0.8322152
340.174;0.3878445;0.8332634
340.175;0.387361;0.8341645
340.202;0.3873749;0.8342757
340.202;0.3876463;0.8345761
340.205;0.3874209;0.8347995
340.206;0.3875473;0.8348642
340.207;0.3874091;0.8347712
340.209;0.3878015;0.8350273
339.929;0.3795463;0.8119091;;
339.931;0.3796827;0.8113095;;
339.933;0.3803093;0.8103037;;
339.934;0.3805277;0.8096243;;
339.962;0.3815393;0.8071486;;
339.963;0.3829415;0.8034167;;
339.964;0.3830699;0.8024657;;
339.967;0.3845665;0.7983323;;
