circular1Timestamp;circular1XPos;circular1YPos;circular1newCorr;circular1smoothCorr
10.7877133;;;0;0
10.7947352;;;0;0
10.808;-0.5;0;;
10.8086793;;;0;0
10.808;-0.5;0;;
10.81;-0.5006098;-0.0328507;;
10.8177072;;;-1;-0.25
10.808;-0.5;0;;
10.81;-0.5006098;-0.0328507;;
10.841;-0.5010623;-0.04605179;;
10.842;-0.5010653;-0.04613882;;
10.844;-0.5010659;-0.04615714;;
10.845;-0.5010659;-0.04615919;;
10.875;-0.5014337;-0.05352489;;
10.878;-0.502098;-0.06466057;;
10.8992369;;;-0.900421637945496;-0.380084327589099
10.808;-0.5;0;;
10.81;-0.5006098;-0.0328507;;
10.841;-0.5010623;-0.04605179;;
10.842;-0.5010653;-0.04613882;;
10.844;-0.5010659;-0.04615714;;
10.845;-0.5010659;-0.04615919;;
10.875;-0.5014337;-0.05352489;;
10.878;-0.502098;-0.06466057;;
10.8997379;;;-0.900421637945496;-0.466807212648499
10.808;-0.5;0;;
10.81;-0.5006098;-0.0328507;;
10.841;-0.5010623;-0.04605179;;
10.842;-0.5010653;-0.04613882;;
10.844;-0.5010659;-0.04615714;;
10.845;-0.5010659;-0.04615919;;
10.875;-0.5014337;-0.05352489;;
10.878;-0.502098;-0.06466057;;
10.908;-0.5029653;-0.07694421;;
10.91;-0.5029716;-0.07703382;;
10.911;-0.5029722;-0.07704288;;
10.913;-0.5029724;-0.07704494;;
10.943;-0.5054311;-0.1040505;;
10.944;-0.505448;-0.1042364;;
10.946;-0.505451;-0.1042695;;
10.976;-0.5074264;-0.121635;;
10.979;-0.5074419;-0.1217707;;
10.9851885;;;-0.927953710578993;-0.532685283781427
10.808;-0.5;0;;
10.81;-0.5006098;-0.0328507;;
10.841;-0.5010623;-0.04605179;;
10.842;-0.5010653;-0.04613882;;
10.844;-0.5010659;-0.04615714;;
10.845;-0.5010659;-0.04615919;;
10.875;-0.5014337;-0.05352489;;
10.878;-0.502098;-0.06466057;;
10.908;-0.5029653;-0.07694421;;
10.91;-0.5029716;-0.07703382;;
10.911;-0.5029722;-0.07704288;;
10.913;-0.5029724;-0.07704494;;
10.943;-0.5054311;-0.1040505;;
10.944;-0.505448;-0.1042364;;
10.946;-0.505451;-0.1042695;;
10.976;-0.5074264;-0.121635;;
10.979;-0.5074419;-0.1217707;;
10.9866926;;;-0.927953710578993;-0.582093837131122
10.808;-0.5;0;;
10.81;-0.5006098;-0.0328507;;
10.841;-0.5010623;-0.04605179;;
10.842;-0.5010653;-0.04613882;;
10.844;-0.5010659;-0.04615714;;
10.845;-0.5010659;-0.04615919;;
10.875;-0.5014337;-0.05352489;;
10.878;-0.502098;-0.06466057;;
10.908;-0.5029653;-0.07694421;;
10.91;-0.5029716;-0.07703382;;
10.911;-0.5029722;-0.07704288;;
10.913;-0.5029724;-0.07704494;;
10.943;-0.5054311;-0.1040505;;
10.944;-0.505448;-0.1042364;;
