Timestamp;Name;smoothCorrel;speed;task;selected;correlationToIntendedObject;objectSize
13.8558584;0.0045122;0;;0;30;;(12.6, 4.1);23.49318
13.8588661;0.0075199;0;;0;30;;(12.6, 4.1);23.49318
13.8588661;0.0075199;0;;0;30;;(12.6, 4.1);23.49318
13.8588661;0.0075199;0;;0;30;;(12.6, 4.1);23.49318
13.8588661;0.0075199;0;;0;30;;(12.6, 4.1);23.49318
13.8588661;0.0075199;0;;0;45;;(4.4, 4.1);8.469223
13.8588661;0.0075199;0;;0;45;;(4.4, 4.1);8.469223
13.8588661;0.0075199;0;;0;45;;(4.4, 4.1);8.469223
13.8588661;0.0075199;0;;0;45;;(4.4, 4.1);8.469223
13.8593676;0.0080214;0;;0;45;;(4.4, 4.1);8.469223
13.9280504;0.0767042;7;;0.4028923;30;;(7.5, 4.1);23.49318
13.9280504;0.0767042;7;;0.007566493;30;;(9.5, 3.4);23.49318
13.9280504;0.0767042;7;;-0.4160105;30;;(15.7, 3.4);23.49318
13.9280504;0.0767042;7;;-0.4029451;30;;(19.9, 4.0);23.49318
13.9280504;0.0767042;7;;-0.007565772;30;;(16.2, 5.9);23.49318
13.9285522;0.077206;7;;-0.02085815;45;;(3.8, 4.0);8.469227
13.9285522;0.077206;7;;-0.008561322;45;;(4.1, 3.4);8.469227
13.9285522;0.077206;7;;0.4155661;45;;(4.8, 3.4);8.469227
13.9285522;0.077206;7;;0.02085973;45;;(5.2, 4.1);8.469227
13.9285522;0.077206;7;;0.008561322;45;;(4.7, 6.1);8.469227
14.0182907;0.1669445;7;;0.5353073;30;;(7.5, 4.2);23.49318
14.0182907;0.1669445;7;;0.002688348;30;;(9.3, 3.4);23.49318
14.0182907;0.1669445;7;;-0.5468098;30;;(15.4, 3.4);23.49318
14.0182907;0.1669445;7;;-0.5353454;30;;(19.9, 4.0);23.49318
14.0182907;0.1669445;7;;-0.002687721;30;;(16.5, 5.8);23.49318
14.0187919;0.1674457;7;;-0.01424644;45;;(3.8, 3.9);8.469227
14.0187919;0.1674457;7;;-0.004323674;45;;(4.1, 3.4);8.469227
14.0187919;0.1674457;7;;0.5454865;45;;(4.8, 3.4);8.469227
14.0187919;0.1674457;7;;0.01424901;45;;(5.2, 4.2);8.469227
14.0187919;0.1674457;7;;0.00432371;45;;(4.7, 6.2);8.469227
14.0980022;0.246656;7;;0.569934;30;;(7.5, 4.2);23.49317
14.0980022;0.246656;7;;0.004249783;30;;(9.2, 3.4);23.49317
14.0980022;0.246656;7;;-0.5889567;30;;(15.1, 3.4);23.49317
14.0985037;0.2471575;7;;-0.569964;30;;(19.9, 3.9);23.49317
14.0985037;0.2471575;7;;-0.004249224;30;;(16.7, 5.8);23.49317
