CubeTimestamp;CubeXPos
775;-4.400001
778;-4.400001
806;-3.800001
808;-3.800001
812;-3.800001
840;-3.200001
843;-3.200001
874;-2.600001
876;-2.600001
879;-2.600001
908;-2
911;-2
942;-1.4
944;-1.4
947;-1.4
950;-1.2
976;-0.8000003
979;-0.8000003
982;-0.6000003
10;-0.2000003
13;-0.2000003
44;0.3999997
46;0.3999997
50;0.5999997
77;0.9999997
80;0.9999997
84;1.2
111;1.6
114;1.6
117;1.8
145;2.2
148;2.2
152;2.4
179;2.8
190;3
193;3
213;3.4
216;3.4
220;3.6
247;4
251;4.2
254;4.2
282;4.599999
285;4.799999
289;4.799999
315;5.199999
318;5
322;5
349;4.6
353;4.400001
355;4.400001
384;3.800001
387;3.800001
390;3.800001
420;3.200001
423;3.200001
426;3.200001
453;2.600001
456;2.600001
458;2.600001
488;2
491;2
493;2
520;1.4
523;1.4
554;0.8000003
556;0.8000003
559;0.8000003
588;0.2000003
591;0.2000003
624;-0.3999997
657;-0.9999997
658;-0.9999997
662;-0.9999997
665;-1.2
691;-1.6
694;-1.6
725;-2.2
728;-2.2
730;-2.4
758;-2.8
761;-2.8
764;-2.8
792;-3.4
795;-3.4
826;-4
828;-4
832;-4.2
860;-4.599999
863;-4.599999
894;-5.199999
928;-4.6
931;-4.400001
962;-4.000001
965;-3.800001
995;-3.400001
999;-3.200001
2;-3.200001
28;-2.800001
32;-2.600001
63;-2.200001
66;-2
68;-2
98;-1.6
101;-1.4
132;-1
165;-0.4000003
168;-0.2000003
171;-0.2000003
199;0.1999997
202;0.3999997
205;0.3999997
233;0.7999997
236;0.9999997
267;1.6
270;1.6
273;1.6
302;2.2
307;2.2
336;2.8
339;2.8
341;2.8
369;3.4
373;3.4
403;4
406;4
410;4
438;4.599999
442;4.599999
471;5.199999
474;5.199999
505;4.6
508;4.6
539;4.000001
542;4.000001
545;4.000001
573;3.400001
575;3.400001
578;3.400001
607;2.800001
610;2.800001
675;1.6
678;1.6
681;1.4
708;1
712;1
715;0.8000003
718;0.8000003
743;0.4000003
745;0.4000003
776;-0.1999997
779;-0.1999997
782;-0.3999997
785;-0.3999997
810;-0.7999997
814;-0.9999997
845;-1.4
849;-1.6
914;-2.8
947;-3.2
16;-4.599999
49;-5.199999
52;-5.199999
55;-5.199999
84;-4.6
87;-4.6
288;-1
291;-1
322;-0.4000003
325;-0.4000003
328;-0.2000003
356;0.1999997
359;0.1999997
362;0.3999997
390;0.7999997
393;0.7999997
395;0.9999997
430;1.6
433;1.6
436;1.6
458;2
461;2
464;2.2
492;2.6
495;2.6
498;2.8
501;2.8
526;3.2
529;3.4
559;3.8
562;4
566;4
594;4.4
598;4.599999
628;4.999999
632;5.199999
663;4.6
666;4.6
731;3.400001
734;3.400001
798;2.200001
802;2.200001
804;2.200001
833;1.6
836;1.6
868;1
901;0.4000003
904;0.4000003
934;-0.1999997
3;-1.4
37;-2
513;0.1999997
516;0.1999997
547;0.7999997
550;0.7999997
553;0.7999997
580;1.4
584;1.4
587;1.4
590;1.6
614;2
617;2
620;2
648;2.6
651;2.6
681;3.2
684;3.2
687;3.2
690;3.2
716;3.8
719;3.8
748;4.4
752;4.4
755;4.4
782;4.999999
785;4.999999
788;4.999999
791;5.199999
851;4.200001
853;4.200001
856;4.200001
885;3.600001
887;3.600001
987;1.8
124;-0.5999997
157;-1.2
161;-1.4
163;-1.4
192;-1.8
195;-2
198;-2
227;-2.6
230;-2.6
260;-3
263;-3.2
295;-3.8
328;-4.4
465;-3.600001
533;-2.400001
601;-1.2
604;-1.2
635;-0.6000003
637;-0.6000003
668;-2.682209E-07
701;0.5999997
704;0.5999997
707;0.7999997
711;0.7999997
735;1.2
745;1.4
748;1.4
769;1.8
772;1.8
803;2.4
806;2.4
838;3
842;3.2
845;3.2
871;3.6
874;3.8
877;3.8
906;4.2
909;4.4
913;4.4
938;4.799999
973;5
976;4.8
7;4.400001
43;3.600001
77;3.000001
111;2.400001
114;2.400001
144;1.8
147;1.8
150;1.8
178;1.2
181;1.2
184;1.2
212;0.6000003
215;0.6000003
218;0.6000003
281;-0.5999997
283;-0.5999997
286;-0.5999997
316;-1.2
318;-1.2
348;-1.8
416;-3
418;-3
421;-3
449;-3.6
452;-3.6
483;-4.2
492;-4.4
552;-5
585;-4.400001
619;-3.800001
653;-3.200001
687;-2.600001
690;-2.400001
721;-2
724;-1.8
755;-1.4
790;-0.6000003
824;-2.682209E-07
892;1.2
895;1.2
897;1.2
926;1.8
929;1.8
960;2.4
963;2.4
966;2.4
993;3
997;3
1;3
27;3.6
30;3.6
33;3.6
62;4.2
64;4.2
96;4.799999
99;4.799999
130;5
134;5
164;4.400001
167;4.400001
170;4.200001
199;3.800001
202;3.800001
205;3.600001
233;3.200001
237;3.200001
245;3.000001
267;2.600001
270;2.600001
301;2
368;0.8000003
372;0.6000003
403;0.2000003
407;2.682209E-07
436;-0.3999997
440;-0.5999997
444;-0.5999997
446;-0.5999997
471;-0.9999997
475;-1.2
478;-1.2
505;-1.6
508;-1.8
539;-2.4
542;-2.4
545;-2.4
547;-2.4
574;-3
577;-3
579;-3
608;-3.6
642;-4.2
645;-4.2
648;-4.2
675;-4.799999
679;-4.799999
709;-5
